Statistic,Month,NACE.Group,value
Retail Sales Index Volume Adjusted,2021 April,"All retail businesses, excluding motor trades, automotive fuel and bars",88.6
Retail Sales Index Volume Adjusted,2021 April,"Retail sale of food (4711,4721 to 4729)",104.8
Retail Sales Index Volume Adjusted,2021 April,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",77.9
Retail Sales Index Volume Adjusted,2021 April,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",103.3
Retail Sales Index Volume Adjusted,2021 April,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",113.1
Retail Sales Index Volume Adjusted,2021 April,"Retail sale of electrical goods (4741 to 4743,4754)",107.2
Retail Sales Index Volume Adjusted,2021 April,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",27.0
Retail Sales Index Volume Adjusted,2021 April,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",85.3
Retail Sales Index Volume Adjusted,2021 April,"Other retail sales (4753,4763 to 4765,4776 to 4778)",84.7
Retail Sales Index Volume Adjusted,2021 April,"Retail sale of books, newspapers and stationery (4761,4762)",76.9
Retail Sales Index Volume Adjusted,2021 April,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",80.7
Retail Sales Index Volume Adjusted,2021 May,Motor trades (45),110.6
Retail Sales Index Volume Adjusted,2021 May,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",101.7
Retail Sales Index Volume Adjusted,2021 May,Department stores (4719),107.4
Retail Sales Index Volume Adjusted,2021 May,Retail sale of automotive fuel (4730),100.6
Retail Sales Index Volume Adjusted,2021 May,"Retail sale of hardware, paints and glass (4752)",97.0
Retail Sales Index Volume Adjusted,2021 May,Retail sale of furniture and lighting (4759),105.4
Retail Sales Index Volume Adjusted,2021 May,Bars (5630),25.7
Retail Sales Index Volume Adjusted,2021 May,All retail businesses,100.6
Retail Sales Index Volume Adjusted,2021 May,"Motor trades and automotive fuel (45,4730)",108.4
Retail Sales Index Volume Adjusted,2021 May,"All retail businesses, excluding motor trades and bars",98.9
Retail Sales Index Volume Adjusted,2021 May,"All retail businesses, excluding motor trades",94.3
Retail Sales Index Volume Adjusted,2021 May,"All retail businesses, excluding motor trades, automotive fuel and bars",98.9
Retail Sales Index Volume Adjusted,2021 May,"Retail sale of food (4711,4721 to 4729)",102.0
Retail Sales Index Volume Adjusted,2021 May,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",98.7
Retail Sales Index Volume Adjusted,2021 May,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",104.2
Retail Sales Index Volume Adjusted,2021 May,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",103.9
Retail Sales Index Volume Adjusted,2021 May,"Retail sale of electrical goods (4741 to 4743,4754)",96.4
Retail Sales Index Volume Adjusted,2021 May,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",122.7
Retail Sales Index Volume Adjusted,2021 May,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",87.2
Retail Sales Index Volume Adjusted,2021 May,"Other retail sales (4753,4763 to 4765,4776 to 4778)",86.4
Retail Sales Index Volume Adjusted,2021 May,"Retail sale of books, newspapers and stationery (4761,4762)",70.1
Retail Sales Index Volume Adjusted,2021 May,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",88.8
Retail Sales Index Volume Adjusted,2021 June,Motor trades (45),106.1
Retail Sales Index Volume Adjusted,2021 June,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",99.6
Retail Sales Index Volume Adjusted,2021 June,Department stores (4719),128.9
Retail Sales Index Volume Adjusted,2021 June,Retail sale of automotive fuel (4730),111.0
Retail Sales Index Volume Adjusted,2021 June,"Retail sale of hardware, paints and glass (4752)",95.6
Retail Sales Index Volume Adjusted,2021 June,Retail sale of furniture and lighting (4759),113.8
Retail Sales Index Volume Adjusted,2021 June,Bars (5630),91.5
Retail Sales Index Volume Adjusted,2021 June,All retail businesses,106.9
Retail Sales Index Volume Adjusted,2021 June,"Motor trades and automotive fuel (45,4730)",108.2
Retail Sales Index Volume Adjusted,2021 June,"All retail businesses, excluding motor trades and bars",104.0
Retail Sales Index Volume Adjusted,2021 June,"All retail businesses, excluding motor trades",104.6
Retail Sales Index Volume Adjusted,2021 June,"All retail businesses, excluding motor trades, automotive fuel and bars",103.5
Retail Sales Index Volume Adjusted,2021 June,"Retail sale of food (4711,4721 to 4729)",100.6
Retail Sales Index Volume Adjusted,2021 June,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",104.3
Retail Sales Index Volume Adjusted,2021 June,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",107.6
Retail Sales Index Volume Adjusted,2021 June,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",103.6
Retail Sales Index Volume Adjusted,2021 June,"Retail sale of electrical goods (4741 to 4743,4754)",97.0
Retail Sales Index Volume Adjusted,2021 June,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",128.1
Retail Sales Index Volume Adjusted,2021 June,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",96.5
Retail Sales Index Volume Adjusted,2021 June,"Other retail sales (4753,4763 to 4765,4776 to 4778)",97.5
Retail Sales Index Volume Adjusted,2021 June,"Retail sale of books, newspapers and stationery (4761,4762)",112.8
Retail Sales Index Volume Adjusted,2021 June,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",99.7
Retail Sales Index Volume Adjusted,2021 July,Motor trades (45),112.0
Retail Sales Index Volume Adjusted,2021 July,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",102.9
Retail Sales Index Volume Adjusted,2021 July,Department stores (4719),112.5
Retail Sales Index Volume Adjusted,2021 July,Retail sale of automotive fuel (4730),107.7
Retail Sales Index Volume Adjusted,2021 July,"Retail sale of hardware, paints and glass (4752)",94.8
Retail Sales Index Volume Adjusted,2021 July,Retail sale of furniture and lighting (4759),111.6
Retail Sales Index Volume Adjusted,2021 July,Bars (5630),124.7
Retail Sales Index Volume Adjusted,2021 July,All retail businesses,105.4
Retail Sales Index Volume Adjusted,2021 July,"Motor trades and automotive fuel (45,4730)",108.6
Retail Sales Index Volume Adjusted,2021 July,"All retail businesses, excluding motor trades and bars",103.9
Retail Sales Index Volume Adjusted,2021 July,"All retail businesses, excluding motor trades",105.5
Retail Sales Index Volume Adjusted,2021 July,"All retail businesses, excluding motor trades, automotive fuel and bars",103.7
Retail Sales Index Volume Adjusted,2021 July,"Retail sale of food (4711,4721 to 4729)",102.8
Retail Sales Index Volume Adjusted,2021 July,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",103.2
Retail Sales Index Volume Adjusted,2021 July,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",104.0
Retail Sales Index Volume Adjusted,2021 July,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",99.3
Retail Sales Index Volume Adjusted,2021 July,"Retail sale of electrical goods (4741 to 4743,4754)",95.0
Retail Sales Index Volume Adjusted,2021 July,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",123.3
Retail Sales Index Volume Adjusted,2021 July,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",97.7
Retail Sales Index Volume Adjusted,2021 July,"Other retail sales (4753,4763 to 4765,4776 to 4778)",99.4
Retail Sales Index Volume Adjusted,2021 July,"Retail sale of books, newspapers and stationery (4761,4762)",101.1
Retail Sales Index Volume Adjusted,2021 July,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",100.8
Retail Sales Index Volume Adjusted,2021 August,Motor trades (45),107.6
Retail Sales Index Volume Adjusted,2021 August,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",96.3
Retail Sales Index Volume Adjusted,2021 August,Department stores (4719),110.2
Retail Sales Index Volume Adjusted,2021 August,Retail sale of automotive fuel (4730),111.7
Retail Sales Index Volume Adjusted,2021 August,"Retail sale of hardware, paints and glass (4752)",94.9
Retail Sales Index Volume Adjusted,2021 August,Retail sale of furniture and lighting (4759),110.2
Retail Sales Index Volume Adjusted,2021 August,Bars (5630),152.5
Retail Sales Index Volume Adjusted,2021 August,All retail businesses,104.1
Retail Sales Index Volume Adjusted,2021 August,"Motor trades and automotive fuel (45,4730)",108.4
Retail Sales Index Volume Adjusted,2021 August,"All retail businesses, excluding motor trades and bars",101.7
Retail Sales Index Volume Adjusted,2021 August,"All retail businesses, excluding motor trades",103.5
Retail Sales Index Volume Adjusted,2021 August,"All retail businesses, excluding motor trades, automotive fuel and bars",100.8
Retail Sales Index Volume Adjusted,2021 August,"Retail sale of food (4711,4721 to 4729)",96.5
Retail Sales Index Volume Adjusted,2021 August,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",103.5
Retail Sales Index Volume Adjusted,2021 August,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",101.2
Retail Sales Index Volume Adjusted,2021 August,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",101.4
Retail Sales Index Volume Adjusted,2021 August,"Retail sale of electrical goods (4741 to 4743,4754)",99.7
Retail Sales Index Volume Adjusted,2021 August,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",125.3
Retail Sales Index Volume Adjusted,2021 August,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",89.8
Retail Sales Index Volume Adjusted,2021 August,"Other retail sales (4753,4763 to 4765,4776 to 4778)",90.7
Retail Sales Index Volume Adjusted,2021 August,"Retail sale of books, newspapers and stationery (4761,4762)",116.3
Retail Sales Index Volume Adjusted,2021 August,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",98.6
Retail Sales Index Volume Adjusted,2021 September,Motor trades (45),105.9
Retail Sales Index Volume Adjusted,2021 September,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",96.5
Retail Sales Index Volume Adjusted,2021 September,Department stores (4719),112.7
Retail Sales Index Volume Adjusted,2021 September,Retail sale of automotive fuel (4730),106.3
Retail Sales Index Volume Adjusted,2021 September,"Retail sale of hardware, paints and glass (4752)",89.6
Retail Sales Index Volume Adjusted,2021 September,Retail sale of furniture and lighting (4759),111.6
Retail Sales Index Volume Adjusted,2021 September,Bars (5630),182.3
Retail Sales Index Volume Adjusted,2021 September,All retail businesses,105.1
Retail Sales Index Volume Adjusted,2021 September,"Motor trades and automotive fuel (45,4730)",104.3
Retail Sales Index Volume Adjusted,2021 September,"All retail businesses, excluding motor trades and bars",103.9
Retail Sales Index Volume Adjusted,2021 September,"All retail businesses, excluding motor trades",106.7
Retail Sales Index Volume Adjusted,2021 September,"All retail businesses, excluding motor trades, automotive fuel and bars",103.4
Retail Sales Index Volume Adjusted,2021 September,"Retail sale of food (4711,4721 to 4729)",96.0
Retail Sales Index Volume Adjusted,2021 September,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",106.3
Retail Sales Index Volume Adjusted,2021 September,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",99.1
Retail Sales Index Volume Adjusted,2021 September,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",95.8
Retail Sales Index Volume Adjusted,2021 September,"Retail sale of electrical goods (4741 to 4743,4754)",95.4
Retail Sales Index Volume Adjusted,2021 September,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",130.5
Retail Sales Index Volume Adjusted,2021 September,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",100.5
Retail Sales Index Volume Adjusted,2021 September,"Other retail sales (4753,4763 to 4765,4776 to 4778)",103.1
Retail Sales Index Volume Adjusted,2021 September,"Retail sale of books, newspapers and stationery (4761,4762)",112.5
Retail Sales Index Volume Adjusted,2021 September,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",102.1
Retail Sales Index Volume Adjusted,2021 October,Motor trades (45),104.0
Retail Sales Index Volume Adjusted,2021 October,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",97.5
Retail Sales Index Volume Adjusted,2021 October,Department stores (4719),112.2
Retail Sales Index Volume Adjusted,2021 October,Retail sale of automotive fuel (4730),104.6
Retail Sales Index Volume Adjusted,2021 October,"Retail sale of hardware, paints and glass (4752)",91.3
Retail Sales Index Volume Adjusted,2021 October,Retail sale of furniture and lighting (4759),108.2
Retail Sales Index Volume Adjusted,2021 October,Bars (5630),189.5
Retail Sales Index Volume Adjusted,2021 October,All retail businesses,109.7
Retail Sales Index Volume Adjusted,2021 October,"Motor trades and automotive fuel (45,4730)",104.4
Retail Sales Index Volume Adjusted,2021 October,"All retail businesses, excluding motor trades and bars",109.0
Retail Sales Index Volume Adjusted,2021 October,"All retail businesses, excluding motor trades",112.6
Retail Sales Index Volume Adjusted,2021 October,"All retail businesses, excluding motor trades, automotive fuel and bars",109.4
Retail Sales Index Volume Adjusted,2021 October,"Retail sale of food (4711,4721 to 4729)",96.6
Retail Sales Index Volume Adjusted,2021 October,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",118.6
Retail Sales Index Volume Adjusted,2021 October,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",90.0
Retail Sales Index Volume Adjusted,2021 October,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",96.6
Retail Sales Index Volume Adjusted,2021 October,"Retail sale of electrical goods (4741 to 4743,4754)",94.9
Retail Sales Index Volume Adjusted,2021 October,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",129.7
Retail Sales Index Volume Adjusted,2021 October,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",134.8
Retail Sales Index Volume Adjusted,2021 October,"Other retail sales (4753,4763 to 4765,4776 to 4778)",141.1
Retail Sales Index Volume Adjusted,2021 October,"Retail sale of books, newspapers and stationery (4761,4762)",133.8
Retail Sales Index Volume Adjusted,2021 October,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",104.3
Retail Sales Index Volume Adjusted,2021 November,Motor trades (45),109.8
Retail Sales Index Volume Adjusted,2021 November,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",96.2
Retail Sales Index Volume Adjusted,2021 November,Department stores (4719),108.2
Retail Sales Index Volume Adjusted,2021 November,Retail sale of automotive fuel (4730),104.3
Retail Sales Index Volume Adjusted,2021 November,"Retail sale of hardware, paints and glass (4752)",94.5
Retail Sales Index Volume Adjusted,2021 November,Retail sale of furniture and lighting (4759),109.2
Retail Sales Index Volume Adjusted,2021 November,Bars (5630),196.1
Retail Sales Index Volume Adjusted,2021 November,All retail businesses,111.8
Retail Sales Index Volume Adjusted,2021 November,"Motor trades and automotive fuel (45,4730)",112.3
Retail Sales Index Volume Adjusted,2021 November,"All retail businesses, excluding motor trades and bars",108.2
Retail Sales Index Volume Adjusted,2021 November,"All retail businesses, excluding motor trades",112.1
Retail Sales Index Volume Adjusted,2021 November,"All retail businesses, excluding motor trades, automotive fuel and bars",108.7
Retail Sales Index Volume Adjusted,2021 November,"Retail sale of food (4711,4721 to 4729)",95.9
Retail Sales Index Volume Adjusted,2021 November,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",114.8
Retail Sales Index Volume Adjusted,2021 November,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",96.2
Retail Sales Index Volume Adjusted,2021 November,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",99.1
Retail Sales Index Volume Adjusted,2021 November,"Retail sale of electrical goods (4741 to 4743,4754)",106.3
Retail Sales Index Volume Adjusted,2021 November,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",124.0
Retail Sales Index Volume Adjusted,2021 November,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",124.3
Retail Sales Index Volume Adjusted,2021 November,"Other retail sales (4753,4763 to 4765,4776 to 4778)",125.2
Retail Sales Index Volume Adjusted,2021 November,"Retail sale of books, newspapers and stationery (4761,4762)",128.5
Retail Sales Index Volume Adjusted,2021 November,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",107.3
Retail Sales Index Volume Adjusted,2021 December,Motor trades (45),83.4
Retail Sales Index Volume Adjusted,2021 December,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",96.3
Retail Sales Index Volume Adjusted,2021 December,Department stores (4719),107.0
Retail Sales Index Volume Adjusted,2021 December,Retail sale of automotive fuel (4730),99.2
Retail Sales Index Volume Adjusted,2021 December,"Retail sale of hardware, paints and glass (4752)",97.4
Retail Sales Index Volume Adjusted,2021 December,Retail sale of furniture and lighting (4759),111.4
Retail Sales Index Volume Adjusted,2021 December,Bars (5630),131.7
Retail Sales Index Volume Adjusted,2021 December,All retail businesses,104.1
Retail Sales Index Volume Adjusted,2021 December,"Motor trades and automotive fuel (45,4730)",94.2
Retail Sales Index Volume Adjusted,2021 December,"All retail businesses, excluding motor trades and bars",104.5
Retail Sales Index Volume Adjusted,2021 December,"All retail businesses, excluding motor trades",106.4
Retail Sales Index Volume Adjusted,2021 December,"All retail businesses, excluding motor trades, automotive fuel and bars",104.7
Retail Sales Index Volume Adjusted,2021 December,"Retail sale of food (4711,4721 to 4729)",95.4
Retail Sales Index Volume Adjusted,2021 December,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",109.5
Retail Sales Index Volume Adjusted,2021 December,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",89.9
Retail Sales Index Volume Adjusted,2021 December,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",93.9
Retail Sales Index Volume Adjusted,2021 December,"Retail sale of electrical goods (4741 to 4743,4754)",88.5
Retail Sales Index Volume Adjusted,2021 December,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",119.4
Retail Sales Index Volume Adjusted,2021 December,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",113.8
Retail Sales Index Volume Adjusted,2021 December,"Other retail sales (4753,4763 to 4765,4776 to 4778)",111.7
Retail Sales Index Volume Adjusted,2021 December,"Retail sale of books, newspapers and stationery (4761,4762)",131.0
Retail Sales Index Volume Adjusted,2021 December,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",121.1
Retail Sales Index Volume Adjusted,2022 January,Motor trades (45),95.6
Retail Sales Index Volume Adjusted,2022 January,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",94.9
Retail Sales Index Volume Adjusted,2022 January,Department stores (4719),128.6
Retail Sales Index Volume Adjusted,2022 January,Retail sale of automotive fuel (4730),99.1
Retail Sales Index Volume Adjusted,2022 January,"Retail sale of hardware, paints and glass (4752)",95.3
Retail Sales Index Volume Adjusted,2022 January,Retail sale of furniture and lighting (4759),107.1
Retail Sales Index Volume Adjusted,2022 January,Bars (5630),130.2
Retail Sales Index Volume Adjusted,2022 January,All retail businesses,99.2
Retail Sales Index Volume Adjusted,2022 January,"Motor trades and automotive fuel (45,4730)",95.0
Retail Sales Index Volume Adjusted,2022 January,"All retail businesses, excluding motor trades and bars",102.3
Retail Sales Index Volume Adjusted,2022 January,"All retail businesses, excluding motor trades",104.7
Retail Sales Index Volume Adjusted,2022 January,"All retail businesses, excluding motor trades, automotive fuel and bars",102.5
Retail Sales Index Volume Adjusted,2022 January,"Retail sale of food (4711,4721 to 4729)",96.2
Retail Sales Index Volume Adjusted,2022 January,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",108.2
Retail Sales Index Volume Adjusted,2022 January,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",92.2
Retail Sales Index Volume Adjusted,2022 January,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",95.0
Retail Sales Index Volume Adjusted,2022 January,"Retail sale of electrical goods (4741 to 4743,4754)",93.7
Retail Sales Index Volume Adjusted,2022 January,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",119.3
Retail Sales Index Volume Adjusted,2022 January,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",107.6
Retail Sales Index Volume Adjusted,2022 January,"Other retail sales (4753,4763 to 4765,4776 to 4778)",109.2
Retail Sales Index Volume Adjusted,2022 January,"Retail sale of books, newspapers and stationery (4761,4762)",138.5
Retail Sales Index Volume Adjusted,2022 January,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",98.3
Retail Sales Index Volume Adjusted,2022 February,Motor trades (45),95.8
Retail Sales Index Volume Adjusted,2022 February,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",92.0
