Statistic,Month,Industry.Sector.NACE.Rev.2,value
Industrial Production Index,2015 October,Meat and meat products (101),87.0
Industrial Production Index,2015 October,Dairy products (105),97.7
Industrial Production Index,2015 October,Bakery and farinaceous products (107),100.4
Industrial Production Index,2015 October,Beverages (11),
Industrial Production Index,2015 October,"Wood and wood products, except furniture (16)",72.4
Industrial Production Index,2015 October,Chemicals and chemical products (20),
Industrial Production Index,2015 October,Basic pharmaceutical products and preparations (21),
Industrial Production Index,2015 October,Rubber and plastic products (22),73.0
Industrial Production Index,2015 October,Other non-metallic mineral products (23),75.8
Industrial Production Index,2015 October,"Computer, electronic and optical products (26)",
Industrial Production Index,2015 October,Electrical equipment (27),76.7
Industrial Production Index,2015 October,Machinery and equipment n.e.c. (28),
Industrial Production Index,2015 October,"Electricity, gas, steam and air conditioning supply (35)",127.3
Industrial Production Index,2015 October,"Energy producing industries (05,06,19,35)",
Industrial Production Index,2015 October,Mining and quarrying (05 to 09),
Industrial Production Index,2015 October,Transportable goods industries (05 to 33),67.2
Industrial Production Index,2015 October,Industries (05 to 35),67.8
Industrial Production Index,2015 October,"Traditional sector (05 to 17,181,19,22 to 25,28 to 31,321 to 324,329,33,35)",84.4
Industrial Production Index,2015 October,"Food products and beverages (10,11)",
Industrial Production Index,2015 October,Manufacturing industries (10 to 33),67.4
Industrial Production Index,2015 October,"Tobacco: leather; petroleum; transport equipment; furniture; repair of machinery (12, 15, 19, 29 to 31,33)",110.8
Industrial Production Index,2015 October,"Textiles, wearing apparel and leather products (13 to 15)",96.1
Industrial Production Index,2015 October,"Paper and paper products, printing and reproduction of recorded media (17,18)",139.0
Industrial Production Index,2015 October,"Chemicals and pharmaceuticals (20,21)",
Industrial Production Index,2015 October,"Basic metals and fabricated metal products (24,25)",79.7
Industrial Production Index,2015 October,"Computer, electronic, optical and electrical equipment (26,27)",
Industrial Production Index,2015 October,"Transport equipment (29,30)",120.8
Industrial Production Index,2015 October,"Other manufacturing, repair and installation of machinery and equipment (32,33)",
Industrial Production Index,2015 October,"Other foods (102 to 104,108)",66.8
Industrial Production Index,2015 October,"Grain mill and starch products; prepared animal feeds (106,109)",75.2
Industrial Production Index,2015 October,"Modern sector (182,20,21,26,27,325)",65.0
Industrial Production Index,2015 October,Capital goods,
Industrial Production Index,2015 October,Intermediate goods,
Industrial Production Index,2015 October,Consumer goods,
Industrial Production Index,2015 October,Durable consumer goods,
Industrial Production Index,2015 October,Non-durable consumer goods,
Industrial Production Index,2015 November,Food products (10),82.7
Industrial Production Index,2015 November,Meat and meat products (101),85.4
Industrial Production Index,2015 November,Dairy products (105),82.2
Industrial Production Index,2015 November,Bakery and farinaceous products (107),98.2
Industrial Production Index,2015 November,Beverages (11),
Industrial Production Index,2015 November,"Wood and wood products, except furniture (16)",70.5
Industrial Production Index,2015 November,Chemicals and chemical products (20),
Industrial Production Index,2015 November,Basic pharmaceutical products and preparations (21),
Industrial Production Index,2015 November,Rubber and plastic products (22),70.9
Industrial Production Index,2015 November,Other non-metallic mineral products (23),68.9
Industrial Production Index,2015 November,"Computer, electronic and optical products (26)",
Industrial Production Index,2015 November,Electrical equipment (27),70.2
Industrial Production Index,2015 November,Machinery and equipment n.e.c. (28),
Industrial Production Index,2015 November,"Electricity, gas, steam and air conditioning supply (35)",135.2
Industrial Production Index,2015 November,"Energy producing industries (05,06,19,35)",
Industrial Production Index,2015 November,Mining and quarrying (05 to 09),
Industrial Production Index,2015 November,Transportable goods industries (05 to 33),62.6
Industrial Production Index,2015 November,Industries (05 to 35),63.5
Industrial Production Index,2015 November,"Traditional sector (05 to 17,181,19,22 to 25,28 to 31,321 to 324,329,33,35)",88.6
Industrial Production Index,2015 November,"Food products and beverages (10,11)",
Industrial Production Index,2015 November,Manufacturing industries (10 to 33),62.8
Industrial Production Index,2015 November,"Tobacco: leather; petroleum; transport equipment; furniture; repair of machinery (12, 15, 19, 29 to 31,33)",113.6
Industrial Production Index,2015 November,"Textiles, wearing apparel and leather products (13 to 15)",101.7
Industrial Production Index,2015 November,"Paper and paper products, printing and reproduction of recorded media (17,18)",148.9
Industrial Production Index,2015 November,"Chemicals and pharmaceuticals (20,21)",
Industrial Production Index,2015 November,"Basic metals and fabricated metal products (24,25)",87.4
Industrial Production Index,2015 November,"Computer, electronic, optical and electrical equipment (26,27)",
Industrial Production Index,2015 November,"Transport equipment (29,30)",132.2
Industrial Production Index,2015 November,"Other manufacturing, repair and installation of machinery and equipment (32,33)",
Industrial Production Index,2015 November,"Other foods (102 to 104,108)",82.2
Industrial Production Index,2015 November,"Grain mill and starch products; prepared animal feeds (106,109)",75.5
