Statistic,Month,Industry.Sector.NACE.Rev.2,value
Industrial Production Index (Seasonally Adjusted),2017 May,Transportable goods industries (05 to 33),59.3
Industrial Production Index (Seasonally Adjusted),2017 May,Industries (05 to 35),60.4
Industrial Production Index (Seasonally Adjusted),2017 May,"Traditional sector (05 to 17,181,19,22 to 25,28 to 31,321 to 324,329,33,35)",86.5
Industrial Production Index (Seasonally Adjusted),2017 May,"Food products and beverages (10,11)",
Industrial Production Index (Seasonally Adjusted),2017 May,Manufacturing industries (10 to 33),59.4
Industrial Production Index (Seasonally Adjusted),2017 May,"Tobacco: leather; petroleum; transport equipment; furniture; repair of machinery (12, 15, 19, 29 to 31,33)",100.8
Industrial Production Index (Seasonally Adjusted),2017 May,"Textiles, wearing apparel and leather products (13 to 15)",93.4
Industrial Production Index (Seasonally Adjusted),2017 May,"Paper and paper products, printing and reproduction of recorded media (17,18)",122.6
Industrial Production Index (Seasonally Adjusted),2017 May,"Chemicals and pharmaceuticals (20,21)",
Industrial Production Index (Seasonally Adjusted),2017 May,"Basic metals and fabricated metal products (24,25)",93.5
Industrial Production Index (Seasonally Adjusted),2017 May,"Computer, electronic, optical and electrical equipment (26,27)",
Industrial Production Index (Seasonally Adjusted),2017 May,"Transport equipment (29,30)",134.6
Industrial Production Index (Seasonally Adjusted),2017 May,"Other manufacturing, repair and installation of machinery and equipment (32,33)",
Industrial Production Index (Seasonally Adjusted),2017 May,"Other foods (102 to 104,108)",68.8
Industrial Production Index (Seasonally Adjusted),2017 May,"Grain mill and starch products; prepared animal feeds (106,109)",82.6
Industrial Production Index (Seasonally Adjusted),2017 May,"Modern sector (182,20,21,26,27,325)",55.1
Industrial Production Index (Seasonally Adjusted),2017 May,Capital goods,
Industrial Production Index (Seasonally Adjusted),2017 May,Intermediate goods,
Industrial Production Index (Seasonally Adjusted),2017 May,Consumer goods,
Industrial Production Index (Seasonally Adjusted),2017 May,Durable consumer goods,
Industrial Production Index (Seasonally Adjusted),2017 May,Non-durable consumer goods,
Industrial Production Index (Seasonally Adjusted),2017 June,Food products (10),75.0
Industrial Production Index (Seasonally Adjusted),2017 June,Meat and meat products (101),90.8
Industrial Production Index (Seasonally Adjusted),2017 June,Dairy products (105),70.4
Industrial Production Index (Seasonally Adjusted),2017 June,Bakery and farinaceous products (107),104.2
Industrial Production Index (Seasonally Adjusted),2017 June,Beverages (11),
Industrial Production Index (Seasonally Adjusted),2017 June,"Wood and wood products, except furniture (16)",87.3
Industrial Production Index (Seasonally Adjusted),2017 June,Chemicals and chemical products (20),
Industrial Production Index (Seasonally Adjusted),2017 June,Basic pharmaceutical products and preparations (21),
Industrial Production Index (Seasonally Adjusted),2017 June,Rubber and plastic products (22),75.8
Industrial Production Index (Seasonally Adjusted),2017 June,Other non-metallic mineral products (23),85.7
Industrial Production Index (Seasonally Adjusted),2017 June,"Computer, electronic and optical products (26)",
Industrial Production Index (Seasonally Adjusted),2017 June,Electrical equipment (27),95.9
Industrial Production Index (Seasonally Adjusted),2017 June,Machinery and equipment n.e.c. (28),
Industrial Production Index (Seasonally Adjusted),2017 June,"Electricity, gas, steam and air conditioning supply (35)",159.2
Industrial Production Index (Seasonally Adjusted),2017 June,"Energy producing industries (05,06,19,35)",
Industrial Production Index (Seasonally Adjusted),2017 June,Mining and quarrying (05 to 09),
Industrial Production Index (Seasonally Adjusted),2017 June,Transportable goods industries (05 to 33),56.2
Industrial Production Index (Seasonally Adjusted),2017 June,Industries (05 to 35),57.5
Industrial Production Index (Seasonally Adjusted),2017 June,"Traditional sector (05 to 17,181,19,22 to 25,28 to 31,321 to 324,329,33,35)",88.3
Industrial Production Index (Seasonally Adjusted),2017 June,"Food products and beverages (10,11)",
Industrial Production Index (Seasonally Adjusted),2017 June,Manufacturing industries (10 to 33),55.9
Industrial Production Index (Seasonally Adjusted),2017 June,"Tobacco: leather; petroleum; transport equipment; furniture; repair of machinery (12, 15, 19, 29 to 31,33)",105.4
Industrial Production Index (Seasonally Adjusted),2017 June,"Textiles, wearing apparel and leather products (13 to 15)",95.5
Industrial Production Index (Seasonally Adjusted),2017 June,"Paper and paper products, printing and reproduction of recorded media (17,18)",133.1
Industrial Production Index (Seasonally Adjusted),2017 June,"Chemicals and pharmaceuticals (20,21)",
Industrial Production Index (Seasonally Adjusted),2017 June,"Basic metals and fabricated metal products (24,25)",86.5
Industrial Production Index (Seasonally Adjusted),2017 June,"Computer, electronic, optical and electrical equipment (26,27)",
Industrial Production Index (Seasonally Adjusted),2017 June,"Transport equipment (29,30)",130.9
Industrial Production Index (Seasonally Adjusted),2017 June,"Other manufacturing, repair and installation of machinery and equipment (32,33)",
Industrial Production Index (Seasonally Adjusted),2017 June,"Other foods (102 to 104,108)",71.6
Industrial Production Index (Seasonally Adjusted),2017 June,"Grain mill and starch products; prepared animal feeds (106,109)",86.9
Industrial Production Index (Seasonally Adjusted),2017 June,"Modern sector (182,20,21,26,27,325)",51.2
Industrial Production Index (Seasonally Adjusted),2017 June,Capital goods,
Industrial Production Index (Seasonally Adjusted),2017 June,Intermediate goods,
Industrial Production Index (Seasonally Adjusted),2017 June,Consumer goods,
Industrial Production Index (Seasonally Adjusted),2017 June,Durable consumer goods,
Industrial Production Index (Seasonally Adjusted),2017 June,Non-durable consumer goods,
Industrial Production Index (Seasonally Adjusted),2017 July,Food products (10),69.8
Industrial Production Index (Seasonally Adjusted),2017 July,Meat and meat products (101),92.5
Industrial Production Index (Seasonally Adjusted),2017 July,Dairy products (105),73.7
Industrial Production Index (Seasonally Adjusted),2017 July,Bakery and farinaceous products (107),91.5
Industrial Production Index (Seasonally Adjusted),2017 July,Beverages (11),
Industrial Production Index (Seasonally Adjusted),2017 July,"Wood and wood products, except furniture (16)",83.6
Industrial Production Index (Seasonally Adjusted),2017 July,Chemicals and chemical products (20),
Industrial Production Index (Seasonally Adjusted),2017 July,Basic pharmaceutical products and preparations (21),
Industrial Production Index (Seasonally Adjusted),2017 July,Rubber and plastic products (22),74.9
Industrial Production Index (Seasonally Adjusted),2017 July,Other non-metallic mineral products (23),84.6
Industrial Production Index (Seasonally Adjusted),2017 July,"Computer, electronic and optical products (26)",
Industrial Production Index (Seasonally Adjusted),2017 July,Electrical equipment (27),91.6
Industrial Production Index (Seasonally Adjusted),2017 July,Machinery and equipment n.e.c. (28),
Industrial Production Index (Seasonally Adjusted),2017 July,"Electricity, gas, steam and air conditioning supply (35)",157.5
Industrial Production Index (Seasonally Adjusted),2017 July,"Energy producing industries (05,06,19,35)",
Industrial Production Index (Seasonally Adjusted),2017 July,Mining and quarrying (05 to 09),
Industrial Production Index (Seasonally Adjusted),2017 July,Transportable goods industries (05 to 33),64.7
Industrial Production Index (Seasonally Adjusted),2017 July,Industries (05 to 35),65.8
Industrial Production Index (Seasonally Adjusted),2017 July,"Traditional sector (05 to 17,181,19,22 to 25,28 to 31,321 to 324,329,33,35)",88.0
Industrial Production Index (Seasonally Adjusted),2017 July,"Food products and beverages (10,11)",
Industrial Production Index (Seasonally Adjusted),2017 July,Manufacturing industries (10 to 33),64.8
Industrial Production Index (Seasonally Adjusted),2017 July,"Tobacco: leather; petroleum; transport equipment; furniture; repair of machinery (12, 15, 19, 29 to 31,33)",103.8
Industrial Production Index (Seasonally Adjusted),2017 July,"Textiles, wearing apparel and leather products (13 to 15)",96.2
Industrial Production Index (Seasonally Adjusted),2017 July,"Paper and paper products, printing and reproduction of recorded media (17,18)",129.8
Industrial Production Index (Seasonally Adjusted),2017 July,"Chemicals and pharmaceuticals (20,21)",
Industrial Production Index (Seasonally Adjusted),2017 July,"Basic metals and fabricated metal products (24,25)",85.8
Industrial Production Index (Seasonally Adjusted),2017 July,"Computer, electronic, optical and electrical equipment (26,27)",
Industrial Production Index (Seasonally Adjusted),2017 July,"Transport equipment (29,30)",123.5
Industrial Production Index (Seasonally Adjusted),2017 July,"Other manufacturing, repair and installation of machinery and equipment (32,33)",
Industrial Production Index (Seasonally Adjusted),2017 July,"Other foods (102 to 104,108)",65.1
Industrial Production Index (Seasonally Adjusted),2017 July,"Grain mill and starch products; prepared animal feeds (106,109)",89.6
Industrial Production Index (Seasonally Adjusted),2017 July,"Modern sector (182,20,21,26,27,325)",62.0
Industrial Production Index (Seasonally Adjusted),2017 July,Capital goods,
Industrial Production Index (Seasonally Adjusted),2017 July,Intermediate goods,
Industrial Production Index (Seasonally Adjusted),2017 July,Consumer goods,
Industrial Production Index (Seasonally Adjusted),2017 July,Durable consumer goods,
Industrial Production Index (Seasonally Adjusted),2017 July,Non-durable consumer goods,
Industrial Production Index (Seasonally Adjusted),2017 August,Food products (10),68.9
Industrial Production Index (Seasonally Adjusted),2017 August,Meat and meat products (101),92.8
Industrial Production Index (Seasonally Adjusted),2017 August,Dairy products (105),83.5
Industrial Production Index (Seasonally Adjusted),2017 August,Bakery and farinaceous products (107),101.8
Industrial Production Index (Seasonally Adjusted),2017 August,Beverages (11),
Industrial Production Index (Seasonally Adjusted),2017 August,"Wood and wood products, except furniture (16)",86.2
Industrial Production Index (Seasonally Adjusted),2017 August,Chemicals and chemical products (20),
Industrial Production Index (Seasonally Adjusted),2017 August,Basic pharmaceutical products and preparations (21),
Industrial Production Index (Seasonally Adjusted),2017 August,Rubber and plastic products (22),71.7
Industrial Production Index (Seasonally Adjusted),2017 August,Other non-metallic mineral products (23),84.0
Industrial Production Index (Seasonally Adjusted),2017 August,"Computer, electronic and optical products (26)",
Industrial Production Index (Seasonally Adjusted),2017 August,Electrical equipment (27),89.6
Industrial Production Index (Seasonally Adjusted),2017 August,Machinery and equipment n.e.c. (28),
Industrial Production Index (Seasonally Adjusted),2017 August,"Electricity, gas, steam and air conditioning supply (35)",145.8
Industrial Production Index (Seasonally Adjusted),2017 August,"Energy producing industries (05,06,19,35)",
Industrial Production Index (Seasonally Adjusted),2017 August,Mining and quarrying (05 to 09),
Industrial Production Index (Seasonally Adjusted),2017 August,Transportable goods industries (05 to 33),58.7
Industrial Production Index (Seasonally Adjusted),2017 August,Industries (05 to 35),59.9
Industrial Production Index (Seasonally Adjusted),2017 August,"Traditional sector (05 to 17,181,19,22 to 25,28 to 31,321 to 324,329,33,35)",86.1
Industrial Production Index (Seasonally Adjusted),2017 August,"Food products and beverages (10,11)",
Industrial Production Index (Seasonally Adjusted),2017 August,Manufacturing industries (10 to 33),59.7
Industrial Production Index (Seasonally Adjusted),2017 August,"Tobacco: leather; petroleum; transport equipment; furniture; repair of machinery (12, 15, 19, 29 to 31,33)",102.6
Industrial Production Index (Seasonally Adjusted),2017 August,"Textiles, wearing apparel and leather products (13 to 15)",98.2
Industrial Production Index (Seasonally Adjusted),2017 August,"Paper and paper products, printing and reproduction of recorded media (17,18)",115.2
Industrial Production Index (Seasonally Adjusted),2017 August,"Chemicals and pharmaceuticals (20,21)",
Industrial Production Index (Seasonally Adjusted),2017 August,"Basic metals and fabricated metal products (24,25)",84.7
Industrial Production Index (Seasonally Adjusted),2017 August,"Computer, electronic, optical and electrical equipment (26,27)",
Industrial Production Index (Seasonally Adjusted),2017 August,"Transport equipment (29,30)",119.2
Industrial Production Index (Seasonally Adjusted),2017 August,"Other manufacturing, repair and installation of machinery and equipment (32,33)",
Industrial Production Index (Seasonally Adjusted),2017 August,"Other foods (102 to 104,108)",62.5
Industrial Production Index (Seasonally Adjusted),2017 August,"Grain mill and starch products; prepared animal feeds (106,109)",86.4
Industrial Production Index (Seasonally Adjusted),2017 August,"Modern sector (182,20,21,26,27,325)",56.7
Industrial Production Index (Seasonally Adjusted),2017 August,Capital goods,
Industrial Production Index (Seasonally Adjusted),2017 August,Intermediate goods,
Industrial Production Index (Seasonally Adjusted),2017 August,Consumer goods,
Industrial Production Index (Seasonally Adjusted),2017 August,Durable consumer goods,
Industrial Production Index (Seasonally Adjusted),2017 August,Non-durable consumer goods,
Industrial Production Index (Seasonally Adjusted),2017 September,Food products (10),71.1
Industrial Production Index (Seasonally Adjusted),2017 September,Meat and meat products (101),91.6
Industrial Production Index (Seasonally Adjusted),2017 September,Dairy products (105),73.6
Industrial Production Index (Seasonally Adjusted),2017 September,Bakery and farinaceous products (107),105.4
Industrial Production Index (Seasonally Adjusted),2017 September,Beverages (11),
Industrial Production Index (Seasonally Adjusted),2017 September,"Wood and wood products, except furniture (16)",86.0
Industrial Production Index (Seasonally Adjusted),2017 September,Chemicals and chemical products (20),
Industrial Production Index (Seasonally Adjusted),2017 September,Basic pharmaceutical products and preparations (21),
Industrial Production Index (Seasonally Adjusted),2017 September,Rubber and plastic products (22),74.5
Industrial Production Index (Seasonally Adjusted),2017 September,Other non-metallic mineral products (23),88.9
Industrial Production Index (Seasonally Adjusted),2017 September,"Computer, electronic and optical products (26)",
Industrial Production Index (Seasonally Adjusted),2017 September,Electrical equipment (27),100.3
Industrial Production Index (Seasonally Adjusted),2017 September,Machinery and equipment n.e.c. (28),
Industrial Production Index (Seasonally Adjusted),2017 September,"Electricity, gas, steam and air conditioning supply (35)",156.1
Industrial Production Index (Seasonally Adjusted),2017 September,"Energy producing industries (05,06,19,35)",
Industrial Production Index (Seasonally Adjusted),2017 September,Mining and quarrying (05 to 09),
Industrial Production Index (Seasonally Adjusted),2017 September,Transportable goods industries (05 to 33),62.7
Industrial Production Index (Seasonally Adjusted),2017 September,Industries (05 to 35),63.9
Industrial Production Index (Seasonally Adjusted),2017 September,"Traditional sector (05 to 17,181,19,22 to 25,28 to 31,321 to 324,329,33,35)",87.7
Industrial Production Index (Seasonally Adjusted),2017 September,"Food products and beverages (10,11)",
Industrial Production Index (Seasonally Adjusted),2017 September,Manufacturing industries (10 to 33),63.0
Industrial Production Index (Seasonally Adjusted),2017 September,"Tobacco: leather; petroleum; transport equipment; furniture; repair of machinery (12, 15, 19, 29 to 31,33)",100.1
Industrial Production Index (Seasonally Adjusted),2017 September,"Textiles, wearing apparel and leather products (13 to 15)",104.3
Industrial Production Index (Seasonally Adjusted),2017 September,"Paper and paper products, printing and reproduction of recorded media (17,18)",109.7
Industrial Production Index (Seasonally Adjusted),2017 September,"Chemicals and pharmaceuticals (20,21)",
Industrial Production Index (Seasonally Adjusted),2017 September,"Basic metals and fabricated metal products (24,25)",90.2
Industrial Production Index (Seasonally Adjusted),2017 September,"Computer, electronic, optical and electrical equipment (26,27)",
Industrial Production Index (Seasonally Adjusted),2017 September,"Transport equipment (29,30)",125.8
Industrial Production Index (Seasonally Adjusted),2017 September,"Other manufacturing, repair and installation of machinery and equipment (32,33)",
Industrial Production Index (Seasonally Adjusted),2017 September,"Other foods (102 to 104,108)",66.8
Industrial Production Index (Seasonally Adjusted),2017 September,"Grain mill and starch products; prepared animal feeds (106,109)",89.1
Industrial Production Index (Seasonally Adjusted),2017 September,"Modern sector (182,20,21,26,27,325)",60.2
Industrial Production Index (Seasonally Adjusted),2017 September,Capital goods,
Industrial Production Index (Seasonally Adjusted),2017 September,Intermediate goods,
Industrial Production Index (Seasonally Adjusted),2017 September,Consumer goods,
Industrial Production Index (Seasonally Adjusted),2017 September,Durable consumer goods,
Industrial Production Index (Seasonally Adjusted),2017 September,Non-durable consumer goods,
Industrial Production Index (Seasonally Adjusted),2017 October,Food products (10),73.2
Industrial Production Index (Seasonally Adjusted),2017 October,Meat and meat products (101),92.5
Industrial Production Index (Seasonally Adjusted),2017 October,Dairy products (105),75.4
Industrial Production Index (Seasonally Adjusted),2017 October,Bakery and farinaceous products (107),111.5
Industrial Production Index (Seasonally Adjusted),2017 October,Beverages (11),
Industrial Production Index (Seasonally Adjusted),2017 October,"Wood and wood products, except furniture (16)",88.6
Industrial Production Index (Seasonally Adjusted),2017 October,Chemicals and chemical products (20),
Industrial Production Index (Seasonally Adjusted),2017 October,Basic pharmaceutical products and preparations (21),
Industrial Production Index (Seasonally Adjusted),2017 October,Rubber and plastic products (22),67.8
Industrial Production Index (Seasonally Adjusted),2017 October,Other non-metallic mineral products (23),87.7
Industrial Production Index (Seasonally Adjusted),2017 October,"Computer, electronic and optical products (26)",
Industrial Production Index (Seasonally Adjusted),2017 October,Electrical equipment (27),96.8
Industrial Production Index (Seasonally Adjusted),2017 October,Machinery and equipment n.e.c. (28),
Industrial Production Index (Seasonally Adjusted),2017 October,"Electricity, gas, steam and air conditioning supply (35)",150.4
Industrial Production Index (Seasonally Adjusted),2017 October,"Energy producing industries (05,06,19,35)",
Industrial Production Index (Seasonally Adjusted),2017 October,Mining and quarrying (05 to 09),
Industrial Production Index (Seasonally Adjusted),2017 October,Transportable goods industries (05 to 33),67.5
Industrial Production Index (Seasonally Adjusted),2017 October,Industries (05 to 35),68.6
Industrial Production Index (Seasonally Adjusted),2017 October,"Traditional sector (05 to 17,181,19,22 to 25,28 to 31,321 to 324,329,33,35)",86.9
Industrial Production Index (Seasonally Adjusted),2017 October,"Food products and beverages (10,11)",
Industrial Production Index (Seasonally Adjusted),2017 October,Manufacturing industries (10 to 33),67.7
Industrial Production Index (Seasonally Adjusted),2017 October,"Tobacco: leather; petroleum; transport equipment; furniture; repair of machinery (12, 15, 19, 29 to 31,33)",94.3
Industrial Production Index (Seasonally Adjusted),2017 October,"Textiles, wearing apparel and leather products (13 to 15)",98.0
Industrial Production Index (Seasonally Adjusted),2017 October,"Paper and paper products, printing and reproduction of recorded media (17,18)",104.8
Industrial Production Index (Seasonally Adjusted),2017 October,"Chemicals and pharmaceuticals (20,21)",
Industrial Production Index (Seasonally Adjusted),2017 October,"Basic metals and fabricated metal products (24,25)",92.7
Industrial Production Index (Seasonally Adjusted),2017 October,"Computer, electronic, optical and electrical equipment (26,27)",
Industrial Production Index (Seasonally Adjusted),2017 October,"Transport equipment (29,30)",114.6
Industrial Production Index (Seasonally Adjusted),2017 October,"Other manufacturing, repair and installation of machinery and equipment (32,33)",
Industrial Production Index (Seasonally Adjusted),2017 October,"Other foods (102 to 104,108)",68.3
Industrial Production Index (Seasonally Adjusted),2017 October,"Grain mill and starch products; prepared animal feeds (106,109)",89.5
Industrial Production Index (Seasonally Adjusted),2017 October,"Modern sector (182,20,21,26,27,325)",65.2
Industrial Production Index (Seasonally Adjusted),2017 October,Capital goods,
Industrial Production Index (Seasonally Adjusted),2017 October,Intermediate goods,
Industrial Production Index (Seasonally Adjusted),2017 October,Consumer goods,
Industrial Production Index (Seasonally Adjusted),2017 October,Durable consumer goods,
Industrial Production Index (Seasonally Adjusted),2017 October,Non-durable consumer goods,
Industrial Production Index (Seasonally Adjusted),2017 November,Food products (10),73.4
Industrial Production Index (Seasonally Adjusted),2017 November,Meat and meat products (101),95.6
Industrial Production Index (Seasonally Adjusted),2017 November,Dairy products (105),73.1
Industrial Production Index (Seasonally Adjusted),2017 November,Bakery and farinaceous products (107),106.7
Industrial Production Index (Seasonally Adjusted),2017 November,Beverages (11),
Industrial Production Index (Seasonally Adjusted),2017 November,"Wood and wood products, except furniture (16)",90.3
Industrial Production Index (Seasonally Adjusted),2017 November,Chemicals and chemical products (20),
Industrial Production Index (Seasonally Adjusted),2017 November,Basic pharmaceutical products and preparations (21),
Industrial Production Index (Seasonally Adjusted),2017 November,Rubber and plastic products (22),72.3
Industrial Production Index (Seasonally Adjusted),2017 November,Other non-metallic mineral products (23),86.9
Industrial Production Index (Seasonally Adjusted),2017 November,"Computer, electronic and optical products (26)",
Industrial Production Index (Seasonally Adjusted),2017 November,Electrical equipment (27),99.7
Industrial Production Index (Seasonally Adjusted),2017 November,Machinery and equipment n.e.c. (28),
Industrial Production Index (Seasonally Adjusted),2017 November,"Electricity, gas, steam and air conditioning supply (35)",137.5
Industrial Production Index (Seasonally Adjusted),2017 November,"Energy producing industries (05,06,19,35)",
Industrial Production Index (Seasonally Adjusted),2017 November,Mining and quarrying (05 to 09),
Industrial Production Index (Seasonally Adjusted),2017 November,Transportable goods industries (05 to 33),76.3
Industrial Production Index (Seasonally Adjusted),2017 November,Industries (05 to 35),77.3
Industrial Production Index (Seasonally Adjusted),2017 November,"Traditional sector (05 to 17,181,19,22 to 25,28 to 31,321 to 324,329,33,35)",87.6
Industrial Production Index (Seasonally Adjusted),2017 November,"Food products and beverages (10,11)",
Industrial Production Index (Seasonally Adjusted),2017 November,Manufacturing industries (10 to 33),76.7
Industrial Production Index (Seasonally Adjusted),2017 November,"Tobacco: leather; petroleum; transport equipment; furniture; repair of machinery (12, 15, 19, 29 to 31,33)",108.9
Industrial Production Index (Seasonally Adjusted),2017 November,"Textiles, wearing apparel and leather products (13 to 15)",114.6
Industrial Production Index (Seasonally Adjusted),2017 November,"Paper and paper products, printing and reproduction of recorded media (17,18)",109.4
Industrial Production Index (Seasonally Adjusted),2017 November,"Chemicals and pharmaceuticals (20,21)",
Industrial Production Index (Seasonally Adjusted),2017 November,"Basic metals and fabricated metal products (24,25)",90.3
Industrial Production Index (Seasonally Adjusted),2017 November,"Computer, electronic, optical and electrical equipment (26,27)",
Industrial Production Index (Seasonally Adjusted),2017 November,"Transport equipment (29,30)",118.9
Industrial Production Index (Seasonally Adjusted),2017 November,"Other manufacturing, repair and installation of machinery and equipment (32,33)",
Industrial Production Index (Seasonally Adjusted),2017 November,"Other foods (102 to 104,108)",69.1
Industrial Production Index (Seasonally Adjusted),2017 November,"Grain mill and starch products; prepared animal feeds (106,109)",85.5
Industrial Production Index (Seasonally Adjusted),2017 November,"Modern sector (182,20,21,26,27,325)",72.2
Industrial Production Index (Seasonally Adjusted),2017 November,Capital goods,
Industrial Production Index (Seasonally Adjusted),2017 November,Intermediate goods,
Industrial Production Index (Seasonally Adjusted),2017 November,Consumer goods,
Industrial Production Index (Seasonally Adjusted),2017 November,Durable consumer goods,
Industrial Production Index (Seasonally Adjusted),2017 November,Non-durable consumer goods,
Industrial Production Index (Seasonally Adjusted),2017 December,Food products (10),79.1
Industrial Production Index (Seasonally Adjusted),2017 December,Meat and meat products (101),98.0
Industrial Production Index (Seasonally Adjusted),2017 December,Dairy products (105),72.6
Industrial Production Index (Seasonally Adjusted),2017 December,Bakery and farinaceous products (107),113.6
Industrial Production Index (Seasonally Adjusted),2017 December,Beverages (11),
Industrial Production Index (Seasonally Adjusted),2017 December,"Wood and wood products, except furniture (16)",99.5
Industrial Production Index (Seasonally Adjusted),2017 December,Chemicals and chemical products (20),
Industrial Production Index (Seasonally Adjusted),2017 December,Basic pharmaceutical products and preparations (21),
Industrial Production Index (Seasonally Adjusted),2017 December,Rubber and plastic products (22),78.5
Industrial Production Index (Seasonally Adjusted),2017 December,Other non-metallic mineral products (23),86.0
Industrial Production Index (Seasonally Adjusted),2017 December,"Computer, electronic and optical products (26)",
Industrial Production Index (Seasonally Adjusted),2017 December,Electrical equipment (27),99.8
Industrial Production Index (Seasonally Adjusted),2017 December,Machinery and equipment n.e.c. (28),
Industrial Production Index (Seasonally Adjusted),2017 December,"Electricity, gas, steam and air conditioning supply (35)",141.8
Industrial Production Index (Seasonally Adjusted),2017 December,"Energy producing industries (05,06,19,35)",
Industrial Production Index (Seasonally Adjusted),2017 December,Mining and quarrying (05 to 09),
Industrial Production Index (Seasonally Adjusted),2017 December,Transportable goods industries (05 to 33),69.8
Industrial Production Index (Seasonally Adjusted),2017 December,Industries (05 to 35),70.9
Industrial Production Index (Seasonally Adjusted),2017 December,"Traditional sector (05 to 17,181,19,22 to 25,28 to 31,321 to 324,329,33,35)",89.3
Industrial Production Index (Seasonally Adjusted),2017 December,"Food products and beverages (10,11)",
Industrial Production Index (Seasonally Adjusted),2017 December,Manufacturing industries (10 to 33),70.2
Industrial Production Index (Seasonally Adjusted),2017 December,"Tobacco: leather; petroleum; transport equipment; furniture; repair of machinery (12, 15, 19, 29 to 31,33)",99.7
Industrial Production Index (Seasonally Adjusted),2017 December,"Textiles, wearing apparel and leather products (13 to 15)",99.3
Industrial Production Index (Seasonally Adjusted),2017 December,"Paper and paper products, printing and reproduction of recorded media (17,18)",102.9
Industrial Production Index (Seasonally Adjusted),2017 December,"Chemicals and pharmaceuticals (20,21)",
Industrial Production Index (Seasonally Adjusted),2017 December,"Basic metals and fabricated metal products (24,25)",91.4
Industrial Production Index (Seasonally Adjusted),2017 December,"Computer, electronic, optical and electrical equipment (26,27)",
Industrial Production Index (Seasonally Adjusted),2017 December,"Transport equipment (29,30)",120.4
Industrial Production Index (Seasonally Adjusted),2017 December,"Other manufacturing, repair and installation of machinery and equipment (32,33)",
Industrial Production Index (Seasonally Adjusted),2017 December,"Other foods (102 to 104,108)",75.8
Industrial Production Index (Seasonally Adjusted),2017 December,"Grain mill and starch products; prepared animal feeds (106,109)",88.6
Industrial Production Index (Seasonally Adjusted),2017 December,"Modern sector (182,20,21,26,27,325)",67.9
Industrial Production Index (Seasonally Adjusted),2017 December,Capital goods,
Industrial Production Index (Seasonally Adjusted),2017 December,Intermediate goods,
Industrial Production Index (Seasonally Adjusted),2017 December,Consumer goods,
Industrial Production Index (Seasonally Adjusted),2017 December,Durable consumer goods,
Industrial Production Index (Seasonally Adjusted),2017 December,Non-durable consumer goods,
Industrial Production Index (Seasonally Adjusted),2018 January,Food products (10),72.8
Industrial Production Index (Seasonally Adjusted),2018 January,Meat and meat products (101),97.5
Industrial Production Index (Seasonally Adjusted),2018 January,Dairy products (105),71.3
Industrial Production Index (Seasonally Adjusted),2018 January,Bakery and farinaceous products (107),110.1
Industrial Production Index (Seasonally Adjusted),2018 January,Beverages (11),
Industrial Production Index (Seasonally Adjusted),2018 January,"Wood and wood products, except furniture (16)",92.1
Industrial Production Index (Seasonally Adjusted),2018 January,Chemicals and chemical products (20),
Industrial Production Index (Seasonally Adjusted),2018 January,Basic pharmaceutical products and preparations (21),
Industrial Production Index (Seasonally Adjusted),2018 January,Rubber and plastic products (22),70.6
Industrial Production Index (Seasonally Adjusted),2018 January,Other non-metallic mineral products (23),85.3
Industrial Production Index (Seasonally Adjusted),2018 January,"Computer, electronic and optical products (26)",
Industrial Production Index (Seasonally Adjusted),2018 January,Electrical equipment (27),93.1
Industrial Production Index (Seasonally Adjusted),2018 January,Machinery and equipment n.e.c. (28),
Industrial Production Index (Seasonally Adjusted),2018 January,"Electricity, gas, steam and air conditioning supply (35)",152.9
Industrial Production Index (Seasonally Adjusted),2018 January,"Energy producing industries (05,06,19,35)",
Industrial Production Index (Seasonally Adjusted),2018 January,Mining and quarrying (05 to 09),
Industrial Production Index (Seasonally Adjusted),2018 January,Transportable goods industries (05 to 33),65.0
Industrial Production Index (Seasonally Adjusted),2018 January,Industries (05 to 35),66.4
Industrial Production Index (Seasonally Adjusted),2018 January,"Traditional sector (05 to 17,181,19,22 to 25,28 to 31,321 to 324,329,33,35)",82.4
Industrial Production Index (Seasonally Adjusted),2018 January,"Food products and beverages (10,11)",
Industrial Production Index (Seasonally Adjusted),2018 January,Manufacturing industries (10 to 33),66.0
Industrial Production Index (Seasonally Adjusted),2018 January,"Tobacco: leather; petroleum; transport equipment; furniture; repair of machinery (12, 15, 19, 29 to 31,33)",100.5
Industrial Production Index (Seasonally Adjusted),2018 January,"Textiles, wearing apparel and leather products (13 to 15)",96.4
Industrial Production Index (Seasonally Adjusted),2018 January,"Paper and paper products, printing and reproduction of recorded media (17,18)",125.0
Industrial Production Index (Seasonally Adjusted),2018 January,"Chemicals and pharmaceuticals (20,21)",
Industrial Production Index (Seasonally Adjusted),2018 January,"Basic metals and fabricated metal products (24,25)",84.5
Industrial Production Index (Seasonally Adjusted),2018 January,"Computer, electronic, optical and electrical equipment (26,27)",
Industrial Production Index (Seasonally Adjusted),2018 January,"Transport equipment (29,30)",123.5
Industrial Production Index (Seasonally Adjusted),2018 January,"Other manufacturing, repair and installation of machinery and equipment (32,33)",
Industrial Production Index (Seasonally Adjusted),2018 January,"Other foods (102 to 104,108)",65.9
Industrial Production Index (Seasonally Adjusted),2018 January,"Grain mill and starch products; prepared animal feeds (106,109)",82.1
