,Statistic,Quarter,Eircode.Output,value
3602,New Dwelling Completion,2018Q2,P85: Clonakilty,8
3603,New Dwelling Completion,2018Q2,R14: Athy,5
3604,New Dwelling Completion,2018Q2,R21: Mhuine Bheag,3
3605,New Dwelling Completion,2018Q2,R32: Portlaoise,90
3606,New Dwelling Completion,2018Q2,R35: Tullamore,9
3607,New Dwelling Completion,2018Q2,R42: Birr,8
3608,New Dwelling Completion,2018Q2,R45: Edenderry,3
3609,New Dwelling Completion,2018Q2,R51: Kildare,20
3610,New Dwelling Completion,2018Q2,R56: Curragh,7
3611,New Dwelling Completion,2018Q2,R93: Carlow,38
3612,New Dwelling Completion,2018Q2,R95: Kilkenny,51
3613,New Dwelling Completion,2018Q2,T12: Cork Southside,58
3614,New Dwelling Completion,2018Q2,T23: Cork Northside,41
3615,New Dwelling Completion,2018Q2,T34: Carrignavar,1
3616,New Dwelling Completion,2018Q2,T45: Glanmire,32
3617,New Dwelling Completion,2018Q2,T56: Watergrasshill,34
3618,New Dwelling Completion,2018Q2,V14: Shannon,3
3619,New Dwelling Completion,2018Q2,V15: Kilrush,5
3620,New Dwelling Completion,2018Q2,V23: Caherciveen,4
3621,New Dwelling Completion,2018Q2,V31: Listowel,9
3622,New Dwelling Completion,2018Q2,V35: Kilmallock,9
3623,New Dwelling Completion,2018Q2,V42: Newcastle West,8
3624,New Dwelling Completion,2018Q2,V92: Tralee,33
3625,New Dwelling Completion,2018Q2,V93: Killarney,36
3626,New Dwelling Completion,2018Q2,V94: Limerick,136
3627,New Dwelling Completion,2018Q2,V95: Ennis,35
3628,New Dwelling Completion,2018Q2,W12: Newbridge,25
3629,New Dwelling Completion,2018Q2,W23: Celbridge,97
3630,New Dwelling Completion,2018Q2,W34: Monasterevin,8
3631,New Dwelling Completion,2018Q2,W91: Naas,126
3632,New Dwelling Completion,2018Q2,X35: Dungarvan,17
3633,New Dwelling Completion,2018Q2,X42: Kilmacthomas,4
3634,New Dwelling Completion,2018Q2,X91: Waterford,52
3635,New Dwelling Completion,2018Q2,Y14: Arklow,14
3636,New Dwelling Completion,2018Q2,Y21: Enniscorthy,32
3637,New Dwelling Completion,2018Q2,Y25: Gorey,30
3638,New Dwelling Completion,2018Q2,Y34: New Ross,8
3639,New Dwelling Completion,2018Q2,Y35: Wexford,47
3640,New Dwelling Completion,2018Q3,All,4621
3641,New Dwelling Completion,2018Q3,A41: Ballyboughal,8
3642,New Dwelling Completion,2018Q3,A42: Garristown,2
3643,New Dwelling Completion,2018Q3,A45: Oldtown,0
3644,New Dwelling Completion,2018Q3,A63: Greystones,52
3645,New Dwelling Completion,2018Q3,A67: Wicklow,48
3646,New Dwelling Completion,2018Q3,A75: Castleblaney,12
3647,New Dwelling Completion,2018Q3,A81: Carrickmacross,11
3648,New Dwelling Completion,2018Q3,A82: Kells,22
3649,New Dwelling Completion,2018Q3,A83: Enfield,6
3650,New Dwelling Completion,2018Q3,A84: Ashbourne,71
3651,New Dwelling Completion,2018Q3,A85: Dunshaughlin,50
3652,New Dwelling Completion,2018Q3,A86: Dunboyne,3
3653,New Dwelling Completion,2018Q3,A91: Dundalk,62
3654,New Dwelling Completion,2018Q3,A92: Drogheda,132
3655,New Dwelling Completion,2018Q3,A94: Blackrock,20
3656,New Dwelling Completion,2018Q3,A96: Glenageary,149
3657,New Dwelling Completion,2018Q3,A98: Bray,7
3658,New Dwelling Completion,2018Q3,C15: Navan,154
3659,New Dwelling Completion,2018Q3,D01: Dublin 1,12
3660,New Dwelling Completion,2018Q3,D02: Dublin 2,42
3661,New Dwelling Completion,2018Q3,D03: Dublin 3,32
3662,New Dwelling Completion,2018Q3,D04: Dublin 4,8
3663,New Dwelling Completion,2018Q3,D05: Dublin 5,59
3664,New Dwelling Completion,2018Q3,D06: Dublin 6,43
3665,New Dwelling Completion,2018Q3,D07: Dublin 7,1
3666,New Dwelling Completion,2018Q3,D08: Dublin 8,109
3667,New Dwelling Completion,2018Q3,D09: Dublin 9,29
3668,New Dwelling Completion,2018Q3,D10: Dublin 10,59
3669,New Dwelling Completion,2018Q3,D11: Dublin 11,52
3670,New Dwelling Completion,2018Q3,D12: Dublin 12,22
3671,New Dwelling Completion,2018Q3,D13: Dublin 13,81
3672,New Dwelling Completion,2018Q3,D14: Dublin 14,121
3673,New Dwelling Completion,2018Q3,D15: Dublin 15,206
3674,New Dwelling Completion,2018Q3,D16: Dublin 16,64
3675,New Dwelling Completion,2018Q3,D17: Dublin 17,0
3676,New Dwelling Completion,2018Q3,D18: Dublin 18,73
3677,New Dwelling Completion,2018Q3,D20: Dublin 20,20
3678,New Dwelling Completion,2018Q3,D22: Dublin 22,38
3679,New Dwelling Completion,2018Q3,D24: Dublin 24,131
3680,New Dwelling Completion,2018Q3,D6W: Dublin 6W,28
3681,New Dwelling Completion,2018Q3,E21: Cahir,8
3682,New Dwelling Completion,2018Q3,E25: Cashel,2
3683,New Dwelling Completion,2018Q3,E32: Carrick-on-Suir,6
3684,New Dwelling Completion,2018Q3,E34: Tipperary,3
3685,New Dwelling Completion,2018Q3,E41: Thurles,9
3686,New Dwelling Completion,2018Q3,E45: Nenagh,9
3687,New Dwelling Completion,2018Q3,E53: Roscrea,3
3688,New Dwelling Completion,2018Q3,E91: Clonmel,6
3689,New Dwelling Completion,2018Q3,F12: Claremorris,18
3690,New Dwelling Completion,2018Q3,F23: Castlebar,14
3691,New Dwelling Completion,2018Q3,F26: Ballina,16
3692,New Dwelling Completion,2018Q3,F28: Westport,28
3693,New Dwelling Completion,2018Q3,F31: Ballinrobe,3
3694,New Dwelling Completion,2018Q3,F35: Ballyhaunis,5
3695,New Dwelling Completion,2018Q3,F42: Roscommon,14
3696,New Dwelling Completion,2018Q3,F45: Castlerea,9
3697,New Dwelling Completion,2018Q3,F52: Boyle,8
3698,New Dwelling Completion,2018Q3,F56: Ballymote,0
3699,New Dwelling Completion,2018Q3,F91: Sligo,52
3700,New Dwelling Completion,2018Q3,F92: Letterkenny,60
3701,New Dwelling Completion,2018Q3,F93: Lifford,33
3702,New Dwelling Completion,2018Q3,F94: Donegal,31
3703,New Dwelling Completion,2018Q3,H12: Cavan,20
3704,New Dwelling Completion,2018Q3,H14: Belturbet,3
3705,New Dwelling Completion,2018Q3,H16: Cootehill,2
3706,New Dwelling Completion,2018Q3,H18: Monaghan,11
3707,New Dwelling Completion,2018Q3,H23: Clones,1
3708,New Dwelling Completion,2018Q3,H53: Ballinasloe,15
3709,New Dwelling Completion,2018Q3,H54: Tuam,18
3710,New Dwelling Completion,2018Q3,H62: Loughrea,7
3711,New Dwelling Completion,2018Q3,H65: Athenry,16
3712,New Dwelling Completion,2018Q3,H71: Clifden,2
3713,New Dwelling Completion,2018Q3,H91: Galway,95
3714,New Dwelling Completion,2018Q3,K32: Balbriggan,94
3715,New Dwelling Completion,2018Q3,K34: Skerries,8
3716,New Dwelling Completion,2018Q3,K36: Malahide,73
3717,New Dwelling Completion,2018Q3,K45: Lusk,30
3718,New Dwelling Completion,2018Q3,K56: Rush,5
3719,New Dwelling Completion,2018Q3,K67: Swords,98
3720,New Dwelling Completion,2018Q3,K78: Lucan,153
3721,New Dwelling Completion,2018Q3,N37: Athlone,17
3722,New Dwelling Completion,2018Q3,N39: Longford,12
3723,New Dwelling Completion,2018Q3,N41: Carrick-on-Shannon,4
3724,New Dwelling Completion,2018Q3,N91: Mullingar,21
3725,New Dwelling Completion,2018Q3,P12: Macroom,12
3726,New Dwelling Completion,2018Q3,P14: Crookstown,3
3727,New Dwelling Completion,2018Q3,P17: Kinsale,39
3728,New Dwelling Completion,2018Q3,P24: Cobh,11
3729,New Dwelling Completion,2018Q3,P25: Midleton,30
3730,New Dwelling Completion,2018Q3,P31: Ballincollig,28
3731,New Dwelling Completion,2018Q3,P32: Rylane,4
3732,New Dwelling Completion,2018Q3,P36: Youghal,6
3733,New Dwelling Completion,2018Q3,P43: Carrigaline,54
3734,New Dwelling Completion,2018Q3,P47: Dunmanway,7
3735,New Dwelling Completion,2018Q3,P51: Mallow,32
3736,New Dwelling Completion,2018Q3,P56: Charleville,3
3737,New Dwelling Completion,2018Q3,P61: Fermoy,5
3738,New Dwelling Completion,2018Q3,P67: Mitchelstown,2
3739,New Dwelling Completion,2018Q3,P72: Bandon,21
3740,New Dwelling Completion,2018Q3,P75: Bantry,8
3741,New Dwelling Completion,2018Q3,P81: Skibbereen,11
3742,New Dwelling Completion,2018Q3,P85: Clonakilty,7
3743,New Dwelling Completion,2018Q3,R14: Athy,10
3744,New Dwelling Completion,2018Q3,R21: Mhuine Bheag,5
3745,New Dwelling Completion,2018Q3,R32: Portlaoise,48
3746,New Dwelling Completion,2018Q3,R35: Tullamore,12
3747,New Dwelling Completion,2018Q3,R42: Birr,6
3748,New Dwelling Completion,2018Q3,R45: Edenderry,4
3749,New Dwelling Completion,2018Q3,R51: Kildare,37
3750,New Dwelling Completion,2018Q3,R56: Curragh,8
3751,New Dwelling Completion,2018Q3,R93: Carlow,35
3752,New Dwelling Completion,2018Q3,R95: Kilkenny,44
3753,New Dwelling Completion,2018Q3,T12: Cork Southside,101
3754,New Dwelling Completion,2018Q3,T23: Cork Northside,34
3755,New Dwelling Completion,2018Q3,T34: Carrignavar,2
3756,New Dwelling Completion,2018Q3,T45: Glanmire,22
3757,New Dwelling Completion,2018Q3,T56: Watergrasshill,19
3758,New Dwelling Completion,2018Q3,V14: Shannon,2
3759,New Dwelling Completion,2018Q3,V15: Kilrush,6
3760,New Dwelling Completion,2018Q3,V23: Caherciveen,4
3761,New Dwelling Completion,2018Q3,V31: Listowel,8
3762,New Dwelling Completion,2018Q3,V35: Kilmallock,16
3763,New Dwelling Completion,2018Q3,V42: Newcastle West,6
3764,New Dwelling Completion,2018Q3,V92: Tralee,37
3765,New Dwelling Completion,2018Q3,V93: Killarney,64
3766,New Dwelling Completion,2018Q3,V94: Limerick,108
3767,New Dwelling Completion,2018Q3,V95: Ennis,49
3768,New Dwelling Completion,2018Q3,W12: Newbridge,14
3769,New Dwelling Completion,2018Q3,W23: Celbridge,99
3770,New Dwelling Completion,2018Q3,W34: Monasterevin,19
3771,New Dwelling Completion,2018Q3,W91: Naas,172
3772,New Dwelling Completion,2018Q3,X35: Dungarvan,40
3773,New Dwelling Completion,2018Q3,X42: Kilmacthomas,5
3774,New Dwelling Completion,2018Q3,X91: Waterford,63
3775,New Dwelling Completion,2018Q3,Y14: Arklow,11
3776,New Dwelling Completion,2018Q3,Y21: Enniscorthy,35
3777,New Dwelling Completion,2018Q3,Y25: Gorey,55
3778,New Dwelling Completion,2018Q3,Y34: New Ross,8
3779,New Dwelling Completion,2018Q3,Y35: Wexford,49
3780,New Dwelling Completion,2018Q4,All,5425
3781,New Dwelling Completion,2018Q4,A41: Ballyboughal,12
3782,New Dwelling Completion,2018Q4,A42: Garristown,7
3783,New Dwelling Completion,2018Q4,A45: Oldtown,1
3784,New Dwelling Completion,2018Q4,A63: Greystones,100
3785,New Dwelling Completion,2018Q4,A67: Wicklow,57
3786,New Dwelling Completion,2018Q4,A75: Castleblaney,5
3787,New Dwelling Completion,2018Q4,A81: Carrickmacross,6
3788,New Dwelling Completion,2018Q4,A82: Kells,37
3789,New Dwelling Completion,2018Q4,A83: Enfield,27
3790,New Dwelling Completion,2018Q4,A84: Ashbourne,68
3791,New Dwelling Completion,2018Q4,A85: Dunshaughlin,99
3792,New Dwelling Completion,2018Q4,A86: Dunboyne,3
3793,New Dwelling Completion,2018Q4,A91: Dundalk,88
3794,New Dwelling Completion,2018Q4,A92: Drogheda,177
3795,New Dwelling Completion,2018Q4,A94: Blackrock,50
3796,New Dwelling Completion,2018Q4,A96: Glenageary,129
3797,New Dwelling Completion,2018Q4,A98: Bray,16
3798,New Dwelling Completion,2018Q4,C15: Navan,170
3799,New Dwelling Completion,2018Q4,D01: Dublin 1,5
3800,New Dwelling Completion,2018Q4,D02: Dublin 2,172
3801,New Dwelling Completion,2018Q4,D03: Dublin 3,39
3802,New Dwelling Completion,2018Q4,D04: Dublin 4,32
3803,New Dwelling Completion,2018Q4,D05: Dublin 5,27
3804,New Dwelling Completion,2018Q4,D06: Dublin 6,18
3805,New Dwelling Completion,2018Q4,D07: Dublin 7,27
3806,New Dwelling Completion,2018Q4,D08: Dublin 8,24
3807,New Dwelling Completion,2018Q4,D09: Dublin 9,101
3808,New Dwelling Completion,2018Q4,D10: Dublin 10,49
3809,New Dwelling Completion,2018Q4,D11: Dublin 11,71
3810,New Dwelling Completion,2018Q4,D12: Dublin 12,42
3811,New Dwelling Completion,2018Q4,D13: Dublin 13,82
3812,New Dwelling Completion,2018Q4,D14: Dublin 14,76
3813,New Dwelling Completion,2018Q4,D15: Dublin 15,148
3814,New Dwelling Completion,2018Q4,D16: Dublin 16,80
3815,New Dwelling Completion,2018Q4,D17: Dublin 17,44
3816,New Dwelling Completion,2018Q4,D18: Dublin 18,95
3817,New Dwelling Completion,2018Q4,D20: Dublin 20,1
3818,New Dwelling Completion,2018Q4,D22: Dublin 22,65
3819,New Dwelling Completion,2018Q4,D24: Dublin 24,209
3820,New Dwelling Completion,2018Q4,D6W: Dublin 6W,17
3821,New Dwelling Completion,2018Q4,E21: Cahir,10
3822,New Dwelling Completion,2018Q4,E25: Cashel,4
3823,New Dwelling Completion,2018Q4,E32: Carrick-on-Suir,13
3824,New Dwelling Completion,2018Q4,E34: Tipperary,8
3825,New Dwelling Completion,2018Q4,E41: Thurles,28
3826,New Dwelling Completion,2018Q4,E45: Nenagh,7
3827,New Dwelling Completion,2018Q4,E53: Roscrea,5
3828,New Dwelling Completion,2018Q4,E91: Clonmel,15
3829,New Dwelling Completion,2018Q4,F12: Claremorris,16
3830,New Dwelling Completion,2018Q4,F23: Castlebar,13
3831,New Dwelling Completion,2018Q4,F26: Ballina,27
3832,New Dwelling Completion,2018Q4,F28: Westport,29
3833,New Dwelling Completion,2018Q4,F31: Ballinrobe,9
3834,New Dwelling Completion,2018Q4,F35: Ballyhaunis,2
3835,New Dwelling Completion,2018Q4,F42: Roscommon,21
3836,New Dwelling Completion,2018Q4,F45: Castlerea,11
3837,New Dwelling Completion,2018Q4,F52: Boyle,7
3838,New Dwelling Completion,2018Q4,F56: Ballymote,9
3839,New Dwelling Completion,2018Q4,F91: Sligo,47
3840,New Dwelling Completion,2018Q4,F92: Letterkenny,69
3841,New Dwelling Completion,2018Q4,F93: Lifford,40
3842,New Dwelling Completion,2018Q4,F94: Donegal,22
3843,New Dwelling Completion,2018Q4,H12: Cavan,11
3844,New Dwelling Completion,2018Q4,H14: Belturbet,9
3845,New Dwelling Completion,2018Q4,H16: Cootehill,1
3846,New Dwelling Completion,2018Q4,H18: Monaghan,21
3847,New Dwelling Completion,2018Q4,H23: Clones,1
3848,New Dwelling Completion,2018Q4,H53: Ballinasloe,18
3849,New Dwelling Completion,2018Q4,H54: Tuam,20
3850,New Dwelling Completion,2018Q4,H62: Loughrea,13
3851,New Dwelling Completion,2018Q4,H65: Athenry,15
3852,New Dwelling Completion,2018Q4,H71: Clifden,1
3853,New Dwelling Completion,2018Q4,H91: Galway,139
3854,New Dwelling Completion,2018Q4,K32: Balbriggan,60
3855,New Dwelling Completion,2018Q4,K34: Skerries,19
3856,New Dwelling Completion,2018Q4,K36: Malahide,67
3857,New Dwelling Completion,2018Q4,K45: Lusk,29
3858,New Dwelling Completion,2018Q4,K56: Rush,21
3859,New Dwelling Completion,2018Q4,K67: Swords,68
3860,New Dwelling Completion,2018Q4,K78: Lucan,136
3861,New Dwelling Completion,2018Q4,N37: Athlone,38
3862,New Dwelling Completion,2018Q4,N39: Longford,28
3863,New Dwelling Completion,2018Q4,N41: Carrick-on-Shannon,6
3864,New Dwelling Completion,2018Q4,N91: Mullingar,57
3865,New Dwelling Completion,2018Q4,P12: Macroom,25
3866,New Dwelling Completion,2018Q4,P14: Crookstown,1
3867,New Dwelling Completion,2018Q4,P17: Kinsale,26
3868,New Dwelling Completion,2018Q4,P24: Cobh,3
3869,New Dwelling Completion,2018Q4,P25: Midleton,27
3870,New Dwelling Completion,2018Q4,P31: Ballincollig,30
3871,New Dwelling Completion,2018Q4,P32: Rylane,3
3872,New Dwelling Completion,2018Q4,P36: Youghal,16
3873,New Dwelling Completion,2018Q4,P43: Carrigaline,43
3874,New Dwelling Completion,2018Q4,P47: Dunmanway,12
3875,New Dwelling Completion,2018Q4,P51: Mallow,41
3876,New Dwelling Completion,2018Q4,P56: Charleville,7
3877,New Dwelling Completion,2018Q4,P61: Fermoy,11
3878,New Dwelling Completion,2018Q4,P67: Mitchelstown,4
3879,New Dwelling Completion,2018Q4,P72: Bandon,26
3880,New Dwelling Completion,2018Q4,P75: Bantry,13
3881,New Dwelling Completion,2018Q4,P81: Skibbereen,5
3882,New Dwelling Completion,2018Q4,P85: Clonakilty,8
3883,New Dwelling Completion,2018Q4,R14: Athy,14
3884,New Dwelling Completion,2018Q4,R21: Mhuine Bheag,4
3885,New Dwelling Completion,2018Q4,R32: Portlaoise,46
3886,New Dwelling Completion,2018Q4,R35: Tullamore,20
3887,New Dwelling Completion,2018Q4,R42: Birr,10
3888,New Dwelling Completion,2018Q4,R45: Edenderry,5
3889,New Dwelling Completion,2018Q4,R51: Kildare,27
3890,New Dwelling Completion,2018Q4,R56: Curragh,3
3891,New Dwelling Completion,2018Q4,R93: Carlow,96
3892,New Dwelling Completion,2018Q4,R95: Kilkenny,64
3893,New Dwelling Completion,2018Q4,T12: Cork Southside,106
3894,New Dwelling Completion,2018Q4,T23: Cork Northside,68
3895,New Dwelling Completion,2018Q4,T34: Carrignavar,3
3896,New Dwelling Completion,2018Q4,T45: Glanmire,28
3897,New Dwelling Completion,2018Q4,T56: Watergrasshill,15
3898,New Dwelling Completion,2018Q4,V14: Shannon,1
3899,New Dwelling Completion,2018Q4,V15: Kilrush,6
3900,New Dwelling Completion,2018Q4,V23: Caherciveen,9
3901,New Dwelling Completion,2018Q4,V31: Listowel,6
3902,New Dwelling Completion,2018Q4,V35: Kilmallock,11
3903,New Dwelling Completion,2018Q4,V42: Newcastle West,3
3904,New Dwelling Completion,2018Q4,V92: Tralee,29
3905,New Dwelling Completion,2018Q4,V93: Killarney,53
3906,New Dwelling Completion,2018Q4,V94: Limerick,128
3907,New Dwelling Completion,2018Q4,V95: Ennis,42
3908,New Dwelling Completion,2018Q4,W12: Newbridge,50
3909,New Dwelling Completion,2018Q4,W23: Celbridge,92
3910,New Dwelling Completion,2018Q4,W34: Monasterevin,24
3911,New Dwelling Completion,2018Q4,W91: Naas,192
3912,New Dwelling Completion,2018Q4,X35: Dungarvan,45
3913,New Dwelling Completion,2018Q4,X42: Kilmacthomas,4
3914,New Dwelling Completion,2018Q4,X91: Waterford,102
3915,New Dwelling Completion,2018Q4,Y14: Arklow,25
3916,New Dwelling Completion,2018Q4,Y21: Enniscorthy,49
3917,New Dwelling Completion,2018Q4,Y25: Gorey,33
3918,New Dwelling Completion,2018Q4,Y34: New Ross,7
3919,New Dwelling Completion,2018Q4,Y35: Wexford,38
3920,New Dwelling Completion,2019Q1,All,4242
3921,New Dwelling Completion,2019Q1,A41: Ballyboughal,24
3922,New Dwelling Completion,2019Q1,A42: Garristown,2
3923,New Dwelling Completion,2019Q1,A45: Oldtown,2
3924,New Dwelling Completion,2019Q1,A63: Greystones,100
3925,New Dwelling Completion,2019Q1,A67: Wicklow,74
3926,New Dwelling Completion,2019Q1,A75: Castleblaney,25
3927,New Dwelling Completion,2019Q1,A81: Carrickmacross,19
3928,New Dwelling Completion,2019Q1,A82: Kells,26
3929,New Dwelling Completion,2019Q1,A83: Enfield,4
3930,New Dwelling Completion,2019Q1,A84: Ashbourne,64
3931,New Dwelling Completion,2019Q1,A85: Dunshaughlin,45
3932,New Dwelling Completion,2019Q1,A86: Dunboyne,29
3933,New Dwelling Completion,2019Q1,A91: Dundalk,105
3934,New Dwelling Completion,2019Q1,A92: Drogheda,95
3935,New Dwelling Completion,2019Q1,A94: Blackrock,3
3936,New Dwelling Completion,2019Q1,A96: Glenageary,41
3937,New Dwelling Completion,2019Q1,A98: Bray,25
3938,New Dwelling Completion,2019Q1,C15: Navan,106
3939,New Dwelling Completion,2019Q1,D01: Dublin 1,29
3940,New Dwelling Completion,2019Q1,D02: Dublin 2,126
3941,New Dwelling Completion,2019Q1,D03: Dublin 3,10
3942,New Dwelling Completion,2019Q1,D04: Dublin 4,18
3943,New Dwelling Completion,2019Q1,D05: Dublin 5,5
3944,New Dwelling Completion,2019Q1,D06: Dublin 6,18
3945,New Dwelling Completion,2019Q1,D07: Dublin 7,6
3946,New Dwelling Completion,2019Q1,D08: Dublin 8,24
3947,New Dwelling Completion,2019Q1,D09: Dublin 9,27
3948,New Dwelling Completion,2019Q1,D10: Dublin 10,0
3949,New Dwelling Completion,2019Q1,D11: Dublin 11,17
3950,New Dwelling Completion,2019Q1,D12: Dublin 12,13
3951,New Dwelling Completion,2019Q1,D13: Dublin 13,132
3952,New Dwelling Completion,2019Q1,D14: Dublin 14,15
3953,New Dwelling Completion,2019Q1,D15: Dublin 15,216
3954,New Dwelling Completion,2019Q1,D16: Dublin 16,77
3955,New Dwelling Completion,2019Q1,D17: Dublin 17,3
3956,New Dwelling Completion,2019Q1,D18: Dublin 18,127
3957,New Dwelling Completion,2019Q1,D20: Dublin 20,1
3958,New Dwelling Completion,2019Q1,D22: Dublin 22,46
3959,New Dwelling Completion,2019Q1,D24: Dublin 24,138
3960,New Dwelling Completion,2019Q1,D6W: Dublin 6W,13
3961,New Dwelling Completion,2019Q1,E21: Cahir,7
3962,New Dwelling Completion,2019Q1,E25: Cashel,6
3963,New Dwelling Completion,2019Q1,E32: Carrick-on-Suir,6
3964,New Dwelling Completion,2019Q1,E34: Tipperary,12
3965,New Dwelling Completion,2019Q1,E41: Thurles,18
3966,New Dwelling Completion,2019Q1,E45: Nenagh,10
3967,New Dwelling Completion,2019Q1,E53: Roscrea,3
3968,New Dwelling Completion,2019Q1,E91: Clonmel,15
3969,New Dwelling Completion,2019Q1,F12: Claremorris,8
3970,New Dwelling Completion,2019Q1,F23: Castlebar,20
3971,New Dwelling Completion,2019Q1,F26: Ballina,22
3972,New Dwelling Completion,2019Q1,F28: Westport,40
3973,New Dwelling Completion,2019Q1,F31: Ballinrobe,1
3974,New Dwelling Completion,2019Q1,F35: Ballyhaunis,1
3975,New Dwelling Completion,2019Q1,F42: Roscommon,11
3976,New Dwelling Completion,2019Q1,F45: Castlerea,10
3977,New Dwelling Completion,2019Q1,F52: Boyle,4
3978,New Dwelling Completion,2019Q1,F56: Ballymote,2
3979,New Dwelling Completion,2019Q1,F91: Sligo,9
3980,New Dwelling Completion,2019Q1,F92: Letterkenny,37
3981,New Dwelling Completion,2019Q1,F93: Lifford,23
3982,New Dwelling Completion,2019Q1,F94: Donegal,25
3983,New Dwelling Completion,2019Q1,H12: Cavan,9
3984,New Dwelling Completion,2019Q1,H14: Belturbet,4
3985,New Dwelling Completion,2019Q1,H16: Cootehill,5
3986,New Dwelling Completion,2019Q1,H18: Monaghan,15
3987,New Dwelling Completion,2019Q1,H23: Clones,2
3988,New Dwelling Completion,2019Q1,H53: Ballinasloe,29
3989,New Dwelling Completion,2019Q1,H54: Tuam,15
3990,New Dwelling Completion,2019Q1,H62: Loughrea,5
3991,New Dwelling Completion,2019Q1,H65: Athenry,6
3992,New Dwelling Completion,2019Q1,H71: Clifden,4
3993,New Dwelling Completion,2019Q1,H91: Galway,121
3994,New Dwelling Completion,2019Q1,K32: Balbriggan,53
3995,New Dwelling Completion,2019Q1,K34: Skerries,11
3996,New Dwelling Completion,2019Q1,K36: Malahide,73
3997,New Dwelling Completion,2019Q1,K45: Lusk,3
3998,New Dwelling Completion,2019Q1,K56: Rush,10
3999,New Dwelling Completion,2019Q1,K67: Swords,42
4000,New Dwelling Completion,2019Q1,K78: Lucan,135
4001,New Dwelling Completion,2019Q1,N37: Athlone,22
4002,New Dwelling Completion,2019Q1,N39: Longford,41
4003,New Dwelling Completion,2019Q1,N41: Carrick-on-Shannon,13
4004,New Dwelling Completion,2019Q1,N91: Mullingar,42
4005,New Dwelling Completion,2019Q1,P12: Macroom,10
4006,New Dwelling Completion,2019Q1,P14: Crookstown,3
4007,New Dwelling Completion,2019Q1,P17: Kinsale,21
4008,New Dwelling Completion,2019Q1,P24: Cobh,9
4009,New Dwelling Completion,2019Q1,P25: Midleton,18
4010,New Dwelling Completion,2019Q1,P31: Ballincollig,28
4011,New Dwelling Completion,2019Q1,P32: Rylane,2
4012,New Dwelling Completion,2019Q1,P36: Youghal,6
4013,New Dwelling Completion,2019Q1,P43: Carrigaline,47
4014,New Dwelling Completion,2019Q1,P47: Dunmanway,7
4015,New Dwelling Completion,2019Q1,P51: Mallow,31
4016,New Dwelling Completion,2019Q1,P56: Charleville,0
4017,New Dwelling Completion,2019Q1,P61: Fermoy,10
4018,New Dwelling Completion,2019Q1,P67: Mitchelstown,5
4019,New Dwelling Completion,2019Q1,P72: Bandon,25
4020,New Dwelling Completion,2019Q1,P75: Bantry,8
4021,New Dwelling Completion,2019Q1,P81: Skibbereen,6
4022,New Dwelling Completion,2019Q1,P85: Clonakilty,22
4023,New Dwelling Completion,2019Q1,R14: Athy,8
4024,New Dwelling Completion,2019Q1,R21: Mhuine Bheag,1
4025,New Dwelling Completion,2019Q1,R32: Portlaoise,31
4026,New Dwelling Completion,2019Q1,R35: Tullamore,30
4027,New Dwelling Completion,2019Q1,R42: Birr,6
4028,New Dwelling Completion,2019Q1,R45: Edenderry,1
4029,New Dwelling Completion,2019Q1,R51: Kildare,48
4030,New Dwelling Completion,2019Q1,R56: Curragh,7
4031,New Dwelling Completion,2019Q1,R93: Carlow,40
4032,New Dwelling Completion,2019Q1,R95: Kilkenny,44
4033,New Dwelling Completion,2019Q1,T12: Cork Southside,73
4034,New Dwelling Completion,2019Q1,T23: Cork Northside,64
4035,New Dwelling Completion,2019Q1,T34: Carrignavar,2
4036,New Dwelling Completion,2019Q1,T45: Glanmire,19
4037,New Dwelling Completion,2019Q1,T56: Watergrasshill,19
4038,New Dwelling Completion,2019Q1,V14: Shannon,3
4039,New Dwelling Completion,2019Q1,V15: Kilrush,6
4040,New Dwelling Completion,2019Q1,V23: Caherciveen,5
4041,New Dwelling Completion,2019Q1,V31: Listowel,6
4042,New Dwelling Completion,2019Q1,V35: Kilmallock,7
4043,New Dwelling Completion,2019Q1,V42: Newcastle West,6
4044,New Dwelling Completion,2019Q1,V92: Tralee,19
4045,New Dwelling Completion,2019Q1,V93: Killarney,49
4046,New Dwelling Completion,2019Q1,V94: Limerick,85
4047,New Dwelling Completion,2019Q1,V95: Ennis,39
4048,New Dwelling Completion,2019Q1,W12: Newbridge,23
4049,New Dwelling Completion,2019Q1,W23: Celbridge,138
4050,New Dwelling Completion,2019Q1,W34: Monasterevin,18
4051,New Dwelling Completion,2019Q1,W91: Naas,162
4052,New Dwelling Completion,2019Q1,X35: Dungarvan,22
4053,New Dwelling Completion,2019Q1,X42: Kilmacthomas,8
4054,New Dwelling Completion,2019Q1,X91: Waterford,38
4055,New Dwelling Completion,2019Q1,Y14: Arklow,20
4056,New Dwelling Completion,2019Q1,Y21: Enniscorthy,38
4057,New Dwelling Completion,2019Q1,Y25: Gorey,27
4058,New Dwelling Completion,2019Q1,Y34: New Ross,11
4059,New Dwelling Completion,2019Q1,Y35: Wexford,61
4060,New Dwelling Completion,2019Q2,All,4820
4061,New Dwelling Completion,2019Q2,A41: Ballyboughal,22
4062,New Dwelling Completion,2019Q2,A42: Garristown,2
4063,New Dwelling Completion,2019Q2,A45: Oldtown,0
4064,New Dwelling Completion,2019Q2,A63: Greystones,107
4065,New Dwelling Completion,2019Q2,A67: Wicklow,65
