,Statistic,Quarter,Eircode.Output,value
171,New Dwelling Completion,2012Q2,D13: Dublin 13,2
172,New Dwelling Completion,2012Q2,D14: Dublin 14,0
173,New Dwelling Completion,2012Q2,D15: Dublin 15,7
174,New Dwelling Completion,2012Q2,D16: Dublin 16,9
175,New Dwelling Completion,2012Q2,D17: Dublin 17,0
176,New Dwelling Completion,2012Q2,D18: Dublin 18,1
177,New Dwelling Completion,2012Q2,D20: Dublin 20,0
178,New Dwelling Completion,2012Q2,D22: Dublin 22,0
179,New Dwelling Completion,2012Q2,D24: Dublin 24,12
180,New Dwelling Completion,2012Q2,D6W: Dublin 6W,3
181,New Dwelling Completion,2012Q2,E21: Cahir,4
182,New Dwelling Completion,2012Q2,E25: Cashel,2
183,New Dwelling Completion,2012Q2,E32: Carrick-on-Suir,3
184,New Dwelling Completion,2012Q2,E34: Tipperary,4
185,New Dwelling Completion,2012Q2,E41: Thurles,10
186,New Dwelling Completion,2012Q2,E45: Nenagh,3
187,New Dwelling Completion,2012Q2,E53: Roscrea,1
188,New Dwelling Completion,2012Q2,E91: Clonmel,3
189,New Dwelling Completion,2012Q2,F12: Claremorris,12
190,New Dwelling Completion,2012Q2,F23: Castlebar,5
191,New Dwelling Completion,2012Q2,F26: Ballina,19
192,New Dwelling Completion,2012Q2,F28: Westport,17
193,New Dwelling Completion,2012Q2,F31: Ballinrobe,1
194,New Dwelling Completion,2012Q2,F35: Ballyhaunis,5
195,New Dwelling Completion,2012Q2,F42: Roscommon,11
196,New Dwelling Completion,2012Q2,F45: Castlerea,11
197,New Dwelling Completion,2012Q2,F52: Boyle,5
198,New Dwelling Completion,2012Q2,F56: Ballymote,1
199,New Dwelling Completion,2012Q2,F91: Sligo,60
200,New Dwelling Completion,2012Q2,F92: Letterkenny,24
201,New Dwelling Completion,2012Q2,F93: Lifford,38
202,New Dwelling Completion,2012Q2,F94: Donegal,12
203,New Dwelling Completion,2012Q2,H12: Cavan,4
204,New Dwelling Completion,2012Q2,H14: Belturbet,1
205,New Dwelling Completion,2012Q2,H16: Cootehill,4
206,New Dwelling Completion,2012Q2,H18: Monaghan,8
207,New Dwelling Completion,2012Q2,H23: Clones,2
208,New Dwelling Completion,2012Q2,H53: Ballinasloe,11
209,New Dwelling Completion,2012Q2,H54: Tuam,8
210,New Dwelling Completion,2012Q2,H62: Loughrea,4
211,New Dwelling Completion,2012Q2,H65: Athenry,8
212,New Dwelling Completion,2012Q2,H71: Clifden,1
213,New Dwelling Completion,2012Q2,H91: Galway,46
214,New Dwelling Completion,2012Q2,K32: Balbriggan,5
