Statistic,Quarter,Type.of.House,value
Seasonally Adjusted New Dwelling Completions,2017Q1,Scheme house,1551
Seasonally Adjusted New Dwelling Completions,2017Q1,Apartment,550
Seasonally Adjusted New Dwelling Completions,2017Q1,All house types,3102
Seasonally Adjusted New Dwelling Completions,2017Q2,Single house,1042
Seasonally Adjusted New Dwelling Completions,2017Q2,Scheme house,1978
Seasonally Adjusted New Dwelling Completions,2017Q2,Apartment,459
Seasonally Adjusted New Dwelling Completions,2017Q2,All house types,3479
Seasonally Adjusted New Dwelling Completions,2017Q3,Single house,1090
Seasonally Adjusted New Dwelling Completions,2017Q3,Scheme house,2004
Seasonally Adjusted New Dwelling Completions,2017Q3,Apartment,557
Seasonally Adjusted New Dwelling Completions,2017Q3,All house types,3650
Seasonally Adjusted New Dwelling Completions,2017Q4,Single house,1092
Seasonally Adjusted New Dwelling Completions,2017Q4,Scheme house,2231
Seasonally Adjusted New Dwelling Completions,2017Q4,Apartment,588
Seasonally Adjusted New Dwelling Completions,2017Q4,All house types,3911
Seasonally Adjusted New Dwelling Completions,2018Q1,Single house,1109
Seasonally Adjusted New Dwelling Completions,2018Q1,Scheme house,2545
Seasonally Adjusted New Dwelling Completions,2018Q1,Apartment,551
Seasonally Adjusted New Dwelling Completions,2018Q1,All house types,4205
Seasonally Adjusted New Dwelling Completions,2018Q2,Single house,1152
Seasonally Adjusted New Dwelling Completions,2018Q2,Scheme house,2679
Seasonally Adjusted New Dwelling Completions,2018Q2,Apartment,494
Seasonally Adjusted New Dwelling Completions,2018Q2,All house types,4325
Seasonally Adjusted New Dwelling Completions,2018Q3,Single house,1180
Seasonally Adjusted New Dwelling Completions,2018Q3,Scheme house,2844
Seasonally Adjusted New Dwelling Completions,2018Q3,Apartment,530
Seasonally Adjusted New Dwelling Completions,2018Q3,All house types,4554
Seasonally Adjusted New Dwelling Completions,2018Q4,Single house,1215
Seasonally Adjusted New Dwelling Completions,2018Q4,Scheme house,2786
Seasonally Adjusted New Dwelling Completions,2018Q4,Apartment,637
Seasonally Adjusted New Dwelling Completions,2018Q4,All house types,4638
Seasonally Adjusted New Dwelling Completions,2019Q1,Single house,1261
Seasonally Adjusted New Dwelling Completions,2019Q1,Scheme house,2912
Seasonally Adjusted New Dwelling Completions,2019Q1,Apartment,664
Seasonally Adjusted New Dwelling Completions,2019Q1,All house types,4837
Seasonally Adjusted New Dwelling Completions,2019Q2,Single house,1317
Seasonally Adjusted New Dwelling Completions,2019Q2,Scheme house,3084
Seasonally Adjusted New Dwelling Completions,2019Q2,Apartment,696
Seasonally Adjusted New Dwelling Completions,2019Q2,All house types,5096
Seasonally Adjusted New Dwelling Completions,2019Q3,Single house,1241
Seasonally Adjusted New Dwelling Completions,2019Q3,Scheme house,3349
Seasonally Adjusted New Dwelling Completions,2019Q3,Apartment,996
Seasonally Adjusted New Dwelling Completions,2019Q3,All house types,5586
Seasonally Adjusted New Dwelling Completions,2019Q4,Single house,1271
Seasonally Adjusted New Dwelling Completions,2019Q4,Scheme house,3150
Seasonally Adjusted New Dwelling Completions,2019Q4,Apartment,1015
Seasonally Adjusted New Dwelling Completions,2019Q4,All house types,5437
Seasonally Adjusted New Dwelling Completions,2020Q1,Single house,1284
Seasonally Adjusted New Dwelling Completions,2020Q1,Scheme house,3293
Seasonally Adjusted New Dwelling Completions,2020Q1,Apartment,1151
Seasonally Adjusted New Dwelling Completions,2020Q1,All house types,5727
Seasonally Adjusted New Dwelling Completions,2020Q2,Single house,866
Seasonally Adjusted New Dwelling Completions,2020Q2,Scheme house,1965
Seasonally Adjusted New Dwelling Completions,2020Q2,Apartment,557
Seasonally Adjusted New Dwelling Completions,2020Q2,All house types,3388
Seasonally Adjusted New Dwelling Completions,2020Q3,Single house,1436
Seasonally Adjusted New Dwelling Completions,2020Q3,Scheme house,2921
Seasonally Adjusted New Dwelling Completions,2020Q3,Apartment,691
Seasonally Adjusted New Dwelling Completions,2020Q3,All house types,5049
Seasonally Adjusted New Dwelling Completions,2020Q4,Single house,1376
Seasonally Adjusted New Dwelling Completions,2020Q4,Scheme house,3384
Seasonally Adjusted New Dwelling Completions,2020Q4,Apartment,1387
Seasonally Adjusted New Dwelling Completions,2020Q4,All house types,6146
Seasonally Adjusted New Dwelling Completions,2021Q1,Single house,1138
Seasonally Adjusted New Dwelling Completions,2021Q1,Scheme house,2892
Seasonally Adjusted New Dwelling Completions,2021Q1,Apartment,866
Seasonally Adjusted New Dwelling Completions,2021Q1,All house types,4896
Seasonally Adjusted New Dwelling Completions,2021Q2,Single house,1149
Seasonally Adjusted New Dwelling Completions,2021Q2,Scheme house,2467
Seasonally Adjusted New Dwelling Completions,2021Q2,Apartment,1366
Seasonally Adjusted New Dwelling Completions,2021Q2,All house types,4981
Seasonally Adjusted New Dwelling Completions,2021Q3,Single house,1181
Seasonally Adjusted New Dwelling Completions,2021Q3,Scheme house,2535
Seasonally Adjusted New Dwelling Completions,2021Q3,Apartment,958
Seasonally Adjusted New Dwelling Completions,2021Q3,All house types,4674
Seasonally Adjusted New Dwelling Completions,2021Q4,Single house,1253
Seasonally Adjusted New Dwelling Completions,2021Q4,Scheme house,2789
Seasonally Adjusted New Dwelling Completions,2021Q4,Apartment,1728
Seasonally Adjusted New Dwelling Completions,2021Q4,All house types,5770
Seasonally Adjusted New Dwelling Completions,2022Q1,Single house,1291
Seasonally Adjusted New Dwelling Completions,2022Q1,Scheme house,3368
Seasonally Adjusted New Dwelling Completions,2022Q1,Apartment,2064
Seasonally Adjusted New Dwelling Completions,2022Q1,All house types,6723
Seasonally Adjusted New Dwelling Completions,2022Q2,Single house,1324
Seasonally Adjusted New Dwelling Completions,2022Q2,Scheme house,4080
Seasonally Adjusted New Dwelling Completions,2022Q2,Apartment,2476
Seasonally Adjusted New Dwelling Completions,2022Q2,All house types,7880
Seasonally Adjusted New Dwelling Completions,2022Q3,Single house,1486
Seasonally Adjusted New Dwelling Completions,2022Q3,Scheme house,3677
Seasonally Adjusted New Dwelling Completions,2022Q3,Apartment,2314
