,Statistic,Month,Type.of.Residential.Property,value
173,Residential Property Price Index,2005 September,Border - houses,
174,Residential Property Price Index,2005 September,Midland - houses,
175,Residential Property Price Index,2005 September,West - houses,
176,Residential Property Price Index,2005 September,Mid-East - houses,
177,Residential Property Price Index,2005 September,Mid-West - houses,
178,Residential Property Price Index,2005 September,South-East - houses,
179,Residential Property Price Index,2005 September,South-West - houses,
180,Residential Property Price Index,2005 October,National - all residential properties,138.1
181,Residential Property Price Index,2005 October,National - houses,134.1
182,Residential Property Price Index,2005 October,National - apartments,161.4
183,Residential Property Price Index,2005 October,Dublin - all residential properties,133.7
184,Residential Property Price Index,2005 October,Dublin - houses,127.7
185,Residential Property Price Index,2005 October,Dublin - apartments,156.2
186,Residential Property Price Index,2005 October,Dublin City - houses,
187,Residential Property Price Index,2005 October,Dun Laoghaire-Rathdown - houses,
188,Residential Property Price Index,2005 October,Fingal - houses,
189,Residential Property Price Index,2005 October,South Dublin - houses,
190,Residential Property Price Index,2005 October,National excluding Dublin - all residential properties,155.3
191,Residential Property Price Index,2005 October,National excluding Dublin - houses,152.5
192,Residential Property Price Index,2005 October,National excluding Dublin - apartments,205.0
193,Residential Property Price Index,2005 October,Border - houses,
194,Residential Property Price Index,2005 October,Midland - houses,
195,Residential Property Price Index,2005 October,West - houses,
196,Residential Property Price Index,2005 October,Mid-East - houses,
197,Residential Property Price Index,2005 October,Mid-West - houses,
198,Residential Property Price Index,2005 October,South-East - houses,
199,Residential Property Price Index,2005 October,South-West - houses,
200,Residential Property Price Index,2005 November,National - all residential properties,139.3
201,Residential Property Price Index,2005 November,National - houses,135.3
202,Residential Property Price Index,2005 November,National - apartments,163.4
203,Residential Property Price Index,2005 November,Dublin - all residential properties,135.4
204,Residential Property Price Index,2005 November,Dublin - houses,129.5
205,Residential Property Price Index,2005 November,Dublin - apartments,157.8
206,Residential Property Price Index,2005 November,Dublin City - houses,
207,Residential Property Price Index,2005 November,Dun Laoghaire-Rathdown - houses,
208,Residential Property Price Index,2005 November,Fingal - houses,
209,Residential Property Price Index,2005 November,South Dublin - houses,
210,Residential Property Price Index,2005 November,National excluding Dublin - all residential properties,156.3
211,Residential Property Price Index,2005 November,National excluding Dublin - houses,153.5
212,Residential Property Price Index,2005 November,National excluding Dublin - apartments,207.8
213,Residential Property Price Index,2005 November,Border - houses,
214,Residential Property Price Index,2005 November,Midland - houses,
215,Residential Property Price Index,2005 November,West - houses,
216,Residential Property Price Index,2005 November,Mid-East - houses,
217,Residential Property Price Index,2005 November,Mid-West - houses,
218,Residential Property Price Index,2005 November,South-East - houses,
219,Residential Property Price Index,2005 November,South-West - houses,
220,Residential Property Price Index,2005 December,National - all residential properties,140.7
221,Residential Property Price Index,2005 December,National - houses,136.5
222,Residential Property Price Index,2005 December,National - apartments,166.4
223,Residential Property Price Index,2005 December,Dublin - all residential properties,136.2
224,Residential Property Price Index,2005 December,Dublin - houses,129.9
225,Residential Property Price Index,2005 December,Dublin - apartments,160.1
226,Residential Property Price Index,2005 December,Dublin City - houses,
227,Residential Property Price Index,2005 December,Dun Laoghaire-Rathdown - houses,
228,Residential Property Price Index,2005 December,Fingal - houses,
229,Residential Property Price Index,2005 December,South Dublin - houses,
230,Residential Property Price Index,2005 December,National excluding Dublin - all residential properties,158.2
231,Residential Property Price Index,2005 December,National excluding Dublin - houses,155.3
232,Residential Property Price Index,2005 December,National excluding Dublin - apartments,213.2
233,Residential Property Price Index,2005 December,Border - houses,
234,Residential Property Price Index,2005 December,Midland - houses,
235,Residential Property Price Index,2005 December,West - houses,
236,Residential Property Price Index,2005 December,Mid-East - houses,
237,Residential Property Price Index,2005 December,Mid-West - houses,
238,Residential Property Price Index,2005 December,South-East - houses,
239,Residential Property Price Index,2005 December,South-West - houses,
240,Residential Property Price Index,2006 January,National - all residential properties,141.4
241,Residential Property Price Index,2006 January,National - houses,137.3
242,Residential Property Price Index,2006 January,National - apartments,167.8
243,Residential Property Price Index,2006 January,Dublin - all residential properties,136.8
244,Residential Property Price Index,2006 January,Dublin - houses,130.9
245,Residential Property Price Index,2006 January,Dublin - apartments,159.9
246,Residential Property Price Index,2006 January,Dublin City - houses,
247,Residential Property Price Index,2006 January,Dun Laoghaire-Rathdown - houses,
248,Residential Property Price Index,2006 January,Fingal - houses,
249,Residential Property Price Index,2006 January,South Dublin - houses,
250,Residential Property Price Index,2006 January,National excluding Dublin - all residential properties,159.0
251,Residential Property Price Index,2006 January,National excluding Dublin - houses,156.0
252,Residential Property Price Index,2006 January,National excluding Dublin - apartments,216.3
253,Residential Property Price Index,2006 January,Border - houses,
254,Residential Property Price Index,2006 January,Midland - houses,
255,Residential Property Price Index,2006 January,West - houses,
256,Residential Property Price Index,2006 January,Mid-East - houses,
257,Residential Property Price Index,2006 January,Mid-West - houses,
258,Residential Property Price Index,2006 January,South-East - houses,
259,Residential Property Price Index,2006 January,South-West - houses,
260,Residential Property Price Index,2006 February,National - all residential properties,141.7
261,Residential Property Price Index,2006 February,National - houses,137.7
262,Residential Property Price Index,2006 February,National - apartments,169.0
263,Residential Property Price Index,2006 February,Dublin - all residential properties,137.9
264,Residential Property Price Index,2006 February,Dublin - houses,132.3
265,Residential Property Price Index,2006 February,Dublin - apartments,160.7
266,Residential Property Price Index,2006 February,Dublin City - houses,
267,Residential Property Price Index,2006 February,Dun Laoghaire-Rathdown - houses,
268,Residential Property Price Index,2006 February,Fingal - houses,
269,Residential Property Price Index,2006 February,South Dublin - houses,
270,Residential Property Price Index,2006 February,National excluding Dublin - all residential properties,158.9
271,Residential Property Price Index,2006 February,National excluding Dublin - houses,155.9
272,Residential Property Price Index,2006 February,National excluding Dublin - apartments,216.2
273,Residential Property Price Index,2006 February,Border - houses,
274,Residential Property Price Index,2006 February,Midland - houses,
275,Residential Property Price Index,2006 February,West - houses,
276,Residential Property Price Index,2006 February,Mid-East - houses,
277,Residential Property Price Index,2006 February,Mid-West - houses,
278,Residential Property Price Index,2006 February,South-East - houses,
279,Residential Property Price Index,2006 February,South-West - houses,
280,Residential Property Price Index,2006 March,National - all residential properties,142.5
281,Residential Property Price Index,2006 March,National - houses,138.5
282,Residential Property Price Index,2006 March,National - apartments,170.1
283,Residential Property Price Index,2006 March,Dublin - all residential properties,138.7
284,Residential Property Price Index,2006 March,Dublin - houses,133.1
285,Residential Property Price Index,2006 March,Dublin - apartments,161.4
286,Residential Property Price Index,2006 March,Dublin City - houses,
287,Residential Property Price Index,2006 March,Dun Laoghaire-Rathdown - houses,
288,Residential Property Price Index,2006 March,Fingal - houses,
289,Residential Property Price Index,2006 March,South Dublin - houses,
290,Residential Property Price Index,2006 March,National excluding Dublin - all residential properties,159.7
291,Residential Property Price Index,2006 March,National excluding Dublin - houses,156.8
292,Residential Property Price Index,2006 March,National excluding Dublin - apartments,216.0
293,Residential Property Price Index,2006 March,Border - houses,
294,Residential Property Price Index,2006 March,Midland - houses,
295,Residential Property Price Index,2006 March,West - houses,
296,Residential Property Price Index,2006 March,Mid-East - houses,
297,Residential Property Price Index,2006 March,Mid-West - houses,
298,Residential Property Price Index,2006 March,South-East - houses,
299,Residential Property Price Index,2006 March,South-West - houses,
300,Residential Property Price Index,2006 April,National - all residential properties,144.6
301,Residential Property Price Index,2006 April,National - houses,140.5
302,Residential Property Price Index,2006 April,National - apartments,172.7
303,Residential Property Price Index,2006 April,Dublin - all residential properties,141.3
304,Residential Property Price Index,2006 April,Dublin - houses,135.2
305,Residential Property Price Index,2006 April,Dublin - apartments,164.8
306,Residential Property Price Index,2006 April,Dublin City - houses,
307,Residential Property Price Index,2006 April,Dun Laoghaire-Rathdown - houses,
308,Residential Property Price Index,2006 April,Fingal - houses,
309,Residential Property Price Index,2006 April,South Dublin - houses,
310,Residential Property Price Index,2006 April,National excluding Dublin - all residential properties,161.8
311,Residential Property Price Index,2006 April,National excluding Dublin - houses,158.9
312,Residential Property Price Index,2006 April,National excluding Dublin - apartments,217.3
313,Residential Property Price Index,2006 April,Border - houses,
314,Residential Property Price Index,2006 April,Midland - houses,
315,Residential Property Price Index,2006 April,West - houses,
316,Residential Property Price Index,2006 April,Mid-East - houses,
317,Residential Property Price Index,2006 April,Mid-West - houses,
318,Residential Property Price Index,2006 April,South-East - houses,
319,Residential Property Price Index,2006 April,South-West - houses,
320,Residential Property Price Index,2006 May,National - all residential properties,147.6
321,Residential Property Price Index,2006 May,National - houses,143.4
322,Residential Property Price Index,2006 May,National - apartments,175.0
323,Residential Property Price Index,2006 May,Dublin - all residential properties,145.0
324,Residential Property Price Index,2006 May,Dublin - houses,139.1
325,Residential Property Price Index,2006 May,Dublin - apartments,167.5
326,Residential Property Price Index,2006 May,Dublin City - houses,
327,Residential Property Price Index,2006 May,Dun Laoghaire-Rathdown - houses,
328,Residential Property Price Index,2006 May,Fingal - houses,
329,Residential Property Price Index,2006 May,South Dublin - houses,
330,Residential Property Price Index,2006 May,National excluding Dublin - all residential properties,164.6
331,Residential Property Price Index,2006 May,National excluding Dublin - houses,161.7
332,Residential Property Price Index,2006 May,National excluding Dublin - apartments,219.3
333,Residential Property Price Index,2006 May,Border - houses,
334,Residential Property Price Index,2006 May,Midland - houses,
335,Residential Property Price Index,2006 May,West - houses,
336,Residential Property Price Index,2006 May,Mid-East - houses,
337,Residential Property Price Index,2006 May,Mid-West - houses,
338,Residential Property Price Index,2006 May,South-East - houses,
339,Residential Property Price Index,2006 May,South-West - houses,
340,Residential Property Price Index,2006 June,National - all residential properties,150.3
341,Residential Property Price Index,2006 June,National - houses,146.2
342,Residential Property Price Index,2006 June,National - apartments,176.9
343,Residential Property Price Index,2006 June,Dublin - all residential properties,148.7
344,Residential Property Price Index,2006 June,Dublin - houses,143.1
345,Residential Property Price Index,2006 June,Dublin - apartments,169.8
346,Residential Property Price Index,2006 June,Dublin City - houses,
347,Residential Property Price Index,2006 June,Dun Laoghaire-Rathdown - houses,
348,Residential Property Price Index,2006 June,Fingal - houses,
349,Residential Property Price Index,2006 June,South Dublin - houses,
350,Residential Property Price Index,2006 June,National excluding Dublin - all residential properties,166.9
351,Residential Property Price Index,2006 June,National excluding Dublin - houses,164.0
352,Residential Property Price Index,2006 June,National excluding Dublin - apartments,220.2
353,Residential Property Price Index,2006 June,Border - houses,
354,Residential Property Price Index,2006 June,Midland - houses,
355,Residential Property Price Index,2006 June,West - houses,
356,Residential Property Price Index,2006 June,Mid-East - houses,
357,Residential Property Price Index,2006 June,Mid-West - houses,
358,Residential Property Price Index,2006 June,South-East - houses,
359,Residential Property Price Index,2006 June,South-West - houses,
360,Residential Property Price Index,2006 July,National - all residential properties,153.7
361,Residential Property Price Index,2006 July,National - houses,149.7
362,Residential Property Price Index,2006 July,National - apartments,179.1
363,Residential Property Price Index,2006 July,Dublin - all residential properties,153.4
364,Residential Property Price Index,2006 July,Dublin - houses,148.6
365,Residential Property Price Index,2006 July,Dublin - apartments,172.0
366,Residential Property Price Index,2006 July,Dublin City - houses,
367,Residential Property Price Index,2006 July,Dun Laoghaire-Rathdown - houses,
368,Residential Property Price Index,2006 July,Fingal - houses,
369,Residential Property Price Index,2006 July,South Dublin - houses,
370,Residential Property Price Index,2006 July,National excluding Dublin - all residential properties,169.7
371,Residential Property Price Index,2006 July,National excluding Dublin - houses,166.8
372,Residential Property Price Index,2006 July,National excluding Dublin - apartments,223.2
373,Residential Property Price Index,2006 July,Border - houses,
374,Residential Property Price Index,2006 July,Midland - houses,
375,Residential Property Price Index,2006 July,West - houses,
376,Residential Property Price Index,2006 July,Mid-East - houses,
