,Statistic,Month,Type.of.Residential.Property,value
11594,Percentage Change over 3 months for Residential Property Price Index,2015 August,Midland - houses,6.4
11595,Percentage Change over 3 months for Residential Property Price Index,2015 August,West - houses,3.6
11596,Percentage Change over 3 months for Residential Property Price Index,2015 August,Mid-East - houses,3.3
11597,Percentage Change over 3 months for Residential Property Price Index,2015 August,Mid-West - houses,3.4
11598,Percentage Change over 3 months for Residential Property Price Index,2015 August,South-East - houses,4.9
11599,Percentage Change over 3 months for Residential Property Price Index,2015 August,South-West - houses,2.5
11600,Percentage Change over 3 months for Residential Property Price Index,2015 September,National - all residential properties,2.3
11601,Percentage Change over 3 months for Residential Property Price Index,2015 September,National - houses,2.1
11602,Percentage Change over 3 months for Residential Property Price Index,2015 September,National - apartments,2.8
11603,Percentage Change over 3 months for Residential Property Price Index,2015 September,Dublin - all residential properties,1.5
11604,Percentage Change over 3 months for Residential Property Price Index,2015 September,Dublin - houses,1.1
11605,Percentage Change over 3 months for Residential Property Price Index,2015 September,Dublin - apartments,3.9
11606,Percentage Change over 3 months for Residential Property Price Index,2015 September,Dublin City - houses,0.0
11607,Percentage Change over 3 months for Residential Property Price Index,2015 September,Dun Laoghaire-Rathdown - houses,0.9
11608,Percentage Change over 3 months for Residential Property Price Index,2015 September,Fingal - houses,1.0
11609,Percentage Change over 3 months for Residential Property Price Index,2015 September,South Dublin - houses,-0.5
11610,Percentage Change over 3 months for Residential Property Price Index,2015 September,National excluding Dublin - all residential properties,3.3
11611,Percentage Change over 3 months for Residential Property Price Index,2015 September,National excluding Dublin - houses,3.1
11612,Percentage Change over 3 months for Residential Property Price Index,2015 September,National excluding Dublin - apartments,5.0
11613,Percentage Change over 3 months for Residential Property Price Index,2015 September,Border - houses,6.2
11614,Percentage Change over 3 months for Residential Property Price Index,2015 September,Midland - houses,7.6
11615,Percentage Change over 3 months for Residential Property Price Index,2015 September,West - houses,0.8
11616,Percentage Change over 3 months for Residential Property Price Index,2015 September,Mid-East - houses,2.8
11617,Percentage Change over 3 months for Residential Property Price Index,2015 September,Mid-West - houses,2.7
11618,Percentage Change over 3 months for Residential Property Price Index,2015 September,South-East - houses,4.0
11619,Percentage Change over 3 months for Residential Property Price Index,2015 September,South-West - houses,3.5
11620,Percentage Change over 3 months for Residential Property Price Index,2015 October,National - all residential properties,2.7
11621,Percentage Change over 3 months for Residential Property Price Index,2015 October,National - houses,2.5
11622,Percentage Change over 3 months for Residential Property Price Index,2015 October,National - apartments,3.6
11623,Percentage Change over 3 months for Residential Property Price Index,2015 October,Dublin - all residential properties,2.2
11624,Percentage Change over 3 months for Residential Property Price Index,2015 October,Dublin - houses,1.8
11625,Percentage Change over 3 months for Residential Property Price Index,2015 October,Dublin - apartments,4.6
11626,Percentage Change over 3 months for Residential Property Price Index,2015 October,Dublin City - houses,1.5
11627,Percentage Change over 3 months for Residential Property Price Index,2015 October,Dun Laoghaire-Rathdown - houses,0.8
11628,Percentage Change over 3 months for Residential Property Price Index,2015 October,Fingal - houses,2.2
11629,Percentage Change over 3 months for Residential Property Price Index,2015 October,South Dublin - houses,-0.9
11630,Percentage Change over 3 months for Residential Property Price Index,2015 October,National excluding Dublin - all residential properties,3.3
11631,Percentage Change over 3 months for Residential Property Price Index,2015 October,National excluding Dublin - houses,3.2
11632,Percentage Change over 3 months for Residential Property Price Index,2015 October,National excluding Dublin - apartments,4.4
11633,Percentage Change over 3 months for Residential Property Price Index,2015 October,Border - houses,5.4
11634,Percentage Change over 3 months for Residential Property Price Index,2015 October,Midland - houses,8.2
11635,Percentage Change over 3 months for Residential Property Price Index,2015 October,West - houses,1.8
11636,Percentage Change over 3 months for Residential Property Price Index,2015 October,Mid-East - houses,2.9
11637,Percentage Change over 3 months for Residential Property Price Index,2015 October,Mid-West - houses,0.8
11638,Percentage Change over 3 months for Residential Property Price Index,2015 October,South-East - houses,3.3
11639,Percentage Change over 3 months for Residential Property Price Index,2015 October,South-West - houses,4.7
11640,Percentage Change over 3 months for Residential Property Price Index,2015 November,National - all residential properties,1.2
11641,Percentage Change over 3 months for Residential Property Price Index,2015 November,National - houses,1.5
11642,Percentage Change over 3 months for Residential Property Price Index,2015 November,National - apartments,1.2
11643,Percentage Change over 3 months for Residential Property Price Index,2015 November,Dublin - all residential properties,0.8
11644,Percentage Change over 3 months for Residential Property Price Index,2015 November,Dublin - houses,1.3
11645,Percentage Change over 3 months for Residential Property Price Index,2015 November,Dublin - apartments,0.4
11646,Percentage Change over 3 months for Residential Property Price Index,2015 November,Dublin City - houses,1.5
11647,Percentage Change over 3 months for Residential Property Price Index,2015 November,Dun Laoghaire-Rathdown - houses,2.1
11648,Percentage Change over 3 months for Residential Property Price Index,2015 November,Fingal - houses,1.3
11649,Percentage Change over 3 months for Residential Property Price Index,2015 November,South Dublin - houses,-2.2
11650,Percentage Change over 3 months for Residential Property Price Index,2015 November,National excluding Dublin - all residential properties,1.6
11651,Percentage Change over 3 months for Residential Property Price Index,2015 November,National excluding Dublin - houses,1.7
11652,Percentage Change over 3 months for Residential Property Price Index,2015 November,National excluding Dublin - apartments,1.8
11653,Percentage Change over 3 months for Residential Property Price Index,2015 November,Border - houses,2.0
11654,Percentage Change over 3 months for Residential Property Price Index,2015 November,Midland - houses,4.2
11655,Percentage Change over 3 months for Residential Property Price Index,2015 November,West - houses,2.6
11656,Percentage Change over 3 months for Residential Property Price Index,2015 November,Mid-East - houses,2.1
11657,Percentage Change over 3 months for Residential Property Price Index,2015 November,Mid-West - houses,1.1
11658,Percentage Change over 3 months for Residential Property Price Index,2015 November,South-East - houses,1.1
11659,Percentage Change over 3 months for Residential Property Price Index,2015 November,South-West - houses,4.4
11660,Percentage Change over 3 months for Residential Property Price Index,2015 December,National - all residential properties,0.6
11661,Percentage Change over 3 months for Residential Property Price Index,2015 December,National - houses,1.1
11662,Percentage Change over 3 months for Residential Property Price Index,2015 December,National - apartments,0.1
11663,Percentage Change over 3 months for Residential Property Price Index,2015 December,Dublin - all residential properties,0.2
11664,Percentage Change over 3 months for Residential Property Price Index,2015 December,Dublin - houses,1.0
11665,Percentage Change over 3 months for Residential Property Price Index,2015 December,Dublin - apartments,-1.5
11666,Percentage Change over 3 months for Residential Property Price Index,2015 December,Dublin City - houses,1.8
11667,Percentage Change over 3 months for Residential Property Price Index,2015 December,Dun Laoghaire-Rathdown - houses,2.1
11668,Percentage Change over 3 months for Residential Property Price Index,2015 December,Fingal - houses,0.8
11669,Percentage Change over 3 months for Residential Property Price Index,2015 December,South Dublin - houses,-2.0
11670,Percentage Change over 3 months for Residential Property Price Index,2015 December,National excluding Dublin - all residential properties,1.0
11671,Percentage Change over 3 months for Residential Property Price Index,2015 December,National excluding Dublin - houses,1.1
11672,Percentage Change over 3 months for Residential Property Price Index,2015 December,National excluding Dublin - apartments,0.5
11673,Percentage Change over 3 months for Residential Property Price Index,2015 December,Border - houses,1.6
11674,Percentage Change over 3 months for Residential Property Price Index,2015 December,Midland - houses,4.4
11675,Percentage Change over 3 months for Residential Property Price Index,2015 December,West - houses,3.4
11676,Percentage Change over 3 months for Residential Property Price Index,2015 December,Mid-East - houses,1.4
11677,Percentage Change over 3 months for Residential Property Price Index,2015 December,Mid-West - houses,1.3
11678,Percentage Change over 3 months for Residential Property Price Index,2015 December,South-East - houses,0.9
11679,Percentage Change over 3 months for Residential Property Price Index,2015 December,South-West - houses,2.7
11680,Percentage Change over 3 months for Residential Property Price Index,2016 January,National - all residential properties,0.4
11681,Percentage Change over 3 months for Residential Property Price Index,2016 January,National - houses,0.9
11682,Percentage Change over 3 months for Residential Property Price Index,2016 January,National - apartments,-0.7
11683,Percentage Change over 3 months for Residential Property Price Index,2016 January,Dublin - all residential properties,0.4
11684,Percentage Change over 3 months for Residential Property Price Index,2016 January,Dublin - houses,1.5
11685,Percentage Change over 3 months for Residential Property Price Index,2016 January,Dublin - apartments,-2.9
11686,Percentage Change over 3 months for Residential Property Price Index,2016 January,Dublin City - houses,0.7
11687,Percentage Change over 3 months for Residential Property Price Index,2016 January,Dun Laoghaire-Rathdown - houses,3.4
11688,Percentage Change over 3 months for Residential Property Price Index,2016 January,Fingal - houses,1.0
11689,Percentage Change over 3 months for Residential Property Price Index,2016 January,South Dublin - houses,0.4
11690,Percentage Change over 3 months for Residential Property Price Index,2016 January,National excluding Dublin - all residential properties,0.4
11691,Percentage Change over 3 months for Residential Property Price Index,2016 January,National excluding Dublin - houses,0.4
11692,Percentage Change over 3 months for Residential Property Price Index,2016 January,National excluding Dublin - apartments,0.9
11693,Percentage Change over 3 months for Residential Property Price Index,2016 January,Border - houses,2.8
11694,Percentage Change over 3 months for Residential Property Price Index,2016 January,Midland - houses,4.1
11695,Percentage Change over 3 months for Residential Property Price Index,2016 January,West - houses,1.7
11696,Percentage Change over 3 months for Residential Property Price Index,2016 January,Mid-East - houses,-0.9
11697,Percentage Change over 3 months for Residential Property Price Index,2016 January,Mid-West - houses,1.7
11698,Percentage Change over 3 months for Residential Property Price Index,2016 January,South-East - houses,0.4
11699,Percentage Change over 3 months for Residential Property Price Index,2016 January,South-West - houses,3.1
11700,Percentage Change over 3 months for Residential Property Price Index,2016 February,National - all residential properties,0.2
11701,Percentage Change over 3 months for Residential Property Price Index,2016 February,National - houses,0.1
11702,Percentage Change over 3 months for Residential Property Price Index,2016 February,National - apartments,0.7
11703,Percentage Change over 3 months for Residential Property Price Index,2016 February,Dublin - all residential properties,0.2
11704,Percentage Change over 3 months for Residential Property Price Index,2016 February,Dublin - houses,0.1
11705,Percentage Change over 3 months for Residential Property Price Index,2016 February,Dublin - apartments,0.0
11706,Percentage Change over 3 months for Residential Property Price Index,2016 February,Dublin City - houses,-0.4
11707,Percentage Change over 3 months for Residential Property Price Index,2016 February,Dun Laoghaire-Rathdown - houses,1.3
11708,Percentage Change over 3 months for Residential Property Price Index,2016 February,Fingal - houses,1.2
11709,Percentage Change over 3 months for Residential Property Price Index,2016 February,South Dublin - houses,1.7
11710,Percentage Change over 3 months for Residential Property Price Index,2016 February,National excluding Dublin - all residential properties,0.2
11711,Percentage Change over 3 months for Residential Property Price Index,2016 February,National excluding Dublin - houses,0.1
11712,Percentage Change over 3 months for Residential Property Price Index,2016 February,National excluding Dublin - apartments,0.9
11713,Percentage Change over 3 months for Residential Property Price Index,2016 February,Border - houses,0.1
11714,Percentage Change over 3 months for Residential Property Price Index,2016 February,Midland - houses,3.0
11715,Percentage Change over 3 months for Residential Property Price Index,2016 February,West - houses,1.8
11716,Percentage Change over 3 months for Residential Property Price Index,2016 February,Mid-East - houses,-0.6
11717,Percentage Change over 3 months for Residential Property Price Index,2016 February,Mid-West - houses,1.3
11718,Percentage Change over 3 months for Residential Property Price Index,2016 February,South-East - houses,0.9
11719,Percentage Change over 3 months for Residential Property Price Index,2016 February,South-West - houses,1.3
11720,Percentage Change over 3 months for Residential Property Price Index,2016 March,National - all residential properties,0.7
11721,Percentage Change over 3 months for Residential Property Price Index,2016 March,National - houses,0.4
11722,Percentage Change over 3 months for Residential Property Price Index,2016 March,National - apartments,1.5
11723,Percentage Change over 3 months for Residential Property Price Index,2016 March,Dublin - all residential properties,0.9
11724,Percentage Change over 3 months for Residential Property Price Index,2016 March,Dublin - houses,0.7
11725,Percentage Change over 3 months for Residential Property Price Index,2016 March,Dublin - apartments,0.8
11726,Percentage Change over 3 months for Residential Property Price Index,2016 March,Dublin City - houses,-0.5
11727,Percentage Change over 3 months for Residential Property Price Index,2016 March,Dun Laoghaire-Rathdown - houses,1.3
11728,Percentage Change over 3 months for Residential Property Price Index,2016 March,Fingal - houses,2.8
11729,Percentage Change over 3 months for Residential Property Price Index,2016 March,South Dublin - houses,1.4
11730,Percentage Change over 3 months for Residential Property Price Index,2016 March,National excluding Dublin - all residential properties,0.4
11731,Percentage Change over 3 months for Residential Property Price Index,2016 March,National excluding Dublin - houses,0.1
11732,Percentage Change over 3 months for Residential Property Price Index,2016 March,National excluding Dublin - apartments,3.7
11733,Percentage Change over 3 months for Residential Property Price Index,2016 March,Border - houses,-0.7
11734,Percentage Change over 3 months for Residential Property Price Index,2016 March,Midland - houses,1.0
11735,Percentage Change over 3 months for Residential Property Price Index,2016 March,West - houses,-0.2
11736,Percentage Change over 3 months for Residential Property Price Index,2016 March,Mid-East - houses,-0.7
11737,Percentage Change over 3 months for Residential Property Price Index,2016 March,Mid-West - houses,-0.3
11738,Percentage Change over 3 months for Residential Property Price Index,2016 March,South-East - houses,1.2
11739,Percentage Change over 3 months for Residential Property Price Index,2016 March,South-West - houses,2.1
11740,Percentage Change over 3 months for Residential Property Price Index,2016 April,National - all residential properties,0.3
11741,Percentage Change over 3 months for Residential Property Price Index,2016 April,National - houses,-0.1
11742,Percentage Change over 3 months for Residential Property Price Index,2016 April,National - apartments,1.7
11743,Percentage Change over 3 months for Residential Property Price Index,2016 April,Dublin - all residential properties,0.1
11744,Percentage Change over 3 months for Residential Property Price Index,2016 April,Dublin - houses,-0.4
11745,Percentage Change over 3 months for Residential Property Price Index,2016 April,Dublin - apartments,1.5
11746,Percentage Change over 3 months for Residential Property Price Index,2016 April,Dublin City - houses,-0.1
11747,Percentage Change over 3 months for Residential Property Price Index,2016 April,Dun Laoghaire-Rathdown - houses,0.3
11748,Percentage Change over 3 months for Residential Property Price Index,2016 April,Fingal - houses,0.8
11749,Percentage Change over 3 months for Residential Property Price Index,2016 April,South Dublin - houses,0.1
11750,Percentage Change over 3 months for Residential Property Price Index,2016 April,National excluding Dublin - all residential properties,0.5
11751,Percentage Change over 3 months for Residential Property Price Index,2016 April,National excluding Dublin - houses,0.2
11752,Percentage Change over 3 months for Residential Property Price Index,2016 April,National excluding Dublin - apartments,3.5
11753,Percentage Change over 3 months for Residential Property Price Index,2016 April,Border - houses,-1.4
11754,Percentage Change over 3 months for Residential Property Price Index,2016 April,Midland - houses,0.8
11755,Percentage Change over 3 months for Residential Property Price Index,2016 April,West - houses,2.1
11756,Percentage Change over 3 months for Residential Property Price Index,2016 April,Mid-East - houses,0.3
11757,Percentage Change over 3 months for Residential Property Price Index,2016 April,Mid-West - houses,0.1
11758,Percentage Change over 3 months for Residential Property Price Index,2016 April,South-East - houses,0.5
11759,Percentage Change over 3 months for Residential Property Price Index,2016 April,South-West - houses,-0.8
11760,Percentage Change over 3 months for Residential Property Price Index,2016 May,National - all residential properties,1.1
11761,Percentage Change over 3 months for Residential Property Price Index,2016 May,National - houses,0.7
11762,Percentage Change over 3 months for Residential Property Price Index,2016 May,National - apartments,2.5
11763,Percentage Change over 3 months for Residential Property Price Index,2016 May,Dublin - all residential properties,0.5
11764,Percentage Change over 3 months for Residential Property Price Index,2016 May,Dublin - houses,-0.1
11765,Percentage Change over 3 months for Residential Property Price Index,2016 May,Dublin - apartments,2.6
11766,Percentage Change over 3 months for Residential Property Price Index,2016 May,Dublin City - houses,0.5
11767,Percentage Change over 3 months for Residential Property Price Index,2016 May,Dun Laoghaire-Rathdown - houses,0.1
11768,Percentage Change over 3 months for Residential Property Price Index,2016 May,Fingal - houses,0.2
11769,Percentage Change over 3 months for Residential Property Price Index,2016 May,South Dublin - houses,0.0
11770,Percentage Change over 3 months for Residential Property Price Index,2016 May,National excluding Dublin - all residential properties,1.7
11771,Percentage Change over 3 months for Residential Property Price Index,2016 May,National excluding Dublin - houses,1.4
11772,Percentage Change over 3 months for Residential Property Price Index,2016 May,National excluding Dublin - apartments,4.6
11773,Percentage Change over 3 months for Residential Property Price Index,2016 May,Border - houses,2.6
11774,Percentage Change over 3 months for Residential Property Price Index,2016 May,Midland - houses,2.5
11775,Percentage Change over 3 months for Residential Property Price Index,2016 May,West - houses,1.2
11776,Percentage Change over 3 months for Residential Property Price Index,2016 May,Mid-East - houses,-0.3
11777,Percentage Change over 3 months for Residential Property Price Index,2016 May,Mid-West - houses,-0.6
11778,Percentage Change over 3 months for Residential Property Price Index,2016 May,South-East - houses,-0.3
11779,Percentage Change over 3 months for Residential Property Price Index,2016 May,South-West - houses,1.3
11780,Percentage Change over 3 months for Residential Property Price Index,2016 June,National - all residential properties,1.8
11781,Percentage Change over 3 months for Residential Property Price Index,2016 June,National - houses,1.3
11782,Percentage Change over 3 months for Residential Property Price Index,2016 June,National - apartments,3.7
11783,Percentage Change over 3 months for Residential Property Price Index,2016 June,Dublin - all residential properties,0.5
11784,Percentage Change over 3 months for Residential Property Price Index,2016 June,Dublin - houses,-0.4
11785,Percentage Change over 3 months for Residential Property Price Index,2016 June,Dublin - apartments,3.9
11786,Percentage Change over 3 months for Residential Property Price Index,2016 June,Dublin City - houses,0.5
11787,Percentage Change over 3 months for Residential Property Price Index,2016 June,Dun Laoghaire-Rathdown - houses,-0.3
11788,Percentage Change over 3 months for Residential Property Price Index,2016 June,Fingal - houses,-1.3
11789,Percentage Change over 3 months for Residential Property Price Index,2016 June,South Dublin - houses,0.8
11790,Percentage Change over 3 months for Residential Property Price Index,2016 June,National excluding Dublin - all residential properties,3.2
11791,Percentage Change over 3 months for Residential Property Price Index,2016 June,National excluding Dublin - houses,2.9
11792,Percentage Change over 3 months for Residential Property Price Index,2016 June,National excluding Dublin - apartments,6.4
11793,Percentage Change over 3 months for Residential Property Price Index,2016 June,Border - houses,2.9
11794,Percentage Change over 3 months for Residential Property Price Index,2016 June,Midland - houses,2.9
11795,Percentage Change over 3 months for Residential Property Price Index,2016 June,West - houses,5.4
11796,Percentage Change over 3 months for Residential Property Price Index,2016 June,Mid-East - houses,0.3
11797,Percentage Change over 3 months for Residential Property Price Index,2016 June,Mid-West - houses,2.1
11798,Percentage Change over 3 months for Residential Property Price Index,2016 June,South-East - houses,-0.9
11799,Percentage Change over 3 months for Residential Property Price Index,2016 June,South-West - houses,1.0
11800,Percentage Change over 3 months for Residential Property Price Index,2016 July,National - all residential properties,3.4
11801,Percentage Change over 3 months for Residential Property Price Index,2016 July,National - houses,3.5
11802,Percentage Change over 3 months for Residential Property Price Index,2016 July,National - apartments,2.9
11803,Percentage Change over 3 months for Residential Property Price Index,2016 July,Dublin - all residential properties,1.1
11804,Percentage Change over 3 months for Residential Property Price Index,2016 July,Dublin - houses,1.1
11805,Percentage Change over 3 months for Residential Property Price Index,2016 July,Dublin - apartments,1.7
11806,Percentage Change over 3 months for Residential Property Price Index,2016 July,Dublin City - houses,1.4
11807,Percentage Change over 3 months for Residential Property Price Index,2016 July,Dun Laoghaire-Rathdown - houses,0.4
11808,Percentage Change over 3 months for Residential Property Price Index,2016 July,Fingal - houses,-1.0
11809,Percentage Change over 3 months for Residential Property Price Index,2016 July,South Dublin - houses,1.9
11810,Percentage Change over 3 months for Residential Property Price Index,2016 July,National excluding Dublin - all residential properties,5.7
11811,Percentage Change over 3 months for Residential Property Price Index,2016 July,National excluding Dublin - houses,5.6
11812,Percentage Change over 3 months for Residential Property Price Index,2016 July,National excluding Dublin - apartments,7.3
11813,Percentage Change over 3 months for Residential Property Price Index,2016 July,Border - houses,2.0
11814,Percentage Change over 3 months for Residential Property Price Index,2016 July,Midland - houses,3.6
11815,Percentage Change over 3 months for Residential Property Price Index,2016 July,West - houses,5.4
11816,Percentage Change over 3 months for Residential Property Price Index,2016 July,Mid-East - houses,2.0
11817,Percentage Change over 3 months for Residential Property Price Index,2016 July,Mid-West - houses,4.5
11818,Percentage Change over 3 months for Residential Property Price Index,2016 July,South-East - houses,2.2
11819,Percentage Change over 3 months for Residential Property Price Index,2016 July,South-West - houses,4.3
11820,Percentage Change over 3 months for Residential Property Price Index,2016 August,National - all residential properties,4.7
11821,Percentage Change over 3 months for Residential Property Price Index,2016 August,National - houses,5.0
11822,Percentage Change over 3 months for Residential Property Price Index,2016 August,National - apartments,3.2
11823,Percentage Change over 3 months for Residential Property Price Index,2016 August,Dublin - all residential properties,3.0
11824,Percentage Change over 3 months for Residential Property Price Index,2016 August,Dublin - houses,3.3
11825,Percentage Change over 3 months for Residential Property Price Index,2016 August,Dublin - apartments,2.3
11826,Percentage Change over 3 months for Residential Property Price Index,2016 August,Dublin City - houses,2.9
11827,Percentage Change over 3 months for Residential Property Price Index,2016 August,Dun Laoghaire-Rathdown - houses,2.9
11828,Percentage Change over 3 months for Residential Property Price Index,2016 August,Fingal - houses,-1.1
11829,Percentage Change over 3 months for Residential Property Price Index,2016 August,South Dublin - houses,2.6
11830,Percentage Change over 3 months for Residential Property Price Index,2016 August,National excluding Dublin - all residential properties,6.4
11831,Percentage Change over 3 months for Residential Property Price Index,2016 August,National excluding Dublin - houses,6.4
11832,Percentage Change over 3 months for Residential Property Price Index,2016 August,National excluding Dublin - apartments,5.9
11833,Percentage Change over 3 months for Residential Property Price Index,2016 August,Border - houses,1.7
11834,Percentage Change over 3 months for Residential Property Price Index,2016 August,Midland - houses,3.7
11835,Percentage Change over 3 months for Residential Property Price Index,2016 August,West - houses,6.6
11836,Percentage Change over 3 months for Residential Property Price Index,2016 August,Mid-East - houses,3.4
11837,Percentage Change over 3 months for Residential Property Price Index,2016 August,Mid-West - houses,7.3
11838,Percentage Change over 3 months for Residential Property Price Index,2016 August,South-East - houses,6.2
11839,Percentage Change over 3 months for Residential Property Price Index,2016 August,South-West - houses,3.5
11840,Percentage Change over 3 months for Residential Property Price Index,2016 September,National - all residential properties,4.8
11841,Percentage Change over 3 months for Residential Property Price Index,2016 September,National - houses,5.4
11842,Percentage Change over 3 months for Residential Property Price Index,2016 September,National - apartments,2.5
11843,Percentage Change over 3 months for Residential Property Price Index,2016 September,Dublin - all residential properties,4.4
11844,Percentage Change over 3 months for Residential Property Price Index,2016 September,Dublin - houses,4.8
11845,Percentage Change over 3 months for Residential Property Price Index,2016 September,Dublin - apartments,2.8
11846,Percentage Change over 3 months for Residential Property Price Index,2016 September,Dublin City - houses,4.8
11847,Percentage Change over 3 months for Residential Property Price Index,2016 September,Dun Laoghaire-Rathdown - houses,4.6
11848,Percentage Change over 3 months for Residential Property Price Index,2016 September,Fingal - houses,-1.0
11849,Percentage Change over 3 months for Residential Property Price Index,2016 September,South Dublin - houses,2.9
11850,Percentage Change over 3 months for Residential Property Price Index,2016 September,National excluding Dublin - all residential properties,5.3
11851,Percentage Change over 3 months for Residential Property Price Index,2016 September,National excluding Dublin - houses,5.8
11852,Percentage Change over 3 months for Residential Property Price Index,2016 September,National excluding Dublin - apartments,0.6
11853,Percentage Change over 3 months for Residential Property Price Index,2016 September,Border - houses,1.9
11854,Percentage Change over 3 months for Residential Property Price Index,2016 September,Midland - houses,5.2
11855,Percentage Change over 3 months for Residential Property Price Index,2016 September,West - houses,4.6
11856,Percentage Change over 3 months for Residential Property Price Index,2016 September,Mid-East - houses,4.0
11857,Percentage Change over 3 months for Residential Property Price Index,2016 September,Mid-West - houses,6.0
11858,Percentage Change over 3 months for Residential Property Price Index,2016 September,South-East - houses,7.7
11859,Percentage Change over 3 months for Residential Property Price Index,2016 September,South-West - houses,4.9
11860,Percentage Change over 3 months for Residential Property Price Index,2016 October,National - all residential properties,3.1
11861,Percentage Change over 3 months for Residential Property Price Index,2016 October,National - houses,3.3
11862,Percentage Change over 3 months for Residential Property Price Index,2016 October,National - apartments,2.8
11863,Percentage Change over 3 months for Residential Property Price Index,2016 October,Dublin - all residential properties,3.3
11864,Percentage Change over 3 months for Residential Property Price Index,2016 October,Dublin - houses,3.3
11865,Percentage Change over 3 months for Residential Property Price Index,2016 October,Dublin - apartments,3.7
11866,Percentage Change over 3 months for Residential Property Price Index,2016 October,Dublin City - houses,4.0
11867,Percentage Change over 3 months for Residential Property Price Index,2016 October,Dun Laoghaire-Rathdown - houses,4.6
11868,Percentage Change over 3 months for Residential Property Price Index,2016 October,Fingal - houses,-0.8
11869,Percentage Change over 3 months for Residential Property Price Index,2016 October,South Dublin - houses,2.0
11870,Percentage Change over 3 months for Residential Property Price Index,2016 October,National excluding Dublin - all residential properties,2.9
11871,Percentage Change over 3 months for Residential Property Price Index,2016 October,National excluding Dublin - houses,3.3
11872,Percentage Change over 3 months for Residential Property Price Index,2016 October,National excluding Dublin - apartments,-0.6
11873,Percentage Change over 3 months for Residential Property Price Index,2016 October,Border - houses,2.2
11874,Percentage Change over 3 months for Residential Property Price Index,2016 October,Midland - houses,5.4
11875,Percentage Change over 3 months for Residential Property Price Index,2016 October,West - houses,3.6
11876,Percentage Change over 3 months for Residential Property Price Index,2016 October,Mid-East - houses,4.4
11877,Percentage Change over 3 months for Residential Property Price Index,2016 October,Mid-West - houses,3.1
11878,Percentage Change over 3 months for Residential Property Price Index,2016 October,South-East - houses,7.0
11879,Percentage Change over 3 months for Residential Property Price Index,2016 October,South-West - houses,2.7
11880,Percentage Change over 3 months for Residential Property Price Index,2016 November,National - all residential properties,3.0
11881,Percentage Change over 3 months for Residential Property Price Index,2016 November,National - houses,3.0
11882,Percentage Change over 3 months for Residential Property Price Index,2016 November,National - apartments,3.2
11883,Percentage Change over 3 months for Residential Property Price Index,2016 November,Dublin - all residential properties,3.0
11884,Percentage Change over 3 months for Residential Property Price Index,2016 November,Dublin - houses,2.7
11885,Percentage Change over 3 months for Residential Property Price Index,2016 November,Dublin - apartments,3.9
11886,Percentage Change over 3 months for Residential Property Price Index,2016 November,Dublin City - houses,3.4
11887,Percentage Change over 3 months for Residential Property Price Index,2016 November,Dun Laoghaire-Rathdown - houses,4.0
11888,Percentage Change over 3 months for Residential Property Price Index,2016 November,Fingal - houses,0.6
11889,Percentage Change over 3 months for Residential Property Price Index,2016 November,South Dublin - houses,2.9
11890,Percentage Change over 3 months for Residential Property Price Index,2016 November,National excluding Dublin - all residential properties,3.1
11891,Percentage Change over 3 months for Residential Property Price Index,2016 November,National excluding Dublin - houses,3.3
11892,Percentage Change over 3 months for Residential Property Price Index,2016 November,National excluding Dublin - apartments,1.0
11893,Percentage Change over 3 months for Residential Property Price Index,2016 November,Border - houses,2.8
11894,Percentage Change over 3 months for Residential Property Price Index,2016 November,Midland - houses,4.6
11895,Percentage Change over 3 months for Residential Property Price Index,2016 November,West - houses,3.9
11896,Percentage Change over 3 months for Residential Property Price Index,2016 November,Mid-East - houses,4.9
11897,Percentage Change over 3 months for Residential Property Price Index,2016 November,Mid-West - houses,3.2
11898,Percentage Change over 3 months for Residential Property Price Index,2016 November,South-East - houses,4.1
11899,Percentage Change over 3 months for Residential Property Price Index,2016 November,South-West - houses,4.3
11900,Percentage Change over 3 months for Residential Property Price Index,2016 December,National - all residential properties,1.4
11901,Percentage Change over 3 months for Residential Property Price Index,2016 December,National - houses,1.5
11902,Percentage Change over 3 months for Residential Property Price Index,2016 December,National - apartments,1.8
11903,Percentage Change over 3 months for Residential Property Price Index,2016 December,Dublin - all residential properties,0.7
11904,Percentage Change over 3 months for Residential Property Price Index,2016 December,Dublin - houses,0.9
11905,Percentage Change over 3 months for Residential Property Price Index,2016 December,Dublin - apartments,0.8
11906,Percentage Change over 3 months for Residential Property Price Index,2016 December,Dublin City - houses,1.4
11907,Percentage Change over 3 months for Residential Property Price Index,2016 December,Dun Laoghaire-Rathdown - houses,3.0
11908,Percentage Change over 3 months for Residential Property Price Index,2016 December,Fingal - houses,0.9
11909,Percentage Change over 3 months for Residential Property Price Index,2016 December,South Dublin - houses,3.4
11910,Percentage Change over 3 months for Residential Property Price Index,2016 December,National excluding Dublin - all residential properties,2.0
11911,Percentage Change over 3 months for Residential Property Price Index,2016 December,National excluding Dublin - houses,1.9
11912,Percentage Change over 3 months for Residential Property Price Index,2016 December,National excluding Dublin - apartments,2.5
11913,Percentage Change over 3 months for Residential Property Price Index,2016 December,Border - houses,2.3
11914,Percentage Change over 3 months for Residential Property Price Index,2016 December,Midland - houses,2.6
11915,Percentage Change over 3 months for Residential Property Price Index,2016 December,West - houses,4.1
11916,Percentage Change over 3 months for Residential Property Price Index,2016 December,Mid-East - houses,4.5
