Statistic,Quarter,NACE.Rev..2.Sector,value
Compensation of Employees at Constant Prices,2012Q4,All Sectors,22950.2712353
Compensation of Employees at Constant Prices,2013Q1,"Agriculture, Forestry and Fishing",301.6915893
Compensation of Employees at Constant Prices,2013Q1,Industry (excl. Construction),3126.6381323
Compensation of Employees at Constant Prices,2013Q1,Industry - of which Manufacturing,3001.0095122
Compensation of Employees at Constant Prices,2013Q1,Construction,609.0460167
Compensation of Employees at Constant Prices,2013Q1,"Distribution, Transport, Hotels and Restaurants",4789.7783773
Compensation of Employees at Constant Prices,2013Q1,Information and Communication,1797.6991233
Compensation of Employees at Constant Prices,2013Q1,Financial and Insurance Activities,1928.814032
Compensation of Employees at Constant Prices,2013Q1,Real Estate Activities,255.7485378
Compensation of Employees at Constant Prices,2013Q1,"Professional, Admin and Support Services",3030.4826044
Compensation of Employees at Constant Prices,2013Q1,"Public Admin, Education and Health",6512.7288511
Compensation of Employees at Constant Prices,2013Q1,"Arts, Entertainment and Other Services",623.4613636
Compensation of Employees at Constant Prices,2013Q1,All Sectors,23020.8621958
Compensation of Employees at Constant Prices,2013Q2,"Agriculture, Forestry and Fishing",328.9825406
Compensation of Employees at Constant Prices,2013Q2,Industry (excl. Construction),3205.3877148
Compensation of Employees at Constant Prices,2013Q2,Industry - of which Manufacturing,3001.5162184
Compensation of Employees at Constant Prices,2013Q2,Construction,741.4427006
Compensation of Employees at Constant Prices,2013Q2,"Distribution, Transport, Hotels and Restaurants",4852.4668183
Compensation of Employees at Constant Prices,2013Q2,Information and Communication,1867.0108339
Compensation of Employees at Constant Prices,2013Q2,Financial and Insurance Activities,1926.9609537
Compensation of Employees at Constant Prices,2013Q2,Real Estate Activities,286.4671236
Compensation of Employees at Constant Prices,2013Q2,"Professional, Admin and Support Services",3080.8461236
Compensation of Employees at Constant Prices,2013Q2,"Public Admin, Education and Health",6624.0089411
Compensation of Employees at Constant Prices,2013Q2,"Arts, Entertainment and Other Services",647.8332073
Compensation of Employees at Constant Prices,2013Q2,All Sectors,23577.6180788
Compensation of Employees at Constant Prices,2013Q3,"Agriculture, Forestry and Fishing",327.000877
Compensation of Employees at Constant Prices,2013Q3,Industry (excl. Construction),3258.341712
Compensation of Employees at Constant Prices,2013Q3,Industry - of which Manufacturing,3019.7221904
Compensation of Employees at Constant Prices,2013Q3,Construction,767.2482654
Compensation of Employees at Constant Prices,2013Q3,"Distribution, Transport, Hotels and Restaurants",5007.13734
Compensation of Employees at Constant Prices,2013Q3,Information and Communication,1881.828587
Compensation of Employees at Constant Prices,2013Q3,Financial and Insurance Activities,1944.4437908
Compensation of Employees at Constant Prices,2013Q3,Real Estate Activities,191.1683336
Compensation of Employees at Constant Prices,2013Q3,"Professional, Admin and Support Services",3321.5751197
Compensation of Employees at Constant Prices,2013Q3,"Public Admin, Education and Health",5877.2839632
Compensation of Employees at Constant Prices,2013Q3,"Arts, Entertainment and Other Services",634.7211949
Compensation of Employees at Constant Prices,2013Q3,All Sectors,23083.8105121
Compensation of Employees at Constant Prices,2013Q4,"Agriculture, Forestry and Fishing",290.0732973
Compensation of Employees at Constant Prices,2013Q4,Industry (excl. Construction),3234.5377892
Compensation of Employees at Constant Prices,2013Q4,Industry - of which Manufacturing,2993.6271168
Compensation of Employees at Constant Prices,2013Q4,Construction,707.3931075
Compensation of Employees at Constant Prices,2013Q4,"Distribution, Transport, Hotels and Restaurants",4911.040147
Compensation of Employees at Constant Prices,2013Q4,Information and Communication,1858.1960692
Compensation of Employees at Constant Prices,2013Q4,Financial and Insurance Activities,1861.5842951
Compensation of Employees at Constant Prices,2013Q4,Real Estate Activities,270.6868337
Compensation of Employees at Constant Prices,2013Q4,"Professional, Admin and Support Services",3344.1272374
Compensation of Employees at Constant Prices,2013Q4,"Public Admin, Education and Health",6656.8508406
