Statistic,Quarter,NST.Group,value
Tonnes Carried,2009Q4,"Quarry products, metal ores and peat",8560
Tonnes Carried,2009Q4,Foodstuffs,5984
Tonnes Carried,2009Q4,Textiles and leather,347
Tonnes Carried,2009Q4,"Wood, pulp and paper",1343
Tonnes Carried,2009Q4,Coke and refined petroleum products,3668
Tonnes Carried,2009Q4,Chemicals and plastics,700
Tonnes Carried,2009Q4,Other non-metallic mineral products,3888
Tonnes Carried,2009Q4,Metal products (except machinery and equipment),425
Tonnes Carried,2009Q4,Machinery and equipment,943
Tonnes Carried,2009Q4,Furniture and other manufactured goods,410
Tonnes Carried,2009Q4,Secondary raw materials and waste,617
Tonnes Carried,2009Q4,Other NST 2007 goods,3015
Tonnes Carried,2010Q1,All NST 2007 goods,31746
Tonnes Carried,2010Q1,Products of agriculture forestry and fishing,2125
Tonnes Carried,2010Q1,Coal and natural gas,413
Tonnes Carried,2010Q1,"Quarry products, metal ores and peat",9580
Tonnes Carried,2010Q1,Foodstuffs,5673
Tonnes Carried,2010Q1,Textiles and leather,314
Tonnes Carried,2010Q1,"Wood, pulp and paper",1239
Tonnes Carried,2010Q1,Coke and refined petroleum products,2998
Tonnes Carried,2010Q1,Chemicals and plastics,1311
Tonnes Carried,2010Q1,Other non-metallic mineral products,3288
Tonnes Carried,2010Q1,Metal products (except machinery and equipment),441
Tonnes Carried,2010Q1,Machinery and equipment,730
Tonnes Carried,2010Q1,Furniture and other manufactured goods,290
Tonnes Carried,2010Q1,Secondary raw materials and waste,944
Tonnes Carried,2010Q1,Other NST 2007 goods,2400
Tonnes Carried,2010Q2,All NST 2007 goods,34782
Tonnes Carried,2010Q2,Products of agriculture forestry and fishing,3575
Tonnes Carried,2010Q2,Coal and natural gas,204
Tonnes Carried,2010Q2,"Quarry products, metal ores and peat",8122
Tonnes Carried,2010Q2,Foodstuffs,5934
Tonnes Carried,2010Q2,Textiles and leather,172
Tonnes Carried,2010Q2,"Wood, pulp and paper",1900
Tonnes Carried,2010Q2,Coke and refined petroleum products,3333
Tonnes Carried,2010Q2,Chemicals and plastics,1206
Tonnes Carried,2010Q2,Other non-metallic mineral products,4281
Tonnes Carried,2010Q2,Metal products (except machinery and equipment),667
Tonnes Carried,2010Q2,Machinery and equipment,703
Tonnes Carried,2010Q2,Furniture and other manufactured goods,226
Tonnes Carried,2010Q2,Secondary raw materials and waste,1010
Tonnes Carried,2010Q2,Other NST 2007 goods,3449
Tonnes Carried,2010Q3,All NST 2007 goods,31635
Tonnes Carried,2010Q3,Products of agriculture forestry and fishing,3065
Tonnes Carried,2010Q3,Coal and natural gas,78
Tonnes Carried,2010Q3,"Quarry products, metal ores and peat",7832
Tonnes Carried,2010Q3,Foodstuffs,5549
Tonnes Carried,2010Q3,Textiles and leather,167
Tonnes Carried,2010Q3,"Wood, pulp and paper",1586
Tonnes Carried,2010Q3,Coke and refined petroleum products,2458
Tonnes Carried,2010Q3,Chemicals and plastics,906
Tonnes Carried,2010Q3,Other non-metallic mineral products,4201
Tonnes Carried,2010Q3,Metal products (except machinery and equipment),660
Tonnes Carried,2010Q3,Machinery and equipment,550
Tonnes Carried,2010Q3,Furniture and other manufactured goods,216
Tonnes Carried,2010Q3,Secondary raw materials and waste,1022
Tonnes Carried,2010Q3,Other NST 2007 goods,3345
Tonnes Carried,2010Q4,All NST 2007 goods,27703
Tonnes Carried,2010Q4,Products of agriculture forestry and fishing,2637
Tonnes Carried,2010Q4,Coal and natural gas,447
Tonnes Carried,2010Q4,"Quarry products, metal ores and peat",6509
Tonnes Carried,2010Q4,Foodstuffs,5170
Tonnes Carried,2010Q4,Textiles and leather,236
Tonnes Carried,2010Q4,"Wood, pulp and paper",1289
Tonnes Carried,2010Q4,Coke and refined petroleum products,2593
Tonnes Carried,2010Q4,Chemicals and plastics,784
Tonnes Carried,2010Q4,Other non-metallic mineral products,3205
Tonnes Carried,2010Q4,Metal products (except machinery and equipment),481
Tonnes Carried,2010Q4,Machinery and equipment,466
Tonnes Carried,2010Q4,Furniture and other manufactured goods,222
Tonnes Carried,2010Q4,Secondary raw materials and waste,751
Tonnes Carried,2010Q4,Other NST 2007 goods,2911
Tonnes Carried,2011Q1,All NST 2007 goods,26243
Tonnes Carried,2011Q1,Products of agriculture forestry and fishing,3052
Tonnes Carried,2011Q1,Coal and natural gas,285
Tonnes Carried,2011Q1,"Quarry products, metal ores and peat",5024
Tonnes Carried,2011Q1,Foodstuffs,4558
Tonnes Carried,2011Q1,Textiles and leather,207
Tonnes Carried,2011Q1,"Wood, pulp and paper",1075
Tonnes Carried,2011Q1,Coke and refined petroleum products,2768
Tonnes Carried,2011Q1,Chemicals and plastics,1288
Tonnes Carried,2011Q1,Other non-metallic mineral products,2433
Tonnes Carried,2011Q1,Metal products (except machinery and equipment),646
Tonnes Carried,2011Q1,Machinery and equipment,533
Tonnes Carried,2011Q1,Furniture and other manufactured goods,245
Tonnes Carried,2011Q1,Secondary raw materials and waste,896
Tonnes Carried,2011Q1,Other NST 2007 goods,3232
Tonnes Carried,2011Q2,All NST 2007 goods,28494
Tonnes Carried,2011Q2,Products of agriculture forestry and fishing,3100
Tonnes Carried,2011Q2,Coal and natural gas,125
Tonnes Carried,2011Q2,"Quarry products, metal ores and peat",7260
Tonnes Carried,2011Q2,Foodstuffs,5665
Tonnes Carried,2011Q2,Textiles and leather,127
Tonnes Carried,2011Q2,"Wood, pulp and paper",1247
Tonnes Carried,2011Q2,Coke and refined petroleum products,1724
Tonnes Carried,2011Q2,Chemicals and plastics,1193
Tonnes Carried,2011Q2,Other non-metallic mineral products,2878
Tonnes Carried,2011Q2,Metal products (except machinery and equipment),437
Tonnes Carried,2011Q2,Machinery and equipment,484
Tonnes Carried,2011Q2,Furniture and other manufactured goods,339
Tonnes Carried,2011Q2,Secondary raw materials and waste,974
Tonnes Carried,2011Q2,Other NST 2007 goods,2940
Tonnes Carried,2011Q3,All NST 2007 goods,30064
Tonnes Carried,2011Q3,Products of agriculture forestry and fishing,3752
Tonnes Carried,2011Q3,Coal and natural gas,126
Tonnes Carried,2011Q3,"Quarry products, metal ores and peat",7354
Tonnes Carried,2011Q3,Foodstuffs,5587
Tonnes Carried,2011Q3,Textiles and leather,347
Tonnes Carried,2011Q3,"Wood, pulp and paper",1554
Tonnes Carried,2011Q3,Coke and refined petroleum products,1735
Tonnes Carried,2011Q3,Chemicals and plastics,557
Tonnes Carried,2011Q3,Other non-metallic mineral products,3975
Tonnes Carried,2011Q3,Metal products (except machinery and equipment),511
Tonnes Carried,2011Q3,Machinery and equipment,594
Tonnes Carried,2011Q3,Furniture and other manufactured goods,266
Tonnes Carried,2011Q3,Secondary raw materials and waste,982
Tonnes Carried,2011Q3,Other NST 2007 goods,2724
Tonnes Carried,2011Q4,All NST 2007 goods,25459
Tonnes Carried,2011Q4,Products of agriculture forestry and fishing,3068
Tonnes Carried,2011Q4,Coal and natural gas,226
Tonnes Carried,2011Q4,"Quarry products, metal ores and peat",5827
Tonnes Carried,2011Q4,Foodstuffs,4672
Tonnes Carried,2011Q4,Textiles and leather,148
Tonnes Carried,2011Q4,"Wood, pulp and paper",786
Tonnes Carried,2011Q4,Coke and refined petroleum products,1744
Tonnes Carried,2011Q4,Chemicals and plastics,745
Tonnes Carried,2011Q4,Other non-metallic mineral products,3383
Tonnes Carried,2011Q4,Metal products (except machinery and equipment),545
Tonnes Carried,2011Q4,Machinery and equipment,493
Tonnes Carried,2011Q4,Furniture and other manufactured goods,427
Tonnes Carried,2011Q4,Secondary raw materials and waste,1016
Tonnes Carried,2011Q4,Other NST 2007 goods,2380
Tonnes Carried,2012Q1,All NST 2007 goods,26750
Tonnes Carried,2012Q1,Products of agriculture forestry and fishing,2981
Tonnes Carried,2012Q1,Coal and natural gas,241
Tonnes Carried,2012Q1,"Quarry products, metal ores and peat",6116
Tonnes Carried,2012Q1,Foodstuffs,5468
Tonnes Carried,2012Q1,Textiles and leather,127
Tonnes Carried,2012Q1,"Wood, pulp and paper",1080
Tonnes Carried,2012Q1,Coke and refined petroleum products,1562
Tonnes Carried,2012Q1,Chemicals and plastics,951
Tonnes Carried,2012Q1,Other non-metallic mineral products,3044
Tonnes Carried,2012Q1,Metal products (except machinery and equipment),429
Tonnes Carried,2012Q1,Machinery and equipment,482
Tonnes Carried,2012Q1,Furniture and other manufactured goods,224
Tonnes Carried,2012Q1,Secondary raw materials and waste,908
Tonnes Carried,2012Q1,Other NST 2007 goods,3138
Tonnes Carried,2012Q2,All NST 2007 goods,27598
Tonnes Carried,2012Q2,Products of agriculture forestry and fishing,3866
Tonnes Carried,2012Q2,Coal and natural gas,80
Tonnes Carried,2012Q2,"Quarry products, metal ores and peat",5637
Tonnes Carried,2012Q2,Foodstuffs,4542
Tonnes Carried,2012Q2,Textiles and leather,281
Tonnes Carried,2012Q2,"Wood, pulp and paper",1386
Tonnes Carried,2012Q2,Coke and refined petroleum products,2730
Tonnes Carried,2012Q2,Chemicals and plastics,1405
Tonnes Carried,2012Q2,Other non-metallic mineral products,2587
Tonnes Carried,2012Q2,Metal products (except machinery and equipment),461
Tonnes Carried,2012Q2,Machinery and equipment,465
Tonnes Carried,2012Q2,Furniture and other manufactured goods,289
Tonnes Carried,2012Q2,Secondary raw materials and waste,898
Tonnes Carried,2012Q2,Other NST 2007 goods,2973
Tonnes Carried,2012Q3,All NST 2007 goods,28603
Tonnes Carried,2012Q3,Products of agriculture forestry and fishing,4105
Tonnes Carried,2012Q3,Coal and natural gas,373
Tonnes Carried,2012Q3,"Quarry products, metal ores and peat",6757
Tonnes Carried,2012Q3,Foodstuffs,5418
Tonnes Carried,2012Q3,Textiles and leather,246
Tonnes Carried,2012Q3,"Wood, pulp and paper",938
Tonnes Carried,2012Q3,Coke and refined petroleum products,1717
Tonnes Carried,2012Q3,Chemicals and plastics,623
Tonnes Carried,2012Q3,Other non-metallic mineral products,3681
Tonnes Carried,2012Q3,Metal products (except machinery and equipment),555
Tonnes Carried,2012Q3,Machinery and equipment,419
Tonnes Carried,2012Q3,Furniture and other manufactured goods,208
Tonnes Carried,2012Q3,Secondary raw materials and waste,618
Tonnes Carried,2012Q3,Other NST 2007 goods,2945
Tonnes Carried,2012Q4,All NST 2007 goods,25126
Tonnes Carried,2012Q4,Products of agriculture forestry and fishing,2564
Tonnes Carried,2012Q4,Coal and natural gas,107
Tonnes Carried,2012Q4,"Quarry products, metal ores and peat",4964
Tonnes Carried,2012Q4,Foodstuffs,5496
Tonnes Carried,2012Q4,Textiles and leather,199
Tonnes Carried,2012Q4,"Wood, pulp and paper",929
Tonnes Carried,2012Q4,Coke and refined petroleum products,2210
Tonnes Carried,2012Q4,Chemicals and plastics,581
Tonnes Carried,2012Q4,Other non-metallic mineral products,3243
Tonnes Carried,2012Q4,Metal products (except machinery and equipment),343
Tonnes Carried,2012Q4,Machinery and equipment,385
Tonnes Carried,2012Q4,Furniture and other manufactured goods,259
Tonnes Carried,2012Q4,Secondary raw materials and waste,1049
Tonnes Carried,2012Q4,Other NST 2007 goods,2797
Tonnes Carried,2013Q1,All NST 2007 goods,25739
Tonnes Carried,2013Q1,Products of agriculture forestry and fishing,2382
Tonnes Carried,2013Q1,Coal and natural gas,132
Tonnes Carried,2013Q1,"Quarry products, metal ores and peat",5750
Tonnes Carried,2013Q1,Foodstuffs,5151
Tonnes Carried,2013Q1,Textiles and leather,253
Tonnes Carried,2013Q1,"Wood, pulp and paper",1163
Tonnes Carried,2013Q1,Coke and refined petroleum products,2016
Tonnes Carried,2013Q1,Chemicals and plastics,1040
Tonnes Carried,2013Q1,Other non-metallic mineral products,2535
Tonnes Carried,2013Q1,Metal products (except machinery and equipment),507
Tonnes Carried,2013Q1,Machinery and equipment,468
Tonnes Carried,2013Q1,Furniture and other manufactured goods,366
Tonnes Carried,2013Q1,Secondary raw materials and waste,968
Tonnes Carried,2013Q1,Other NST 2007 goods,3010
Tonnes Carried,2013Q2,All NST 2007 goods,30802
Tonnes Carried,2013Q2,Products of agriculture forestry and fishing,2983
Tonnes Carried,2013Q2,Coal and natural gas,178
Tonnes Carried,2013Q2,"Quarry products, metal ores and peat",6245
Tonnes Carried,2013Q2,Foodstuffs,5979
Tonnes Carried,2013Q2,Textiles and leather,212
Tonnes Carried,2013Q2,"Wood, pulp and paper",1434
Tonnes Carried,2013Q2,Coke and refined petroleum products,2796
Tonnes Carried,2013Q2,Chemicals and plastics,1819
Tonnes Carried,2013Q2,Other non-metallic mineral products,4062
Tonnes Carried,2013Q2,Metal products (except machinery and equipment),611
Tonnes Carried,2013Q2,Machinery and equipment,503
Tonnes Carried,2013Q2,Furniture and other manufactured goods,289
Tonnes Carried,2013Q2,Secondary raw materials and waste,781
Tonnes Carried,2013Q2,Other NST 2007 goods,2910
Tonnes Carried,2013Q3,All NST 2007 goods,29498
Tonnes Carried,2013Q3,Products of agriculture forestry and fishing,3635
Tonnes Carried,2013Q3,Coal and natural gas,230
Tonnes Carried,2013Q3,"Quarry products, metal ores and peat",6766
Tonnes Carried,2013Q3,Foodstuffs,5652
Tonnes Carried,2013Q3,Textiles and leather,303
Tonnes Carried,2013Q3,"Wood, pulp and paper",956
Tonnes Carried,2013Q3,Coke and refined petroleum products,2430
Tonnes Carried,2013Q3,Chemicals and plastics,1046
Tonnes Carried,2013Q3,Other non-metallic mineral products,3941
Tonnes Carried,2013Q3,Metal products (except machinery and equipment),462
Tonnes Carried,2013Q3,Machinery and equipment,497
Tonnes Carried,2013Q3,Furniture and other manufactured goods,336
Tonnes Carried,2013Q3,Secondary raw materials and waste,705
Tonnes Carried,2013Q3,Other NST 2007 goods,2537
Tonnes Carried,2013Q4,All NST 2007 goods,22792
Tonnes Carried,2013Q4,Products of agriculture forestry and fishing,2715
Tonnes Carried,2013Q4,Coal and natural gas,217
Tonnes Carried,2013Q4,"Quarry products, metal ores and peat",5733
Tonnes Carried,2013Q4,Foodstuffs,3376
Tonnes Carried,2013Q4,Textiles and leather,261
Tonnes Carried,2013Q4,"Wood, pulp and paper",738
Tonnes Carried,2013Q4,Coke and refined petroleum products,2000
Tonnes Carried,2013Q4,Chemicals and plastics,658
Tonnes Carried,2013Q4,Other non-metallic mineral products,2958
Tonnes Carried,2013Q4,Metal products (except machinery and equipment),618
Tonnes Carried,2013Q4,Machinery and equipment,358
Tonnes Carried,2013Q4,Furniture and other manufactured goods,198
Tonnes Carried,2013Q4,Secondary raw materials and waste,814
Tonnes Carried,2013Q4,Other NST 2007 goods,2148
Tonnes Carried,2014Q1,All NST 2007 goods,29303
Tonnes Carried,2014Q1,Products of agriculture forestry and fishing,2845
Tonnes Carried,2014Q1,Coal and natural gas,146
Tonnes Carried,2014Q1,"Quarry products, metal ores and peat",5967
Tonnes Carried,2014Q1,Foodstuffs,5737
Tonnes Carried,2014Q1,Textiles and leather,325
Tonnes Carried,2014Q1,"Wood, pulp and paper",1009
Tonnes Carried,2014Q1,Coke and refined petroleum products,2600
Tonnes Carried,2014Q1,Chemicals and plastics,1367
Tonnes Carried,2014Q1,Other non-metallic mineral products,3116
Tonnes Carried,2014Q1,Metal products (except machinery and equipment),563
Tonnes Carried,2014Q1,Machinery and equipment,325
Tonnes Carried,2014Q1,Furniture and other manufactured goods,257
Tonnes Carried,2014Q1,Secondary raw materials and waste,1442
Tonnes Carried,2014Q1,Other NST 2007 goods,3606
Tonnes Carried,2014Q2,All NST 2007 goods,28353
Tonnes Carried,2014Q2,Products of agriculture forestry and fishing,3288
Tonnes Carried,2014Q2,Coal and natural gas,98
Tonnes Carried,2014Q2,"Quarry products, metal ores and peat",6561
Tonnes Carried,2014Q2,Foodstuffs,5783
Tonnes Carried,2014Q2,Textiles and leather,115
Tonnes Carried,2014Q2,"Wood, pulp and paper",1208
Tonnes Carried,2014Q2,Coke and refined petroleum products,2065
Tonnes Carried,2014Q2,Chemicals and plastics,1199
Tonnes Carried,2014Q2,Other non-metallic mineral products,2784
Tonnes Carried,2014Q2,Metal products (except machinery and equipment),406
Tonnes Carried,2014Q2,Machinery and equipment,467
Tonnes Carried,2014Q2,Furniture and other manufactured goods,403
Tonnes Carried,2014Q2,Secondary raw materials and waste,1085
Tonnes Carried,2014Q2,Other NST 2007 goods,2889
Tonnes Carried,2014Q3,All NST 2007 goods,28831
Tonnes Carried,2014Q3,Products of agriculture forestry and fishing,3426
Tonnes Carried,2014Q3,Coal and natural gas,123
Tonnes Carried,2014Q3,"Quarry products, metal ores and peat",6965
Tonnes Carried,2014Q3,Foodstuffs,4404
Tonnes Carried,2014Q3,Textiles and leather,163
Tonnes Carried,2014Q3,"Wood, pulp and paper",1564
Tonnes Carried,2014Q3,Coke and refined petroleum products,2613
Tonnes Carried,2014Q3,Chemicals and plastics,734
Tonnes Carried,2014Q3,Other non-metallic mineral products,3540
Tonnes Carried,2014Q3,Metal products (except machinery and equipment),547
Tonnes Carried,2014Q3,Machinery and equipment,493
Tonnes Carried,2014Q3,Furniture and other manufactured goods,342
Tonnes Carried,2014Q3,Secondary raw materials and waste,962
Tonnes Carried,2014Q3,Other NST 2007 goods,2954
Tonnes Carried,2014Q4,All NST 2007 goods,26012
Tonnes Carried,2014Q4,Products of agriculture forestry and fishing,2225
Tonnes Carried,2014Q4,Coal and natural gas,179
Tonnes Carried,2014Q4,"Quarry products, metal ores and peat",6318
Tonnes Carried,2014Q4,Foodstuffs,5336
Tonnes Carried,2014Q4,Textiles and leather,192
Tonnes Carried,2014Q4,"Wood, pulp and paper",791
Tonnes Carried,2014Q4,Coke and refined petroleum products,2336
Tonnes Carried,2014Q4,Chemicals and plastics,764
Tonnes Carried,2014Q4,Other non-metallic mineral products,3655
Tonnes Carried,2014Q4,Metal products (except machinery and equipment),623
Tonnes Carried,2014Q4,Machinery and equipment,331
Tonnes Carried,2014Q4,Furniture and other manufactured goods,239
Tonnes Carried,2014Q4,Secondary raw materials and waste,890
Tonnes Carried,2014Q4,Other NST 2007 goods,2133
Tonnes Carried,2015Q1,All NST 2007 goods,27041
Tonnes Carried,2015Q1,Products of agriculture forestry and fishing,2205
Tonnes Carried,2015Q1,Coal and natural gas,132
Tonnes Carried,2015Q1,"Quarry products, metal ores and peat",6407
Tonnes Carried,2015Q1,Foodstuffs,6063
Tonnes Carried,2015Q1,Textiles and leather,93
Tonnes Carried,2015Q1,"Wood, pulp and paper",813
Tonnes Carried,2015Q1,Coke and refined petroleum products,2232
Tonnes Carried,2015Q1,Chemicals and plastics,1189
Tonnes Carried,2015Q1,Other non-metallic mineral products,3437
Tonnes Carried,2015Q1,Metal products (except machinery and equipment),355
Tonnes Carried,2015Q1,Machinery and equipment,310
Tonnes Carried,2015Q1,Furniture and other manufactured goods,167
Tonnes Carried,2015Q1,Secondary raw materials and waste,934
Tonnes Carried,2015Q1,Other NST 2007 goods,2704
Tonnes Carried,2015Q2,All NST 2007 goods,29570
Tonnes Carried,2015Q2,Products of agriculture forestry and fishing,3791
Tonnes Carried,2015Q2,Coal and natural gas,228
Tonnes Carried,2015Q2,"Quarry products, metal ores and peat",5919
Tonnes Carried,2015Q2,Foodstuffs,5673
Tonnes Carried,2015Q2,Textiles and leather,300
Tonnes Carried,2015Q2,"Wood, pulp and paper",1252
Tonnes Carried,2015Q2,Coke and refined petroleum products,2689
Tonnes Carried,2015Q2,Chemicals and plastics,1406
Tonnes Carried,2015Q2,Other non-metallic mineral products,3632
Tonnes Carried,2015Q2,Metal products (except machinery and equipment),456
Tonnes Carried,2015Q2,Machinery and equipment,416
Tonnes Carried,2015Q2,Furniture and other manufactured goods,263
Tonnes Carried,2015Q2,Secondary raw materials and waste,1175
Tonnes Carried,2015Q2,Other NST 2007 goods,2371
Tonnes Carried,2015Q3,All NST 2007 goods,31810
Tonnes Carried,2015Q3,Products of agriculture forestry and fishing,4571
Tonnes Carried,2015Q3,Coal and natural gas,110
Tonnes Carried,2015Q3,"Quarry products, metal ores and peat",7238
Tonnes Carried,2015Q3,Foodstuffs,5749
Tonnes Carried,2015Q3,Textiles and leather,293
Tonnes Carried,2015Q3,"Wood, pulp and paper",1349
Tonnes Carried,2015Q3,Coke and refined petroleum products,2368
Tonnes Carried,2015Q3,Chemicals and plastics,691
Tonnes Carried,2015Q3,Other non-metallic mineral products,4661
Tonnes Carried,2015Q3,Metal products (except machinery and equipment),510
Tonnes Carried,2015Q3,Machinery and equipment,448
Tonnes Carried,2015Q3,Furniture and other manufactured goods,254
Tonnes Carried,2015Q3,Secondary raw materials and waste,788
Tonnes Carried,2015Q3,Other NST 2007 goods,2781
Tonnes Carried,2015Q4,All NST 2007 goods,29637
Tonnes Carried,2015Q4,Products of agriculture forestry and fishing,2716
Tonnes Carried,2015Q4,Coal and natural gas,282
Tonnes Carried,2015Q4,"Quarry products, metal ores and peat",7485
Tonnes Carried,2015Q4,Foodstuffs,5166
Tonnes Carried,2015Q4,Textiles and leather,130
Tonnes Carried,2015Q4,"Wood, pulp and paper",977
Tonnes Carried,2015Q4,Coke and refined petroleum products,3402
Tonnes Carried,2015Q4,Chemicals and plastics,649
Tonnes Carried,2015Q4,Other non-metallic mineral products,3620
Tonnes Carried,2015Q4,Metal products (except machinery and equipment),405
Tonnes Carried,2015Q4,Machinery and equipment,405
Tonnes Carried,2015Q4,Furniture and other manufactured goods,253
Tonnes Carried,2015Q4,Secondary raw materials and waste,1386
Tonnes Carried,2015Q4,Other NST 2007 goods,2761
Tonnes Carried,2016Q1,All NST 2007 goods,33008
Tonnes Carried,2016Q1,Products of agriculture forestry and fishing,2571
Tonnes Carried,2016Q1,Coal and natural gas,338
Tonnes Carried,2016Q1,"Quarry products, metal ores and peat",8346
Tonnes Carried,2016Q1,Foodstuffs,6091
Tonnes Carried,2016Q1,Textiles and leather,126
Tonnes Carried,2016Q1,"Wood, pulp and paper",1350
Tonnes Carried,2016Q1,Coke and refined petroleum products,3135
Tonnes Carried,2016Q1,Chemicals and plastics,1222
Tonnes Carried,2016Q1,Other non-metallic mineral products,4112
Tonnes Carried,2016Q1,Metal products (except machinery and equipment),359
Tonnes Carried,2016Q1,Machinery and equipment,428
Tonnes Carried,2016Q1,Furniture and other manufactured goods,270
Tonnes Carried,2016Q1,Secondary raw materials and waste,1217
Tonnes Carried,2016Q1,Other NST 2007 goods,3444
Tonnes Carried,2016Q2,All NST 2007 goods,35494
Tonnes Carried,2016Q2,Products of agriculture forestry and fishing,3898
Tonnes Carried,2016Q2,Coal and natural gas,94
Tonnes Carried,2016Q2,"Quarry products, metal ores and peat",9053
Tonnes Carried,2016Q2,Foodstuffs,5864
Tonnes Carried,2016Q2,Textiles and leather,166
Tonnes Carried,2016Q2,"Wood, pulp and paper",1528
Tonnes Carried,2016Q2,Coke and refined petroleum products,2882
Tonnes Carried,2016Q2,Chemicals and plastics,1480
Tonnes Carried,2016Q2,Other non-metallic mineral products,4328
Tonnes Carried,2016Q2,Metal products (except machinery and equipment),611
Tonnes Carried,2016Q2,Machinery and equipment,716
Tonnes Carried,2016Q2,Furniture and other manufactured goods,348
Tonnes Carried,2016Q2,Secondary raw materials and waste,1262
Tonnes Carried,2016Q2,Other NST 2007 goods,3266
Tonnes Carried,2016Q3,All NST 2007 goods,35882
Tonnes Carried,2016Q3,Products of agriculture forestry and fishing,4325
Tonnes Carried,2016Q3,Coal and natural gas,189
Tonnes Carried,2016Q3,"Quarry products, metal ores and peat",8669
Tonnes Carried,2016Q3,Foodstuffs,6389
Tonnes Carried,2016Q3,Textiles and leather,281
Tonnes Carried,2016Q3,"Wood, pulp and paper",1432
Tonnes Carried,2016Q3,Coke and refined petroleum products,3201
Tonnes Carried,2016Q3,Chemicals and plastics,1035
Tonnes Carried,2016Q3,Other non-metallic mineral products,4602
Tonnes Carried,2016Q3,Metal products (except machinery and equipment),481
Tonnes Carried,2016Q3,Machinery and equipment,513
Tonnes Carried,2016Q3,Furniture and other manufactured goods,430
Tonnes Carried,2016Q3,Secondary raw materials and waste,1224
Tonnes Carried,2016Q3,Other NST 2007 goods,3112
Tonnes Carried,2016Q4,All NST 2007 goods,37286
Tonnes Carried,2016Q4,Products of agriculture forestry and fishing,3327
Tonnes Carried,2016Q4,Coal and natural gas,281
Tonnes Carried,2016Q4,"Quarry products, metal ores and peat",8901
Tonnes Carried,2016Q4,Foodstuffs,5578
Tonnes Carried,2016Q4,Textiles and leather,208
Tonnes Carried,2016Q4,"Wood, pulp and paper",1471
Tonnes Carried,2016Q4,Coke and refined petroleum products,3881
Tonnes Carried,2016Q4,Chemicals and plastics,873
Tonnes Carried,2016Q4,Other non-metallic mineral products,6100
Tonnes Carried,2016Q4,Metal products (except machinery and equipment),610
Tonnes Carried,2016Q4,Machinery and equipment,547
Tonnes Carried,2016Q4,Furniture and other manufactured goods,350
Tonnes Carried,2016Q4,Secondary raw materials and waste,1289
Tonnes Carried,2016Q4,Other NST 2007 goods,3869
Tonnes Carried,2017Q1,All NST 2007 goods,34946
Tonnes Carried,2017Q1,Products of agriculture forestry and fishing,3210
Tonnes Carried,2017Q1,Coal and natural gas,315
Tonnes Carried,2017Q1,"Quarry products, metal ores and peat",9184
Tonnes Carried,2017Q1,Foodstuffs,6297
Tonnes Carried,2017Q1,Textiles and leather,133
Tonnes Carried,2017Q1,"Wood, pulp and paper",1569
Tonnes Carried,2017Q1,Coke and refined petroleum products,2572
Tonnes Carried,2017Q1,Chemicals and plastics,1412
Tonnes Carried,2017Q1,Other non-metallic mineral products,4653
Tonnes Carried,2017Q1,Metal products (except machinery and equipment),449
Tonnes Carried,2017Q1,Machinery and equipment,517
Tonnes Carried,2017Q1,Furniture and other manufactured goods,417
Tonnes Carried,2017Q1,Secondary raw materials and waste,914
Tonnes Carried,2017Q1,Other NST 2007 goods,3305
Tonnes Carried,2017Q2,All NST 2007 goods,39611
Tonnes Carried,2017Q2,Products of agriculture forestry and fishing,3371
Tonnes Carried,2017Q2,Coal and natural gas,189
Tonnes Carried,2017Q2,"Quarry products, metal ores and peat",11526
Tonnes Carried,2017Q2,Foodstuffs,6629
Tonnes Carried,2017Q2,Textiles and leather,173
Tonnes Carried,2017Q2,"Wood, pulp and paper",1027
Tonnes Carried,2017Q2,Coke and refined petroleum products,2680
Tonnes Carried,2017Q2,Chemicals and plastics,1535
Tonnes Carried,2017Q2,Other non-metallic mineral products,5985
Tonnes Carried,2017Q2,Metal products (except machinery and equipment),505
Tonnes Carried,2017Q2,Machinery and equipment,601
Tonnes Carried,2017Q2,Furniture and other manufactured goods,329
Tonnes Carried,2017Q2,Secondary raw materials and waste,1344
Tonnes Carried,2017Q2,Other NST 2007 goods,3717
Tonnes Carried,2017Q3,All NST 2007 goods,37050
Tonnes Carried,2017Q3,Products of agriculture forestry and fishing,4225
Tonnes Carried,2017Q3,Coal and natural gas,202
Tonnes Carried,2017Q3,"Quarry products, metal ores and peat",8653
Tonnes Carried,2017Q3,Foodstuffs,6565
Tonnes Carried,2017Q3,Textiles and leather,208
Tonnes Carried,2017Q3,"Wood, pulp and paper",1201
Tonnes Carried,2017Q3,Coke and refined petroleum products,2535
Tonnes Carried,2017Q3,Chemicals and plastics,1270
Tonnes Carried,2017Q3,Other non-metallic mineral products,5235
Tonnes Carried,2017Q3,Metal products (except machinery and equipment),328
Tonnes Carried,2017Q3,Machinery and equipment,549
Tonnes Carried,2017Q3,Furniture and other manufactured goods,329
Tonnes Carried,2017Q3,Secondary raw materials and waste,1735
Tonnes Carried,2017Q3,Other NST 2007 goods,4015
Tonnes Carried,2017Q4,All NST 2007 goods,35622
Tonnes Carried,2017Q4,Products of agriculture forestry and fishing,2932
Tonnes Carried,2017Q4,Coal and natural gas,297
Tonnes Carried,2017Q4,"Quarry products, metal ores and peat",9454
Tonnes Carried,2017Q4,Foodstuffs,5776
Tonnes Carried,2017Q4,Textiles and leather,171
