Statistic,Quarter,NST.Group,value
Tonne-Kilometre,2011Q4,Textiles and leather,33
Tonne-Kilometre,2011Q4,"Wood, pulp and paper",94
Tonne-Kilometre,2011Q4,Coke and refined petroleum products,141
Tonne-Kilometre,2011Q4,Chemicals and plastics,89
Tonne-Kilometre,2011Q4,Other non-metallic mineral products,160
Tonne-Kilometre,2011Q4,Metal products (except machinery and equipment),57
Tonne-Kilometre,2011Q4,Machinery and equipment,62
Tonne-Kilometre,2011Q4,Furniture and other manufactured goods,46
Tonne-Kilometre,2011Q4,Secondary raw materials and waste,68
Tonne-Kilometre,2011Q4,Other NST 2007 goods,382
Tonne-Kilometre,2012Q1,All NST 2007 goods,2627
Tonne-Kilometre,2012Q1,Products of agriculture forestry and fishing,268
Tonne-Kilometre,2012Q1,Coal and natural gas,19
Tonne-Kilometre,2012Q1,"Quarry products, metal ores and peat",196
Tonne-Kilometre,2012Q1,Foodstuffs,733
Tonne-Kilometre,2012Q1,Textiles and leather,20
Tonne-Kilometre,2012Q1,"Wood, pulp and paper",140
Tonne-Kilometre,2012Q1,Coke and refined petroleum products,142
Tonne-Kilometre,2012Q1,Chemicals and plastics,110
Tonne-Kilometre,2012Q1,Other non-metallic mineral products,161
Tonne-Kilometre,2012Q1,Metal products (except machinery and equipment),58
Tonne-Kilometre,2012Q1,Machinery and equipment,96
Tonne-Kilometre,2012Q1,Furniture and other manufactured goods,26
Tonne-Kilometre,2012Q1,Secondary raw materials and waste,65
Tonne-Kilometre,2012Q1,Other NST 2007 goods,592
Tonne-Kilometre,2012Q2,All NST 2007 goods,2571
Tonne-Kilometre,2012Q2,Products of agriculture forestry and fishing,344
Tonne-Kilometre,2012Q2,Coal and natural gas,5
Tonne-Kilometre,2012Q2,"Quarry products, metal ores and peat",187
Tonne-Kilometre,2012Q2,Foodstuffs,647
Tonne-Kilometre,2012Q2,Textiles and leather,43
Tonne-Kilometre,2012Q2,"Wood, pulp and paper",159
Tonne-Kilometre,2012Q2,Coke and refined petroleum products,181
Tonne-Kilometre,2012Q2,Chemicals and plastics,141
Tonne-Kilometre,2012Q2,Other non-metallic mineral products,136
Tonne-Kilometre,2012Q2,Metal products (except machinery and equipment),66
Tonne-Kilometre,2012Q2,Machinery and equipment,103
Tonne-Kilometre,2012Q2,Furniture and other manufactured goods,36
Tonne-Kilometre,2012Q2,Secondary raw materials and waste,67
Tonne-Kilometre,2012Q2,Other NST 2007 goods,456
Tonne-Kilometre,2012Q3,All NST 2007 goods,2480
Tonne-Kilometre,2012Q3,Products of agriculture forestry and fishing,302
Tonne-Kilometre,2012Q3,Coal and natural gas,16
Tonne-Kilometre,2012Q3,"Quarry products, metal ores and peat",232
Tonne-Kilometre,2012Q3,Foodstuffs,625
Tonne-Kilometre,2012Q3,Textiles and leather,25
Tonne-Kilometre,2012Q3,"Wood, pulp and paper",123
Tonne-Kilometre,2012Q3,Coke and refined petroleum products,171
Tonne-Kilometre,2012Q3,Chemicals and plastics,88
Tonne-Kilometre,2012Q3,Other non-metallic mineral products,183
Tonne-Kilometre,2012Q3,Metal products (except machinery and equipment),72
Tonne-Kilometre,2012Q3,Machinery and equipment,60
Tonne-Kilometre,2012Q3,Furniture and other manufactured goods,27
Tonne-Kilometre,2012Q3,Secondary raw materials and waste,53
Tonne-Kilometre,2012Q3,Other NST 2007 goods,503
Tonne-Kilometre,2012Q4,All NST 2007 goods,2218
Tonne-Kilometre,2012Q4,Products of agriculture forestry and fishing,239
Tonne-Kilometre,2012Q4,Coal and natural gas,8
Tonne-Kilometre,2012Q4,"Quarry products, metal ores and peat",177
