Statistic,Quarter,Type.of.House,Local.Authority,value
New Dwelling Completion,2011Q2,Single house,Kilkenny County Council,41
New Dwelling Completion,2011Q2,Single house,Kerry County Council,65
New Dwelling Completion,2011Q2,Single house,Longford County Council,12
New Dwelling Completion,2011Q2,Single house,Louth County Council,28
New Dwelling Completion,2011Q2,Single house,Limerick City & County Council,46
New Dwelling Completion,2011Q2,Single house,Leitrim County Council,13
New Dwelling Completion,2011Q2,Single house,Laois County Council,26
New Dwelling Completion,2011Q2,Single house,Meath County Council,55
New Dwelling Completion,2011Q2,Single house,Monaghan County Council,20
New Dwelling Completion,2011Q2,Single house,Mayo County Council,46
New Dwelling Completion,2011Q2,Single house,Offaly County Council,32
New Dwelling Completion,2011Q2,Single house,Roscommon County Council,29
New Dwelling Completion,2011Q2,Single house,South Dublin County Council,7
New Dwelling Completion,2011Q2,Single house,Sligo County Council,27
New Dwelling Completion,2011Q2,Single house,Tipperary County Council,44
New Dwelling Completion,2011Q2,Single house,Waterford City & County Council,26
New Dwelling Completion,2011Q2,Single house,Westmeath County Council,30
New Dwelling Completion,2011Q2,Single house,Wicklow County Council,21
New Dwelling Completion,2011Q2,Single house,Wexford County Council,67
New Dwelling Completion,2011Q2,Single house,Ireland,1194
New Dwelling Completion,2011Q2,Scheme house,Cork City Council,14
New Dwelling Completion,2011Q2,Scheme house,Clare County Council,8
New Dwelling Completion,2011Q2,Scheme house,Cavan County Council,1
New Dwelling Completion,2011Q2,Scheme house,Cork County Council,24
New Dwelling Completion,2011Q2,Scheme house,Carlow County Council,8
New Dwelling Completion,2011Q2,Scheme house,Dublin City Council,7
New Dwelling Completion,2011Q2,Scheme house,Dún Laoghaire Rathdown County Council,5
New Dwelling Completion,2011Q2,Scheme house,Donegal County Council,32
New Dwelling Completion,2011Q2,Scheme house,Fingal County Council,88
New Dwelling Completion,2011Q2,Scheme house,Galway County Council,4
New Dwelling Completion,2011Q2,Scheme house,Galway City Council,9
New Dwelling Completion,2011Q2,Scheme house,Kildare County Council,4
New Dwelling Completion,2011Q2,Scheme house,Kilkenny County Council,9
New Dwelling Completion,2011Q2,Scheme house,Kerry County Council,2
New Dwelling Completion,2011Q2,Scheme house,Longford County Council,0
New Dwelling Completion,2011Q2,Scheme house,Louth County Council,19
New Dwelling Completion,2011Q2,Scheme house,Limerick City & County Council,2
New Dwelling Completion,2011Q2,Scheme house,Leitrim County Council,0
New Dwelling Completion,2011Q2,Scheme house,Laois County Council,6
New Dwelling Completion,2011Q2,Scheme house,Meath County Council,6
New Dwelling Completion,2011Q2,Scheme house,Monaghan County Council,0
New Dwelling Completion,2011Q2,Scheme house,Mayo County Council,9
New Dwelling Completion,2011Q2,Scheme house,Offaly County Council,4
New Dwelling Completion,2011Q2,Scheme house,Roscommon County Council,23
New Dwelling Completion,2011Q2,Scheme house,South Dublin County Council,8
New Dwelling Completion,2011Q2,Scheme house,Sligo County Council,7
New Dwelling Completion,2011Q2,Scheme house,Tipperary County Council,50
New Dwelling Completion,2011Q2,Scheme house,Waterford City & County Council,3
New Dwelling Completion,2011Q2,Scheme house,Westmeath County Council,6
New Dwelling Completion,2011Q2,Scheme house,Wicklow County Council,12
New Dwelling Completion,2011Q2,Scheme house,Wexford County Council,10
New Dwelling Completion,2011Q2,Scheme house,Ireland,380
New Dwelling Completion,2011Q2,Apartment,Cork City Council,6
New Dwelling Completion,2011Q2,Apartment,Clare County Council,0
New Dwelling Completion,2011Q2,Apartment,Cavan County Council,0
New Dwelling Completion,2011Q2,Apartment,Cork County Council,17
New Dwelling Completion,2011Q2,Apartment,Carlow County Council,0
New Dwelling Completion,2011Q2,Apartment,Dublin City Council,89
New Dwelling Completion,2011Q2,Apartment,Dún Laoghaire Rathdown County Council,51
New Dwelling Completion,2011Q2,Apartment,Donegal County Council,1
New Dwelling Completion,2011Q2,Apartment,Fingal County Council,24
New Dwelling Completion,2011Q2,Apartment,Galway County Council,0
New Dwelling Completion,2011Q2,Apartment,Galway City Council,1
New Dwelling Completion,2011Q2,Apartment,Kildare County Council,2
New Dwelling Completion,2011Q2,Apartment,Kilkenny County Council,0
New Dwelling Completion,2011Q2,Apartment,Kerry County Council,0
New Dwelling Completion,2011Q2,Apartment,Longford County Council,2
New Dwelling Completion,2011Q2,Apartment,Louth County Council,6
New Dwelling Completion,2011Q2,Apartment,Limerick City & County Council,1
New Dwelling Completion,2011Q2,Apartment,Leitrim County Council,0
New Dwelling Completion,2011Q2,Apartment,Laois County Council,1
