Statistic,Quarter,Type.of.House,Local.Authority,value
New Dwelling Completion,2019Q1,Single house,Kildare County Council,44
New Dwelling Completion,2019Q1,Single house,Kilkenny County Council,41
New Dwelling Completion,2019Q1,Single house,Kerry County Council,48
New Dwelling Completion,2019Q1,Single house,Longford County Council,12
New Dwelling Completion,2019Q1,Single house,Louth County Council,27
New Dwelling Completion,2019Q1,Single house,Limerick City & County Council,30
New Dwelling Completion,2019Q1,Single house,Leitrim County Council,4
New Dwelling Completion,2019Q1,Single house,Laois County Council,24
New Dwelling Completion,2019Q1,Single house,Meath County Council,61
New Dwelling Completion,2019Q1,Single house,Monaghan County Council,31
New Dwelling Completion,2019Q1,Single house,Mayo County Council,51
New Dwelling Completion,2019Q1,Single house,Offaly County Council,26
New Dwelling Completion,2019Q1,Single house,Roscommon County Council,35
New Dwelling Completion,2019Q1,Single house,South Dublin County Council,15
New Dwelling Completion,2019Q1,Single house,Sligo County Council,10
New Dwelling Completion,2019Q1,Single house,Tipperary County Council,51
New Dwelling Completion,2019Q1,Single house,Waterford City & County Council,29
New Dwelling Completion,2019Q1,Single house,Westmeath County Council,30
New Dwelling Completion,2019Q1,Single house,Wicklow County Council,28
New Dwelling Completion,2019Q1,Single house,Wexford County Council,64
New Dwelling Completion,2019Q1,Single house,Ireland,1091
New Dwelling Completion,2019Q1,Scheme house,Cork City Council,120
New Dwelling Completion,2019Q1,Scheme house,Clare County Council,14
New Dwelling Completion,2019Q1,Scheme house,Cavan County Council,5
New Dwelling Completion,2019Q1,Scheme house,Cork County Council,140
New Dwelling Completion,2019Q1,Scheme house,Carlow County Council,28
New Dwelling Completion,2019Q1,Scheme house,Dublin City Council,213
New Dwelling Completion,2019Q1,Scheme house,Dún Laoghaire Rathdown County Council,108
New Dwelling Completion,2019Q1,Scheme house,Donegal County Council,11
New Dwelling Completion,2019Q1,Scheme house,Fingal County Council,279
New Dwelling Completion,2019Q1,Scheme house,Galway County Council,43
New Dwelling Completion,2019Q1,Scheme house,Galway City Council,18
New Dwelling Completion,2019Q1,Scheme house,Kildare County Council,349
New Dwelling Completion,2019Q1,Scheme house,Kilkenny County Council,13
New Dwelling Completion,2019Q1,Scheme house,Kerry County Council,28
New Dwelling Completion,2019Q1,Scheme house,Longford County Council,27
New Dwelling Completion,2019Q1,Scheme house,Louth County Council,127
New Dwelling Completion,2019Q1,Scheme house,Limerick City & County Council,54
New Dwelling Completion,2019Q1,Scheme house,Leitrim County Council,1
New Dwelling Completion,2019Q1,Scheme house,Laois County Council,9
New Dwelling Completion,2019Q1,Scheme house,Meath County Council,226
New Dwelling Completion,2019Q1,Scheme house,Monaghan County Council,31
New Dwelling Completion,2019Q1,Scheme house,Mayo County Council,44
New Dwelling Completion,2019Q1,Scheme house,Offaly County Council,4
New Dwelling Completion,2019Q1,Scheme house,Roscommon County Council,4
New Dwelling Completion,2019Q1,Scheme house,South Dublin County Council,333
New Dwelling Completion,2019Q1,Scheme house,Sligo County Council,1
New Dwelling Completion,2019Q1,Scheme house,Tipperary County Council,17
New Dwelling Completion,2019Q1,Scheme house,Waterford City & County Council,46
New Dwelling Completion,2019Q1,Scheme house,Westmeath County Council,19
New Dwelling Completion,2019Q1,Scheme house,Wicklow County Council,180
New Dwelling Completion,2019Q1,Scheme house,Wexford County Council,71
New Dwelling Completion,2019Q1,Scheme house,Ireland,2563
New Dwelling Completion,2019Q1,Apartment,Cork City Council,21
New Dwelling Completion,2019Q1,Apartment,Clare County Council,0
New Dwelling Completion,2019Q1,Apartment,Cavan County Council,4
New Dwelling Completion,2019Q1,Apartment,Cork County Council,12
New Dwelling Completion,2019Q1,Apartment,Carlow County Council,0
New Dwelling Completion,2019Q1,Apartment,Dublin City Council,286
New Dwelling Completion,2019Q1,Apartment,Dún Laoghaire Rathdown County Council,81
New Dwelling Completion,2019Q1,Apartment,Donegal County Council,7
New Dwelling Completion,2019Q1,Apartment,Fingal County Council,54
New Dwelling Completion,2019Q1,Apartment,Galway County Council,3
New Dwelling Completion,2019Q1,Apartment,Galway City Council,8
New Dwelling Completion,2019Q1,Apartment,Kildare County Council,3
New Dwelling Completion,2019Q1,Apartment,Kilkenny County Council,0
New Dwelling Completion,2019Q1,Apartment,Kerry County Council,4
New Dwelling Completion,2019Q1,Apartment,Longford County Council,0
New Dwelling Completion,2019Q1,Apartment,Louth County Council,17
New Dwelling Completion,2019Q1,Apartment,Limerick City & County Council,3
New Dwelling Completion,2019Q1,Apartment,Leitrim County Council,6
New Dwelling Completion,2019Q1,Apartment,Laois County Council,0
New Dwelling Completion,2019Q1,Apartment,Meath County Council,7
New Dwelling Completion,2019Q1,Apartment,Monaghan County Council,0
New Dwelling Completion,2019Q1,Apartment,Mayo County Council,1
New Dwelling Completion,2019Q1,Apartment,Offaly County Council,10
New Dwelling Completion,2019Q1,Apartment,Roscommon County Council,0
New Dwelling Completion,2019Q1,Apartment,South Dublin County Council,35
New Dwelling Completion,2019Q1,Apartment,Sligo County Council,0
New Dwelling Completion,2019Q1,Apartment,Tipperary County Council,4
New Dwelling Completion,2019Q1,Apartment,Waterford City & County Council,1
New Dwelling Completion,2019Q1,Apartment,Westmeath County Council,3
New Dwelling Completion,2019Q1,Apartment,Wicklow County Council,0
New Dwelling Completion,2019Q1,Apartment,Wexford County Council,0
New Dwelling Completion,2019Q1,Apartment,Ireland,570
New Dwelling Completion,2019Q1,All house types,Cork City Council,150
New Dwelling Completion,2019Q1,All house types,Clare County Council,56
New Dwelling Completion,2019Q1,All house types,Cavan County Council,31
New Dwelling Completion,2019Q1,All house types,Cork County Council,275
New Dwelling Completion,2019Q1,All house types,Carlow County Council,41
New Dwelling Completion,2019Q1,All house types,Dublin City Council,518
New Dwelling Completion,2019Q1,All house types,Dún Laoghaire Rathdown County Council,201
New Dwelling Completion,2019Q1,All house types,Donegal County Council,86
New Dwelling Completion,2019Q1,All house types,Fingal County Council,353
New Dwelling Completion,2019Q1,All house types,Galway County Council,144
New Dwelling Completion,2019Q1,All house types,Galway City Council,30
New Dwelling Completion,2019Q1,All house types,Kildare County Council,396
New Dwelling Completion,2019Q1,All house types,Kilkenny County Council,54
New Dwelling Completion,2019Q1,All house types,Kerry County Council,80
New Dwelling Completion,2019Q1,All house types,Longford County Council,39
New Dwelling Completion,2019Q1,All house types,Louth County Council,171
New Dwelling Completion,2019Q1,All house types,Limerick City & County Council,87
New Dwelling Completion,2019Q1,All house types,Leitrim County Council,11
New Dwelling Completion,2019Q1,All house types,Laois County Council,33
New Dwelling Completion,2019Q1,All house types,Meath County Council,294
New Dwelling Completion,2019Q1,All house types,Monaghan County Council,62
New Dwelling Completion,2019Q1,All house types,Mayo County Council,96
New Dwelling Completion,2019Q1,All house types,Offaly County Council,40
New Dwelling Completion,2019Q1,All house types,Roscommon County Council,39
New Dwelling Completion,2019Q1,All house types,South Dublin County Council,383
New Dwelling Completion,2019Q1,All house types,Sligo County Council,11
New Dwelling Completion,2019Q1,All house types,Tipperary County Council,72
New Dwelling Completion,2019Q1,All house types,Waterford City & County Council,76
New Dwelling Completion,2019Q1,All house types,Westmeath County Council,52
New Dwelling Completion,2019Q1,All house types,Wicklow County Council,208
New Dwelling Completion,2019Q1,All house types,Wexford County Council,135
New Dwelling Completion,2019Q1,All house types,Ireland,4224
New Dwelling Completion,2019Q2,Single house,Cork City Council,15
New Dwelling Completion,2019Q2,Single house,Clare County Council,66
New Dwelling Completion,2019Q2,Single house,Cavan County Council,24
New Dwelling Completion,2019Q2,Single house,Cork County Council,169
New Dwelling Completion,2019Q2,Single house,Carlow County Council,17
New Dwelling Completion,2019Q2,Single house,Dublin City Council,19
New Dwelling Completion,2019Q2,Single house,Dún Laoghaire Rathdown County Council,13
New Dwelling Completion,2019Q2,Single house,Donegal County Council,76
New Dwelling Completion,2019Q2,Single house,Fingal County Council,30
New Dwelling Completion,2019Q2,Single house,Galway County Council,104
New Dwelling Completion,2019Q2,Single house,Galway City Council,5
New Dwelling Completion,2019Q2,Single house,Kildare County Council,51
New Dwelling Completion,2019Q2,Single house,Kilkenny County Council,35
New Dwelling Completion,2019Q2,Single house,Kerry County Council,65
New Dwelling Completion,2019Q2,Single house,Longford County Council,9
New Dwelling Completion,2019Q2,Single house,Louth County Council,29
New Dwelling Completion,2019Q2,Single house,Limerick City & County Council,44
New Dwelling Completion,2019Q2,Single house,Leitrim County Council,11
New Dwelling Completion,2019Q2,Single house,Laois County Council,36
New Dwelling Completion,2019Q2,Single house,Meath County Council,63
New Dwelling Completion,2019Q2,Single house,Monaghan County Council,39
New Dwelling Completion,2019Q2,Single house,Mayo County Council,55
New Dwelling Completion,2019Q2,Single house,Offaly County Council,28
New Dwelling Completion,2019Q2,Single house,Roscommon County Council,26
New Dwelling Completion,2019Q2,Single house,South Dublin County Council,16
New Dwelling Completion,2019Q2,Single house,Sligo County Council,26
New Dwelling Completion,2019Q2,Single house,Tipperary County Council,59
New Dwelling Completion,2019Q2,Single house,Waterford City & County Council,35
New Dwelling Completion,2019Q2,Single house,Westmeath County Council,40
New Dwelling Completion,2019Q2,Single house,Wicklow County Council,42
New Dwelling Completion,2019Q2,Single house,Wexford County Council,75
New Dwelling Completion,2019Q2,Single house,Ireland,1322
New Dwelling Completion,2019Q2,Scheme house,Cork City Council,123
New Dwelling Completion,2019Q2,Scheme house,Clare County Council,50
New Dwelling Completion,2019Q2,Scheme house,Cavan County Council,5
New Dwelling Completion,2019Q2,Scheme house,Cork County Council,198
New Dwelling Completion,2019Q2,Scheme house,Carlow County Council,19
New Dwelling Completion,2019Q2,Scheme house,Dublin City Council,150
New Dwelling Completion,2019Q2,Scheme house,Dún Laoghaire Rathdown County Council,60
New Dwelling Completion,2019Q2,Scheme house,Donegal County Council,18
New Dwelling Completion,2019Q2,Scheme house,Fingal County Council,386
New Dwelling Completion,2019Q2,Scheme house,Galway County Council,75
New Dwelling Completion,2019Q2,Scheme house,Galway City Council,33
New Dwelling Completion,2019Q2,Scheme house,Kildare County Council,339
New Dwelling Completion,2019Q2,Scheme house,Kilkenny County Council,14
New Dwelling Completion,2019Q2,Scheme house,Kerry County Council,35
New Dwelling Completion,2019Q2,Scheme house,Longford County Council,6
New Dwelling Completion,2019Q2,Scheme house,Louth County Council,97
New Dwelling Completion,2019Q2,Scheme house,Limerick City & County Council,112
New Dwelling Completion,2019Q2,Scheme house,Leitrim County Council,0
New Dwelling Completion,2019Q2,Scheme house,Laois County Council,11
New Dwelling Completion,2019Q2,Scheme house,Meath County Council,400
New Dwelling Completion,2019Q2,Scheme house,Monaghan County Council,13
New Dwelling Completion,2019Q2,Scheme house,Mayo County Council,24
New Dwelling Completion,2019Q2,Scheme house,Offaly County Council,9
New Dwelling Completion,2019Q2,Scheme house,Roscommon County Council,4
New Dwelling Completion,2019Q2,Scheme house,South Dublin County Council,301
New Dwelling Completion,2019Q2,Scheme house,Sligo County Council,8
New Dwelling Completion,2019Q2,Scheme house,Tipperary County Council,19
New Dwelling Completion,2019Q2,Scheme house,Waterford City & County Council,46
New Dwelling Completion,2019Q2,Scheme house,Westmeath County Council,17
New Dwelling Completion,2019Q2,Scheme house,Wicklow County Council,177
New Dwelling Completion,2019Q2,Scheme house,Wexford County Council,82
New Dwelling Completion,2019Q2,Scheme house,Ireland,2831
New Dwelling Completion,2019Q2,Apartment,Cork City Council,17
New Dwelling Completion,2019Q2,Apartment,Clare County Council,4
New Dwelling Completion,2019Q2,Apartment,Cavan County Council,3
New Dwelling Completion,2019Q2,Apartment,Cork County Council,12
New Dwelling Completion,2019Q2,Apartment,Carlow County Council,5
New Dwelling Completion,2019Q2,Apartment,Dublin City Council,235
New Dwelling Completion,2019Q2,Apartment,Dún Laoghaire Rathdown County Council,124
New Dwelling Completion,2019Q2,Apartment,Donegal County Council,16
New Dwelling Completion,2019Q2,Apartment,Fingal County Council,81
New Dwelling Completion,2019Q2,Apartment,Galway County Council,18
New Dwelling Completion,2019Q2,Apartment,Galway City Council,3
New Dwelling Completion,2019Q2,Apartment,Kildare County Council,4
New Dwelling Completion,2019Q2,Apartment,Kilkenny County Council,0
New Dwelling Completion,2019Q2,Apartment,Kerry County Council,2
New Dwelling Completion,2019Q2,Apartment,Longford County Council,0
New Dwelling Completion,2019Q2,Apartment,Louth County Council,9
New Dwelling Completion,2019Q2,Apartment,Limerick City & County Council,7
New Dwelling Completion,2019Q2,Apartment,Leitrim County Council,0
New Dwelling Completion,2019Q2,Apartment,Laois County Council,1
New Dwelling Completion,2019Q2,Apartment,Meath County Council,5
New Dwelling Completion,2019Q2,Apartment,Monaghan County Council,5
New Dwelling Completion,2019Q2,Apartment,Mayo County Council,2
New Dwelling Completion,2019Q2,Apartment,Offaly County Council,0
New Dwelling Completion,2019Q2,Apartment,Roscommon County Council,4
New Dwelling Completion,2019Q2,Apartment,South Dublin County Council,41
New Dwelling Completion,2019Q2,Apartment,Sligo County Council,6
New Dwelling Completion,2019Q2,Apartment,Tipperary County Council,2
New Dwelling Completion,2019Q2,Apartment,Waterford City & County Council,3
New Dwelling Completion,2019Q2,Apartment,Westmeath County Council,2
New Dwelling Completion,2019Q2,Apartment,Wicklow County Council,14
New Dwelling Completion,2019Q2,Apartment,Wexford County Council,17
New Dwelling Completion,2019Q2,Apartment,Ireland,642
New Dwelling Completion,2019Q2,All house types,Cork City Council,155
New Dwelling Completion,2019Q2,All house types,Clare County Council,120
New Dwelling Completion,2019Q2,All house types,Cavan County Council,32
New Dwelling Completion,2019Q2,All house types,Cork County Council,379
New Dwelling Completion,2019Q2,All house types,Carlow County Council,41
New Dwelling Completion,2019Q2,All house types,Dublin City Council,404
New Dwelling Completion,2019Q2,All house types,Dún Laoghaire Rathdown County Council,197
New Dwelling Completion,2019Q2,All house types,Donegal County Council,110
New Dwelling Completion,2019Q2,All house types,Fingal County Council,497
New Dwelling Completion,2019Q2,All house types,Galway County Council,197
New Dwelling Completion,2019Q2,All house types,Galway City Council,41
New Dwelling Completion,2019Q2,All house types,Kildare County Council,394
New Dwelling Completion,2019Q2,All house types,Kilkenny County Council,49
New Dwelling Completion,2019Q2,All house types,Kerry County Council,102
New Dwelling Completion,2019Q2,All house types,Longford County Council,15
New Dwelling Completion,2019Q2,All house types,Louth County Council,135
New Dwelling Completion,2019Q2,All house types,Limerick City & County Council,163
New Dwelling Completion,2019Q2,All house types,Leitrim County Council,11
New Dwelling Completion,2019Q2,All house types,Laois County Council,48
New Dwelling Completion,2019Q2,All house types,Meath County Council,468
New Dwelling Completion,2019Q2,All house types,Monaghan County Council,57
New Dwelling Completion,2019Q2,All house types,Mayo County Council,81
New Dwelling Completion,2019Q2,All house types,Offaly County Council,37
New Dwelling Completion,2019Q2,All house types,Roscommon County Council,34
New Dwelling Completion,2019Q2,All house types,South Dublin County Council,358
New Dwelling Completion,2019Q2,All house types,Sligo County Council,40
New Dwelling Completion,2019Q2,All house types,Tipperary County Council,80
New Dwelling Completion,2019Q2,All house types,Waterford City & County Council,84
New Dwelling Completion,2019Q2,All house types,Westmeath County Council,59
New Dwelling Completion,2019Q2,All house types,Wicklow County Council,233
New Dwelling Completion,2019Q2,All house types,Wexford County Council,174
New Dwelling Completion,2019Q2,All house types,Ireland,4795
New Dwelling Completion,2019Q3,Single house,Cork City Council,23
New Dwelling Completion,2019Q3,Single house,Clare County Council,55
New Dwelling Completion,2019Q3,Single house,Cavan County Council,34
New Dwelling Completion,2019Q3,Single house,Cork County Council,120
New Dwelling Completion,2019Q3,Single house,Carlow County Council,12
New Dwelling Completion,2019Q3,Single house,Dublin City Council,18
New Dwelling Completion,2019Q3,Single house,Dún Laoghaire Rathdown County Council,20
New Dwelling Completion,2019Q3,Single house,Donegal County Council,80
New Dwelling Completion,2019Q3,Single house,Fingal County Council,28
New Dwelling Completion,2019Q3,Single house,Galway County Council,104
New Dwelling Completion,2019Q3,Single house,Galway City Council,10
New Dwelling Completion,2019Q3,Single house,Kildare County Council,49
New Dwelling Completion,2019Q3,Single house,Kilkenny County Council,37
New Dwelling Completion,2019Q3,Single house,Kerry County Council,71
New Dwelling Completion,2019Q3,Single house,Longford County Council,15
New Dwelling Completion,2019Q3,Single house,Louth County Council,37
New Dwelling Completion,2019Q3,Single house,Limerick City & County Council,43
New Dwelling Completion,2019Q3,Single house,Leitrim County Council,9
New Dwelling Completion,2019Q3,Single house,Laois County Council,35
New Dwelling Completion,2019Q3,Single house,Meath County Council,66
New Dwelling Completion,2019Q3,Single house,Monaghan County Council,31
New Dwelling Completion,2019Q3,Single house,Mayo County Council,69
New Dwelling Completion,2019Q3,Single house,Offaly County Council,19
New Dwelling Completion,2019Q3,Single house,Roscommon County Council,28
New Dwelling Completion,2019Q3,Single house,South Dublin County Council,13
New Dwelling Completion,2019Q3,Single house,Sligo County Council,26
New Dwelling Completion,2019Q3,Single house,Tipperary County Council,49
New Dwelling Completion,2019Q3,Single house,Waterford City & County Council,21
New Dwelling Completion,2019Q3,Single house,Westmeath County Council,41
New Dwelling Completion,2019Q3,Single house,Wicklow County Council,32
New Dwelling Completion,2019Q3,Single house,Wexford County Council,60
New Dwelling Completion,2019Q3,Single house,Ireland,1255
New Dwelling Completion,2019Q3,Scheme house,Cork City Council,115
New Dwelling Completion,2019Q3,Scheme house,Clare County Council,35
New Dwelling Completion,2019Q3,Scheme house,Cavan County Council,4
New Dwelling Completion,2019Q3,Scheme house,Cork County Council,153
New Dwelling Completion,2019Q3,Scheme house,Carlow County Council,27
New Dwelling Completion,2019Q3,Scheme house,Dublin City Council,86
New Dwelling Completion,2019Q3,Scheme house,Dún Laoghaire Rathdown County Council,99
New Dwelling Completion,2019Q3,Scheme house,Donegal County Council,14
New Dwelling Completion,2019Q3,Scheme house,Fingal County Council,491
New Dwelling Completion,2019Q3,Scheme house,Galway County Council,89
New Dwelling Completion,2019Q3,Scheme house,Galway City Council,47
New Dwelling Completion,2019Q3,Scheme house,Kildare County Council,417
New Dwelling Completion,2019Q3,Scheme house,Kilkenny County Council,56
New Dwelling Completion,2019Q3,Scheme house,Kerry County Council,44
New Dwelling Completion,2019Q3,Scheme house,Longford County Council,11
New Dwelling Completion,2019Q3,Scheme house,Louth County Council,109
New Dwelling Completion,2019Q3,Scheme house,Limerick City & County Council,82
New Dwelling Completion,2019Q3,Scheme house,Leitrim County Council,0
New Dwelling Completion,2019Q3,Scheme house,Laois County Council,46
New Dwelling Completion,2019Q3,Scheme house,Meath County Council,393
New Dwelling Completion,2019Q3,Scheme house,Monaghan County Council,61
New Dwelling Completion,2019Q3,Scheme house,Mayo County Council,23
New Dwelling Completion,2019Q3,Scheme house,Offaly County Council,31
New Dwelling Completion,2019Q3,Scheme house,Roscommon County Council,3
New Dwelling Completion,2019Q3,Scheme house,South Dublin County Council,372
New Dwelling Completion,2019Q3,Scheme house,Sligo County Council,3
New Dwelling Completion,2019Q3,Scheme house,Tipperary County Council,8
New Dwelling Completion,2019Q3,Scheme house,Waterford City & County Council,116
New Dwelling Completion,2019Q3,Scheme house,Westmeath County Council,15
New Dwelling Completion,2019Q3,Scheme house,Wicklow County Council,302
New Dwelling Completion,2019Q3,Scheme house,Wexford County Council,59
New Dwelling Completion,2019Q3,Scheme house,Ireland,3311
New Dwelling Completion,2019Q3,Apartment,Cork City Council,5
New Dwelling Completion,2019Q3,Apartment,Clare County Council,12
New Dwelling Completion,2019Q3,Apartment,Cavan County Council,0
New Dwelling Completion,2019Q3,Apartment,Cork County Council,12
New Dwelling Completion,2019Q3,Apartment,Carlow County Council,0
New Dwelling Completion,2019Q3,Apartment,Dublin City Council,267
New Dwelling Completion,2019Q3,Apartment,Dún Laoghaire Rathdown County Council,369
New Dwelling Completion,2019Q3,Apartment,Donegal County Council,39
New Dwelling Completion,2019Q3,Apartment,Fingal County Council,166
New Dwelling Completion,2019Q3,Apartment,Galway County Council,7
New Dwelling Completion,2019Q3,Apartment,Galway City Council,36
New Dwelling Completion,2019Q3,Apartment,Kildare County Council,19
New Dwelling Completion,2019Q3,Apartment,Kilkenny County Council,0
New Dwelling Completion,2019Q3,Apartment,Kerry County Council,0
New Dwelling Completion,2019Q3,Apartment,Longford County Council,2
New Dwelling Completion,2019Q3,Apartment,Louth County Council,11
New Dwelling Completion,2019Q3,Apartment,Limerick City & County Council,0
New Dwelling Completion,2019Q3,Apartment,Leitrim County Council,1
New Dwelling Completion,2019Q3,Apartment,Laois County Council,1
New Dwelling Completion,2019Q3,Apartment,Meath County Council,11
New Dwelling Completion,2019Q3,Apartment,Monaghan County Council,6
New Dwelling Completion,2019Q3,Apartment,Mayo County Council,1
New Dwelling Completion,2019Q3,Apartment,Offaly County Council,1
New Dwelling Completion,2019Q3,Apartment,Roscommon County Council,2
New Dwelling Completion,2019Q3,Apartment,South Dublin County Council,8
New Dwelling Completion,2019Q3,Apartment,Sligo County Council,7
New Dwelling Completion,2019Q3,Apartment,Tipperary County Council,27
New Dwelling Completion,2019Q3,Apartment,Waterford City & County Council,5
New Dwelling Completion,2019Q3,Apartment,Westmeath County Council,6
New Dwelling Completion,2019Q3,Apartment,Wicklow County Council,17
New Dwelling Completion,2019Q3,Apartment,Wexford County Council,5
New Dwelling Completion,2019Q3,Apartment,Ireland,1043
New Dwelling Completion,2019Q3,All house types,Cork City Council,143
New Dwelling Completion,2019Q3,All house types,Clare County Council,102
New Dwelling Completion,2019Q3,All house types,Cavan County Council,38
New Dwelling Completion,2019Q3,All house types,Cork County Council,285
New Dwelling Completion,2019Q3,All house types,Carlow County Council,39
New Dwelling Completion,2019Q3,All house types,Dublin City Council,371
New Dwelling Completion,2019Q3,All house types,Dún Laoghaire Rathdown County Council,488
New Dwelling Completion,2019Q3,All house types,Donegal County Council,133
New Dwelling Completion,2019Q3,All house types,Fingal County Council,685
New Dwelling Completion,2019Q3,All house types,Galway County Council,200
New Dwelling Completion,2019Q3,All house types,Galway City Council,93
New Dwelling Completion,2019Q3,All house types,Kildare County Council,485
New Dwelling Completion,2019Q3,All house types,Kilkenny County Council,93
New Dwelling Completion,2019Q3,All house types,Kerry County Council,115
New Dwelling Completion,2019Q3,All house types,Longford County Council,28
New Dwelling Completion,2019Q3,All house types,Louth County Council,157
New Dwelling Completion,2019Q3,All house types,Limerick City & County Council,125
New Dwelling Completion,2019Q3,All house types,Leitrim County Council,10
New Dwelling Completion,2019Q3,All house types,Laois County Council,82
New Dwelling Completion,2019Q3,All house types,Meath County Council,470
New Dwelling Completion,2019Q3,All house types,Monaghan County Council,98
New Dwelling Completion,2019Q3,All house types,Mayo County Council,93
New Dwelling Completion,2019Q3,All house types,Offaly County Council,51
New Dwelling Completion,2019Q3,All house types,Roscommon County Council,33
New Dwelling Completion,2019Q3,All house types,South Dublin County Council,393
New Dwelling Completion,2019Q3,All house types,Sligo County Council,36
New Dwelling Completion,2019Q3,All house types,Tipperary County Council,84
New Dwelling Completion,2019Q3,All house types,Waterford City & County Council,142
New Dwelling Completion,2019Q3,All house types,Westmeath County Council,62
New Dwelling Completion,2019Q3,All house types,Wicklow County Council,351
New Dwelling Completion,2019Q3,All house types,Wexford County Council,124
New Dwelling Completion,2019Q3,All house types,Ireland,5609
New Dwelling Completion,2019Q4,Single house,Cork City Council,13
New Dwelling Completion,2019Q4,Single house,Clare County Council,48
New Dwelling Completion,2019Q4,Single house,Cavan County Council,29
New Dwelling Completion,2019Q4,Single house,Cork County Council,169
New Dwelling Completion,2019Q4,Single house,Carlow County Council,10
New Dwelling Completion,2019Q4,Single house,Dublin City Council,23
New Dwelling Completion,2019Q4,Single house,Dún Laoghaire Rathdown County Council,13
New Dwelling Completion,2019Q4,Single house,Donegal County Council,86
New Dwelling Completion,2019Q4,Single house,Fingal County Council,32
New Dwelling Completion,2019Q4,Single house,Galway County Council,129
New Dwelling Completion,2019Q4,Single house,Galway City Council,13
New Dwelling Completion,2019Q4,Single house,Kildare County Council,58
New Dwelling Completion,2019Q4,Single house,Kilkenny County Council,42
New Dwelling Completion,2019Q4,Single house,Kerry County Council,50
New Dwelling Completion,2019Q4,Single house,Longford County Council,11
New Dwelling Completion,2019Q4,Single house,Louth County Council,34
New Dwelling Completion,2019Q4,Single house,Limerick City & County Council,46
New Dwelling Completion,2019Q4,Single house,Leitrim County Council,6
New Dwelling Completion,2019Q4,Single house,Laois County Council,45
New Dwelling Completion,2019Q4,Single house,Meath County Council,84
New Dwelling Completion,2019Q4,Single house,Monaghan County Council,39
New Dwelling Completion,2019Q4,Single house,Mayo County Council,82
New Dwelling Completion,2019Q4,Single house,Offaly County Council,37
New Dwelling Completion,2019Q4,Single house,Roscommon County Council,35
New Dwelling Completion,2019Q4,Single house,South Dublin County Council,16
New Dwelling Completion,2019Q4,Single house,Sligo County Council,20
New Dwelling Completion,2019Q4,Single house,Tipperary County Council,45
New Dwelling Completion,2019Q4,Single house,Waterford City & County Council,36
New Dwelling Completion,2019Q4,Single house,Westmeath County Council,34
New Dwelling Completion,2019Q4,Single house,Wicklow County Council,51
New Dwelling Completion,2019Q4,Single house,Wexford County Council,75
New Dwelling Completion,2019Q4,Single house,Ireland,1411
New Dwelling Completion,2019Q4,Scheme house,Cork City Council,261
New Dwelling Completion,2019Q4,Scheme house,Clare County Council,59
New Dwelling Completion,2019Q4,Scheme house,Cavan County Council,7
New Dwelling Completion,2019Q4,Scheme house,Cork County Council,281
New Dwelling Completion,2019Q4,Scheme house,Carlow County Council,58
New Dwelling Completion,2019Q4,Scheme house,Dublin City Council,65
New Dwelling Completion,2019Q4,Scheme house,Dún Laoghaire Rathdown County Council,82
New Dwelling Completion,2019Q4,Scheme house,Donegal County Council,15
New Dwelling Completion,2019Q4,Scheme house,Fingal County Council,528
New Dwelling Completion,2019Q4,Scheme house,Galway County Council,113
New Dwelling Completion,2019Q4,Scheme house,Galway City Council,60
New Dwelling Completion,2019Q4,Scheme house,Kildare County Council,530
New Dwelling Completion,2019Q4,Scheme house,Kilkenny County Council,18
New Dwelling Completion,2019Q4,Scheme house,Kerry County Council,86
New Dwelling Completion,2019Q4,Scheme house,Longford County Council,38
New Dwelling Completion,2019Q4,Scheme house,Louth County Council,118
New Dwelling Completion,2019Q4,Scheme house,Limerick City & County Council,128
New Dwelling Completion,2019Q4,Scheme house,Leitrim County Council,0
New Dwelling Completion,2019Q4,Scheme house,Laois County Council,31
New Dwelling Completion,2019Q4,Scheme house,Meath County Council,299
New Dwelling Completion,2019Q4,Scheme house,Monaghan County Council,24
New Dwelling Completion,2019Q4,Scheme house,Mayo County Council,83
New Dwelling Completion,2019Q4,Scheme house,Offaly County Council,62
New Dwelling Completion,2019Q4,Scheme house,Roscommon County Council,9
New Dwelling Completion,2019Q4,Scheme house,South Dublin County Council,489
New Dwelling Completion,2019Q4,Scheme house,Sligo County Council,1
New Dwelling Completion,2019Q4,Scheme house,Tipperary County Council,29
New Dwelling Completion,2019Q4,Scheme house,Waterford City & County Council,86
New Dwelling Completion,2019Q4,Scheme house,Westmeath County Council,37
New Dwelling Completion,2019Q4,Scheme house,Wicklow County Council,160
New Dwelling Completion,2019Q4,Scheme house,Wexford County Council,64
New Dwelling Completion,2019Q4,Scheme house,Ireland,3821
New Dwelling Completion,2019Q4,Apartment,Cork City Council,4
New Dwelling Completion,2019Q4,Apartment,Clare County Council,0
New Dwelling Completion,2019Q4,Apartment,Cavan County Council,0
New Dwelling Completion,2019Q4,Apartment,Cork County Council,22
New Dwelling Completion,2019Q4,Apartment,Carlow County Council,5
New Dwelling Completion,2019Q4,Apartment,Dublin City Council,400
New Dwelling Completion,2019Q4,Apartment,Dún Laoghaire Rathdown County Council,159
New Dwelling Completion,2019Q4,Apartment,Donegal County Council,0
New Dwelling Completion,2019Q4,Apartment,Fingal County Council,223
New Dwelling Completion,2019Q4,Apartment,Galway County Council,7
New Dwelling Completion,2019Q4,Apartment,Galway City Council,20
