Statistic,Month,NACE.Rev.2.Sector,value
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 August,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),3.5
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 August,Transportation & Storage (H),5.3
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 August,Accommodation & Food Service Activities (I),-1.1
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 August,Information & Communication (J),0.3
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 August,"Professional, Scientific & Technical Activities (M)",2.7
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 August,Administrative & Support Service Activities (N (excl. 7735)),2.2
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 August,"Other Service Activities (L, 92, 93, 95, 96)",-1.2
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 August,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",1.3
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 August,Wholesale Trade (46),8.3
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 August,Accommodation (55),1.9
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 August,"Food Service Activities (561, 562)",-4.0
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 August,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",2.4
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 September,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-3.7
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 September,Transportation & Storage (H),3.5
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 September,Accommodation & Food Service Activities (I),-1.9
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 September,Information & Communication (J),7.9
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 September,"Professional, Scientific & Technical Activities (M)",-7.8
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 September,Administrative & Support Service Activities (N (excl. 7735)),-2.0
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 September,"Other Service Activities (L, 92, 93, 95, 96)",-0.2
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 September,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",2.3
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 September,Wholesale Trade (46),-9.1
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 September,Accommodation (55),-1.5
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 September,"Food Service Activities (561, 562)",-3.1
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 September,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",-3.6
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 October,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),3.9
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 October,Transportation & Storage (H),-6.9
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 October,Accommodation & Food Service Activities (I),-1.6
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 October,Information & Communication (J),-6.8
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 October,"Professional, Scientific & Technical Activities (M)",12.2
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 October,Administrative & Support Service Activities (N (excl. 7735)),0.5
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 October,"Other Service Activities (L, 92, 93, 95, 96)",5.1
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 October,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",-1.8
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 October,Wholesale Trade (46),6.4
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 October,Accommodation (55),0.1
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 October,"Food Service Activities (561, 562)",-3.0
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 October,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",4.2
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 November,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-0.6
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 November,Transportation & Storage (H),5.5
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 November,Accommodation & Food Service Activities (I),-0.4
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 November,Information & Communication (J),3.7
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 November,"Professional, Scientific & Technical Activities (M)",-2.1
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 November,Administrative & Support Service Activities (N (excl. 7735)),4.2
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 November,"Other Service Activities (L, 92, 93, 95, 96)",2.2
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 November,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",2.0
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 November,Wholesale Trade (46),-2.5
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 November,Accommodation (55),-0.7
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 November,"Food Service Activities (561, 562)",0.0
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 November,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",0.2
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 December,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-0.2
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 December,Transportation & Storage (H),-2.3
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 December,Accommodation & Food Service Activities (I),1.5
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 December,Information & Communication (J),2.3
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 December,"Professional, Scientific & Technical Activities (M)",2.0
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 December,Administrative & Support Service Activities (N (excl. 7735)),8.4
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 December,"Other Service Activities (L, 92, 93, 95, 96)",3.3
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 December,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",1.9
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 December,Wholesale Trade (46),-3.5
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 December,Accommodation (55),0.3
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 December,"Food Service Activities (561, 562)",3.2
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2023 December,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",1.6
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 January,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),1.0
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 January,Transportation & Storage (H),4.6
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 January,Accommodation & Food Service Activities (I),0.0
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 January,Information & Communication (J),0.0
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 January,"Professional, Scientific & Technical Activities (M)",-5.1
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 January,Administrative & Support Service Activities (N (excl. 7735)),30.8
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 January,"Other Service Activities (L, 92, 93, 95, 96)",3.7
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 January,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",1.4
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 January,Wholesale Trade (46),3.5
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 January,Accommodation (55),3.4
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 January,"Food Service Activities (561, 562)",-2.8
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 January,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",3.0
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 February,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-0.9
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 February,Transportation & Storage (H),4.5
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 February,Accommodation & Food Service Activities (I),0.6
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 February,Information & Communication (J),-0.7
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 February,"Professional, Scientific & Technical Activities (M)",2.9
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 February,Administrative & Support Service Activities (N (excl. 7735)),-33.1
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 February,"Other Service Activities (L, 92, 93, 95, 96)",1.1
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 February,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",-2.2
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 February,Wholesale Trade (46),0.9
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 February,Accommodation (55),-2.4
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 February,"Food Service Activities (561, 562)",2.0
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 February,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",-3.7
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 March,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),0.3
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 March,Transportation & Storage (H),4.5
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 March,Accommodation & Food Service Activities (I),0.6
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 March,Information & Communication (J),1.4
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 March,"Professional, Scientific & Technical Activities (M)",-1.3
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 March,Administrative & Support Service Activities (N (excl. 7735)),16.4
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 March,"Other Service Activities (L, 92, 93, 95, 96)",4.8
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 March,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",1.8
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 March,Wholesale Trade (46),-0.9
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 March,Accommodation (55),-2.5
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 March,"Food Service Activities (561, 562)",0.1
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 March,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",2.2
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 April,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),0.5
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 April,Transportation & Storage (H),-8.7
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 April,Accommodation & Food Service Activities (I),-1.1
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 April,Information & Communication (J),4.9
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 April,"Professional, Scientific & Technical Activities (M)",6.8
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 April,Administrative & Support Service Activities (N (excl. 7735)),-0.5
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 April,"Other Service Activities (L, 92, 93, 95, 96)",2.5
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 April,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",3.2
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 April,Wholesale Trade (46),-0.9
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 April,Accommodation (55),3.3
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 April,"Food Service Activities (561, 562)",0.1
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 April,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",1.2
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 May,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-0.9
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 May,Transportation & Storage (H),9.5
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 May,Accommodation & Food Service Activities (I),2.1
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 May,Information & Communication (J),1.7
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 May,"Professional, Scientific & Technical Activities (M)",-0.6
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 May,Administrative & Support Service Activities (N (excl. 7735)),-5.3
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 May,"Other Service Activities (L, 92, 93, 95, 96)",-0.9
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 May,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",0.8
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 May,Wholesale Trade (46),0.6
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 May,Accommodation (55),-0.6
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 May,"Food Service Activities (561, 562)",-0.1
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 May,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",-0.1
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 June,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),6.4
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 June,Transportation & Storage (H),-4.1
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 June,Accommodation & Food Service Activities (I),-1.4
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 June,Information & Communication (J),2.2
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 June,"Professional, Scientific & Technical Activities (M)",-0.5
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 June,Administrative & Support Service Activities (N (excl. 7735)),2.9
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 June,"Other Service Activities (L, 92, 93, 95, 96)",3.6
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 June,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",2.1
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 June,Wholesale Trade (46),12.6
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 June,Accommodation (55),-1.0
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 June,"Food Service Activities (561, 562)",-0.3
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 June,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",2.0
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 July,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-5.9
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 July,Transportation & Storage (H),0.5
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 July,Accommodation & Food Service Activities (I),-1.1
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 July,Information & Communication (J),2.2
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 July,"Professional, Scientific & Technical Activities (M)",2.5
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 July,Administrative & Support Service Activities (N (excl. 7735)),-8.7
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 July,"Other Service Activities (L, 92, 93, 95, 96)",-4.0
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 July,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",-0.1
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 July,Wholesale Trade (46),-9.7
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 July,Accommodation (55),-3.2
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 July,"Food Service Activities (561, 562)",1.7
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 July,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",-2.7
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 August,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-4.4
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 August,Transportation & Storage (H),-1.0
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 August,Accommodation & Food Service Activities (I),0.7
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 August,Information & Communication (J),3.9
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 August,"Professional, Scientific & Technical Activities (M)",-4.4
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 August,Administrative & Support Service Activities (N (excl. 7735)),0.7
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 August,"Other Service Activities (L, 92, 93, 95, 96)",0.4
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 August,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",1.0
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 August,Wholesale Trade (46),-4.6
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 August,Accommodation (55),1.6
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 August,"Food Service Activities (561, 562)",-0.1
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 August,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",-2.7
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 September,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),8.4
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 September,Transportation & Storage (H),-3.4
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 September,Accommodation & Food Service Activities (I),1.4
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 September,Information & Communication (J),1.1
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 September,"Professional, Scientific & Technical Activities (M)",2.0
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 September,Administrative & Support Service Activities (N (excl. 7735)),6.2
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 September,"Other Service Activities (L, 92, 93, 95, 96)",4.8
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 September,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",2.5
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 September,Wholesale Trade (46),10.1
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 September,Accommodation (55),3.9
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 September,"Food Service Activities (561, 562)",2.4
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 September,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",4.2
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 October,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-3.1
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 October,Transportation & Storage (H),2.9
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 October,Accommodation & Food Service Activities (I),0.7
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 October,Information & Communication (J),2.8
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 October,"Professional, Scientific & Technical Activities (M)",0.4
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 October,Administrative & Support Service Activities (N (excl. 7735)),14.7
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 October,"Other Service Activities (L, 92, 93, 95, 96)",-5.3
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 October,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",1.7
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 October,Wholesale Trade (46),-3.8
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 October,Accommodation (55),-1.3
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 October,"Food Service Activities (561, 562)",1.9
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 October,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",0.5
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 November,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),1.0
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 November,Transportation & Storage (H),2.4
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 November,Accommodation & Food Service Activities (I),0.4
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 November,Information & Communication (J),2.4
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 November,"Professional, Scientific & Technical Activities (M)",-1.9
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 November,Administrative & Support Service Activities (N (excl. 7735)),-11.3
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 November,"Other Service Activities (L, 92, 93, 95, 96)",8.3
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 November,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",1.0
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 November,Wholesale Trade (46),-0.5
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 November,Accommodation (55),3.4
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 November,"Food Service Activities (561, 562)",-1.2
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 November,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",-0.6
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 December,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),6.8
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 December,Transportation & Storage (H),1.0
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 December,Accommodation & Food Service Activities (I),-0.1
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 December,Information & Communication (J),3.8
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 December,"Professional, Scientific & Technical Activities (M)",-2.0
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 December,Administrative & Support Service Activities (N (excl. 7735)),-5.6
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 December,"Other Service Activities (L, 92, 93, 95, 96)",2.6
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 December,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",2.8
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 December,Wholesale Trade (46),9.5
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 December,Accommodation (55),-1.4
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 December,"Food Service Activities (561, 562)",-1.3
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2024 December,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",1.4
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2025 January,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-10.8
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2025 January,Transportation & Storage (H),4.9
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2025 January,Accommodation & Food Service Activities (I),-1.7
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2025 January,Information & Communication (J),1.9
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2025 January,"Professional, Scientific & Technical Activities (M)",3.2
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2025 January,Administrative & Support Service Activities (N (excl. 7735)),7.8
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2025 January,"Other Service Activities (L, 92, 93, 95, 96)",-2.2
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2025 January,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",0.2
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2025 January,Wholesale Trade (46),-17.5
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2025 January,Accommodation (55),-0.8
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2025 January,"Food Service Activities (561, 562)",-1.8
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2025 January,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",-2.1
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2025 February,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),3.8
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2025 February,Transportation & Storage (H),2.5
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2025 February,Accommodation & Food Service Activities (I),1.0
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2025 February,Information & Communication (J),4.3
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2025 February,"Professional, Scientific & Technical Activities (M)",-2.7
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2025 February,Administrative & Support Service Activities (N (excl. 7735)),1.9
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2025 February,"Other Service Activities (L, 92, 93, 95, 96)",7.0
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2025 February,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",3.2
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2025 February,Wholesale Trade (46),7.9
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2025 February,Accommodation (55),2.4
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2025 February,"Food Service Activities (561, 562)",0.2
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2025 February,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",1.6
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2025 March,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),5.8
Percentage Change over 1 month for Services Index Value (Seasonally Adjusted),2025 March,Transportation & Storage (H),-4.2
