Statistic,Month,NACE.Rev.2.Sector,value
Services Index Value,2023 January,Accommodation & Food Service Activities (I),156.1
Services Index Value,2023 January,Information & Communication (J),114.0
Services Index Value,2023 January,"Professional, Scientific & Technical Activities (M)",103.3
Services Index Value,2023 January,Administrative & Support Service Activities (N (excl. 7735)),104.3
Services Index Value,2023 January,"Other Service Activities (L, 92, 93, 95, 96)",140.8
Services Index Value,2023 January,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",113.3
Services Index Value,2023 January,Wholesale Trade (46),107.9
Services Index Value,2023 January,Accommodation (55),153.8
Services Index Value,2023 January,"Food Service Activities (561, 562)",182.2
Services Index Value,2023 January,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",112.5
Services Index Value,2023 February,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),110.3
Services Index Value,2023 February,Transportation & Storage (H),119.0
Services Index Value,2023 February,Accommodation & Food Service Activities (I),178.6
Services Index Value,2023 February,Information & Communication (J),112.7
Services Index Value,2023 February,"Professional, Scientific & Technical Activities (M)",104.6
Services Index Value,2023 February,Administrative & Support Service Activities (N (excl. 7735)),117.1
Services Index Value,2023 February,"Other Service Activities (L, 92, 93, 95, 96)",131.4
Services Index Value,2023 February,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",114.2
Services Index Value,2023 February,Wholesale Trade (46),113.1
Services Index Value,2023 February,Accommodation (55),163.1
Services Index Value,2023 February,"Food Service Activities (561, 562)",174.9
Services Index Value,2023 February,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",115.8
Services Index Value,2023 March,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),109.5
Services Index Value,2023 March,Transportation & Storage (H),139.0
Services Index Value,2023 March,Accommodation & Food Service Activities (I),212.7
Services Index Value,2023 March,Information & Communication (J),123.7
Services Index Value,2023 March,"Professional, Scientific & Technical Activities (M)",124.6
Services Index Value,2023 March,Administrative & Support Service Activities (N (excl. 7735)),112.7
Services Index Value,2023 March,"Other Service Activities (L, 92, 93, 95, 96)",150.4
Services Index Value,2023 March,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",124.6
Services Index Value,2023 March,Wholesale Trade (46),112.8
Services Index Value,2023 March,Accommodation (55),203.5
Services Index Value,2023 March,"Food Service Activities (561, 562)",204.1
Services Index Value,2023 March,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",125.6
Services Index Value,2023 April,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),103.9
Services Index Value,2023 April,Transportation & Storage (H),150.2
Services Index Value,2023 April,Accommodation & Food Service Activities (I),206.8
Services Index Value,2023 April,Information & Communication (J),117.7
