Statistic,Quarter,Sub.Head,value
"Current, Capital and Financial Account Balances BPM6",2005Q2,Capital account,-2
"Current, Capital and Financial Account Balances BPM6",2005Q2,Merchandise,8648
"Current, Capital and Financial Account Balances BPM6",2005Q2,Services,-2913
"Current, Capital and Financial Account Balances BPM6",2005Q2,Primary income,-6576
"Current, Capital and Financial Account Balances BPM6",2005Q2,Invisibles,-9831
"Current, Capital and Financial Account Balances BPM6",2005Q2,Secondary income,-342
"Current, Capital and Financial Account Balances BPM6",2005Q2,Financial account,-3732
"Current, Capital and Financial Account Balances BPM6",2005Q2,Net Errors and omissions,-2547
"Current, Capital and Financial Account Balances BPM6",2005Q2,Direct investment,7177
"Current, Capital and Financial Account Balances BPM6",2005Q2,Portfolio investment,428
"Current, Capital and Financial Account Balances BPM6",2005Q2,Other investment,-11268
"Current, Capital and Financial Account Balances BPM6",2005Q3,Current account,-2109
"Current, Capital and Financial Account Balances BPM6",2005Q3,Capital account,35
"Current, Capital and Financial Account Balances BPM6",2005Q3,Merchandise,7618
"Current, Capital and Financial Account Balances BPM6",2005Q3,Services,-3740
"Current, Capital and Financial Account Balances BPM6",2005Q3,Primary income,-5608
"Current, Capital and Financial Account Balances BPM6",2005Q3,Invisibles,-9727
"Current, Capital and Financial Account Balances BPM6",2005Q3,Secondary income,-379
"Current, Capital and Financial Account Balances BPM6",2005Q3,Financial account,559
"Current, Capital and Financial Account Balances BPM6",2005Q3,Net Errors and omissions,2633
"Current, Capital and Financial Account Balances BPM6",2005Q3,Direct investment,15925
"Current, Capital and Financial Account Balances BPM6",2005Q3,Portfolio investment,-25927
"Current, Capital and Financial Account Balances BPM6",2005Q3,Other investment,10571
"Current, Capital and Financial Account Balances BPM6",2005Q4,Current account,-1038
"Current, Capital and Financial Account Balances BPM6",2005Q4,Capital account,208
"Current, Capital and Financial Account Balances BPM6",2005Q4,Merchandise,8241
"Current, Capital and Financial Account Balances BPM6",2005Q4,Services,-4082
"Current, Capital and Financial Account Balances BPM6",2005Q4,Primary income,-4721
"Current, Capital and Financial Account Balances BPM6",2005Q4,Invisibles,-9279
"Current, Capital and Financial Account Balances BPM6",2005Q4,Secondary income,-475
"Current, Capital and Financial Account Balances BPM6",2005Q4,Financial account,-872
"Current, Capital and Financial Account Balances BPM6",2005Q4,Net Errors and omissions,-42
"Current, Capital and Financial Account Balances BPM6",2005Q4,Direct investment,15365
"Current, Capital and Financial Account Balances BPM6",2005Q4,Portfolio investment,-23119
"Current, Capital and Financial Account Balances BPM6",2005Q4,Other investment,8227
"Current, Capital and Financial Account Balances BPM6",2006Q1,Current account,-3794
"Current, Capital and Financial Account Balances BPM6",2006Q1,Capital account,97
"Current, Capital and Financial Account Balances BPM6",2006Q1,Merchandise,5539
"Current, Capital and Financial Account Balances BPM6",2006Q1,Services,-2627
"Current, Capital and Financial Account Balances BPM6",2006Q1,Primary income,-6057
"Current, Capital and Financial Account Balances BPM6",2006Q1,Invisibles,-9334
"Current, Capital and Financial Account Balances BPM6",2006Q1,Secondary income,-649
"Current, Capital and Financial Account Balances BPM6",2006Q1,Financial account,290
"Current, Capital and Financial Account Balances BPM6",2006Q1,Net Errors and omissions,3987
"Current, Capital and Financial Account Balances BPM6",2006Q1,Direct investment,4276
