Statistic,Year,Item,value
Modified Gross National Income at Current Market Prices,1997,3. Gross national product at current market prices,61361.0
Modified Gross National Income at Current Market Prices,1997,4. EU subsidies - ESA code (D.3),1744.0
Modified Gross National Income at Current Market Prices,1997,5. EU taxes - ESA code (D.2),-237.0
Modified Gross National Income at Current Market Prices,1997,6. Gross national income at current market prices - ESA code (B.5*g),62868.0
Modified Gross National Income at Current Market Prices,1997,7. Factor income of redomiciled companies,0.0
Modified Gross National Income at Current Market Prices,1997,8. Depreciation on R&D service imports and trade in IP,-85.0
Modified Gross National Income at Current Market Prices,1997,9. Depreciation on aircraft leasing,
Modified Gross National Income at Current Market Prices,1997,10. Modified gross national income at current market prices,62783.0
Modified Gross National Income at Current Market Prices,1998,1. Gross domestic product at current market prices - ESA code (B.1*g),80431.0
Modified Gross National Income at Current Market Prices,1998,2. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad),-9551.0
Modified Gross National Income at Current Market Prices,1998,3. Gross national product at current market prices,70880.0
Modified Gross National Income at Current Market Prices,1998,4. EU subsidies - ESA code (D.3),1729.0
Modified Gross National Income at Current Market Prices,1998,5. EU taxes - ESA code (D.2),-218.0
Modified Gross National Income at Current Market Prices,1998,6. Gross national income at current market prices - ESA code (B.5*g),72390.0
Modified Gross National Income at Current Market Prices,1998,7. Factor income of redomiciled companies,0.0
Modified Gross National Income at Current Market Prices,1998,8. Depreciation on R&D service imports and trade in IP,-136.0
Modified Gross National Income at Current Market Prices,1998,9. Depreciation on aircraft leasing,
Modified Gross National Income at Current Market Prices,1998,10. Modified gross national income at current market prices,72255.0
Modified Gross National Income at Current Market Prices,1999,1. Gross domestic product at current market prices - ESA code (B.1*g),92791.0
Modified Gross National Income at Current Market Prices,1999,2. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad),-13278.0
Modified Gross National Income at Current Market Prices,1999,3. Gross national product at current market prices,79512.0
Modified Gross National Income at Current Market Prices,1999,4. EU subsidies - ESA code (D.3),1614.0
Modified Gross National Income at Current Market Prices,1999,5. EU taxes - ESA code (D.2),-194.0
Modified Gross National Income at Current Market Prices,1999,6. Gross national income at current market prices - ESA code (B.5*g),80932.0
Modified Gross National Income at Current Market Prices,1999,7. Factor income of redomiciled companies,0.0
Modified Gross National Income at Current Market Prices,1999,8. Depreciation on R&D service imports and trade in IP,-215.0
Modified Gross National Income at Current Market Prices,1999,9. Depreciation on aircraft leasing,
Modified Gross National Income at Current Market Prices,1999,10. Modified gross national income at current market prices,80717.0
Modified Gross National Income at Current Market Prices,2000,1. Gross domestic product at current market prices - ESA code (B.1*g),108495.0
Modified Gross National Income at Current Market Prices,2000,2. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad),-15327.0
Modified Gross National Income at Current Market Prices,2000,3. Gross national product at current market prices,93168.0
Modified Gross National Income at Current Market Prices,2000,4. EU subsidies - ESA code (D.3),1634.0
Modified Gross National Income at Current Market Prices,2000,5. EU taxes - ESA code (D.2),-221.0
Modified Gross National Income at Current Market Prices,2000,6. Gross national income at current market prices - ESA code (B.5*g),94581.0
Modified Gross National Income at Current Market Prices,2000,7. Factor income of redomiciled companies,0.0
Modified Gross National Income at Current Market Prices,2000,8. Depreciation on R&D service imports and trade in IP,-310.0
Modified Gross National Income at Current Market Prices,2000,9. Depreciation on aircraft leasing,-49.0
Modified Gross National Income at Current Market Prices,2000,10. Modified gross national income at current market prices,94223.0
Modified Gross National Income at Current Market Prices,2001,1. Gross domestic product at current market prices - ESA code (B.1*g),122089.0
Modified Gross National Income at Current Market Prices,2001,2. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad),-19142.0
Modified Gross National Income at Current Market Prices,2001,3. Gross national product at current market prices,102947.0
Modified Gross National Income at Current Market Prices,2001,4. EU subsidies - ESA code (D.3),1520.0
Modified Gross National Income at Current Market Prices,2001,5. EU taxes - ESA code (D.2),-175.0
Modified Gross National Income at Current Market Prices,2001,6. Gross national income at current market prices - ESA code (B.5*g),104292.0
Modified Gross National Income at Current Market Prices,2001,7. Factor income of redomiciled companies,0.0
Modified Gross National Income at Current Market Prices,2001,8. Depreciation on R&D service imports and trade in IP,-532.0
Modified Gross National Income at Current Market Prices,2001,9. Depreciation on aircraft leasing,-134.0
Modified Gross National Income at Current Market Prices,2001,10. Modified gross national income at current market prices,103627.0
Modified Gross National Income at Current Market Prices,2002,1. Gross domestic product at current market prices - ESA code (B.1*g),135998.0
Modified Gross National Income at Current Market Prices,2002,2. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad),-23732.0
Modified Gross National Income at Current Market Prices,2002,3. Gross national product at current market prices,112266.0
Modified Gross National Income at Current Market Prices,2002,4. EU subsidies - ESA code (D.3),1895.0
Modified Gross National Income at Current Market Prices,2002,5. EU taxes - ESA code (D.2),-140.0
Modified Gross National Income at Current Market Prices,2002,6. Gross national income at current market prices - ESA code (B.5*g),114021.0
Modified Gross National Income at Current Market Prices,2002,7. Factor income of redomiciled companies,0.0
Modified Gross National Income at Current Market Prices,2002,8. Depreciation on R&D service imports and trade in IP,-908.0
Modified Gross National Income at Current Market Prices,2002,9. Depreciation on aircraft leasing,-288.0
Modified Gross National Income at Current Market Prices,2002,10. Modified gross national income at current market prices,112825.0
Modified Gross National Income at Current Market Prices,2003,1. Gross domestic product at current market prices - ESA code (B.1*g),145577.0
Modified Gross National Income at Current Market Prices,2003,2. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad),-21770.0
Modified Gross National Income at Current Market Prices,2003,3. Gross national product at current market prices,123807.0
Modified Gross National Income at Current Market Prices,2003,4. EU subsidies - ESA code (D.3),1839.0
Modified Gross National Income at Current Market Prices,2003,5. EU taxes - ESA code (D.2),-141.0
Modified Gross National Income at Current Market Prices,2003,6. Gross national income at current market prices - ESA code (B.5*g),125505.0
Modified Gross National Income at Current Market Prices,2003,7. Factor income of redomiciled companies,0.0
Modified Gross National Income at Current Market Prices,2003,8. Depreciation on R&D service imports and trade in IP,-1301.0
Modified Gross National Income at Current Market Prices,2003,9. Depreciation on aircraft leasing,-469.0
Modified Gross National Income at Current Market Prices,2003,10. Modified gross national income at current market prices,123735.0
Modified Gross National Income at Current Market Prices,2004,1. Gross domestic product at current market prices - ESA code (B.1*g),156260.0
Modified Gross National Income at Current Market Prices,2004,2. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad),-22991.0
Modified Gross National Income at Current Market Prices,2004,3. Gross national product at current market prices,133269.0
Modified Gross National Income at Current Market Prices,2004,4. EU subsidies - ESA code (D.3),1788.0
Modified Gross National Income at Current Market Prices,2004,5. EU taxes - ESA code (D.2),-180.0
Modified Gross National Income at Current Market Prices,2004,6. Gross national income at current market prices - ESA code (B.5*g),134878.0
Modified Gross National Income at Current Market Prices,2004,7. Factor income of redomiciled companies,0.0
Modified Gross National Income at Current Market Prices,2004,8. Depreciation on R&D service imports and trade in IP,-1686.0
Modified Gross National Income at Current Market Prices,2004,9. Depreciation on aircraft leasing,-630.0
Modified Gross National Income at Current Market Prices,2004,10. Modified gross national income at current market prices,132562.0
Modified Gross National Income at Current Market Prices,2005,1. Gross domestic product at current market prices - ESA code (B.1*g),170307.0
Modified Gross National Income at Current Market Prices,2005,2. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad),-24819.0
Modified Gross National Income at Current Market Prices,2005,3. Gross national product at current market prices,145487.0
Modified Gross National Income at Current Market Prices,2005,4. EU subsidies - ESA code (D.3),2239.0
Modified Gross National Income at Current Market Prices,2005,5. EU taxes - ESA code (D.2),-233.0
Modified Gross National Income at Current Market Prices,2005,6. Gross national income at current market prices - ESA code (B.5*g),147493.0
Modified Gross National Income at Current Market Prices,2005,7. Factor income of redomiciled companies,0.0
Modified Gross National Income at Current Market Prices,2005,8. Depreciation on R&D service imports and trade in IP,-2171.0
Modified Gross National Income at Current Market Prices,2005,9. Depreciation on aircraft leasing,-1186.0
Modified Gross National Income at Current Market Prices,2005,10. Modified gross national income at current market prices,144136.0
Modified Gross National Income at Current Market Prices,2006,1. Gross domestic product at current market prices - ESA code (B.1*g),184916.0
Modified Gross National Income at Current Market Prices,2006,2. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad),-24276.0
Modified Gross National Income at Current Market Prices,2006,3. Gross national product at current market prices,160640.0
Modified Gross National Income at Current Market Prices,2006,4. EU subsidies - ESA code (D.3),1778.0
Modified Gross National Income at Current Market Prices,2006,5. EU taxes - ESA code (D.2),-257.0
Modified Gross National Income at Current Market Prices,2006,6. Gross national income at current market prices - ESA code (B.5*g),162161.0
Modified Gross National Income at Current Market Prices,2006,7. Factor income of redomiciled companies,0.0
Modified Gross National Income at Current Market Prices,2006,8. Depreciation on R&D service imports and trade in IP,-2619.0
Modified Gross National Income at Current Market Prices,2006,9. Depreciation on aircraft leasing,-1723.0
Modified Gross National Income at Current Market Prices,2006,10. Modified gross national income at current market prices,157818.0
Modified Gross National Income at Current Market Prices,2007,1. Gross domestic product at current market prices - ESA code (B.1*g),197069.0
Modified Gross National Income at Current Market Prices,2007,2. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad),-28149.0
Modified Gross National Income at Current Market Prices,2007,3. Gross national product at current market prices,168920.0
Modified Gross National Income at Current Market Prices,2007,4. EU subsidies - ESA code (D.3),1728.0
Modified Gross National Income at Current Market Prices,2007,5. EU taxes - ESA code (D.2),-273.0
Modified Gross National Income at Current Market Prices,2007,6. Gross national income at current market prices - ESA code (B.5*g),170376.0
Modified Gross National Income at Current Market Prices,2007,7. Factor income of redomiciled companies,0.0
Modified Gross National Income at Current Market Prices,2007,8. Depreciation on R&D service imports and trade in IP,-3122.0
Modified Gross National Income at Current Market Prices,2007,9. Depreciation on aircraft leasing,-1827.0
Modified Gross National Income at Current Market Prices,2007,10. Modified gross national income at current market prices,165428.0
Modified Gross National Income at Current Market Prices,2008,1. Gross domestic product at current market prices - ESA code (B.1*g),187283.0
Modified Gross National Income at Current Market Prices,2008,2. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad),-26717.0
Modified Gross National Income at Current Market Prices,2008,3. Gross national product at current market prices,160566.0
Modified Gross National Income at Current Market Prices,2008,4. EU subsidies - ESA code (D.3),1797.0
Modified Gross National Income at Current Market Prices,2008,5. EU taxes - ESA code (D.2),-247.0
Modified Gross National Income at Current Market Prices,2008,6. Gross national income at current market prices - ESA code (B.5*g),162116.0
Modified Gross National Income at Current Market Prices,2008,7. Factor income of redomiciled companies,-292.0
Modified Gross National Income at Current Market Prices,2008,8. Depreciation on R&D service imports and trade in IP,-3562.0
Modified Gross National Income at Current Market Prices,2008,9. Depreciation on aircraft leasing,-1843.0
Modified Gross National Income at Current Market Prices,2008,10. Modified gross national income at current market prices,156420.0
Modified Gross National Income at Current Market Prices,2009,1. Gross domestic product at current market prices - ESA code (B.1*g),169520.0
Modified Gross National Income at Current Market Prices,2009,2. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad),-29413.0
Modified Gross National Income at Current Market Prices,2009,3. Gross national product at current market prices,140107.0
Modified Gross National Income at Current Market Prices,2009,4. EU subsidies - ESA code (D.3),1719.0
Modified Gross National Income at Current Market Prices,2009,5. EU taxes - ESA code (D.2),-209.0
Modified Gross National Income at Current Market Prices,2009,6. Gross national income at current market prices - ESA code (B.5*g),141616.0
Modified Gross National Income at Current Market Prices,2009,7. Factor income of redomiciled companies,-1594.0
Modified Gross National Income at Current Market Prices,2009,8. Depreciation on R&D service imports and trade in IP,-3835.0
Modified Gross National Income at Current Market Prices,2009,9. Depreciation on aircraft leasing,-1928.0
Modified Gross National Income at Current Market Prices,2009,10. Modified gross national income at current market prices,134260.0
Modified Gross National Income at Current Market Prices,2010,1. Gross domestic product at current market prices - ESA code (B.1*g),167255.0
Modified Gross National Income at Current Market Prices,2010,2. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad),-27951.0
Modified Gross National Income at Current Market Prices,2010,3. Gross national product at current market prices,139304.0
Modified Gross National Income at Current Market Prices,2010,4. EU subsidies - ESA code (D.3),1493.0
Modified Gross National Income at Current Market Prices,2010,5. EU taxes - ESA code (D.2),-229.0
Modified Gross National Income at Current Market Prices,2010,6. Gross national income at current market prices - ESA code (B.5*g),140569.0
Modified Gross National Income at Current Market Prices,2010,7. Factor income of redomiciled companies,-5260.0
Modified Gross National Income at Current Market Prices,2010,8. Depreciation on R&D service imports and trade in IP,-4157.0
Modified Gross National Income at Current Market Prices,2010,9. Depreciation on aircraft leasing,-2163.0
Modified Gross National Income at Current Market Prices,2010,10. Modified gross national income at current market prices,128989.0
Modified Gross National Income at Current Market Prices,2011,1. Gross domestic product at current market prices - ESA code (B.1*g),173120.0
Modified Gross National Income at Current Market Prices,2011,2. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad),-33390.0
Modified Gross National Income at Current Market Prices,2011,3. Gross national product at current market prices,139731.0
Modified Gross National Income at Current Market Prices,2011,4. EU subsidies - ESA code (D.3),1699.0
Modified Gross National Income at Current Market Prices,2011,5. EU taxes - ESA code (D.2),-240.0
Modified Gross National Income at Current Market Prices,2011,6. Gross national income at current market prices - ESA code (B.5*g),141189.0
Modified Gross National Income at Current Market Prices,2011,7. Factor income of redomiciled companies,-5548.0
Modified Gross National Income at Current Market Prices,2011,8. Depreciation on R&D service imports and trade in IP,-4204.0
Modified Gross National Income at Current Market Prices,2011,9. Depreciation on aircraft leasing,-2425.0
Modified Gross National Income at Current Market Prices,2011,10. Modified gross national income at current market prices,129012.0
Modified Gross National Income at Current Market Prices,2012,1. Gross domestic product at current market prices - ESA code (B.1*g),176622.0
Modified Gross National Income at Current Market Prices,2012,2. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad),-34971.0
Modified Gross National Income at Current Market Prices,2012,3. Gross national product at current market prices,141651.0
Modified Gross National Income at Current Market Prices,2012,4. EU subsidies - ESA code (D.3),1632.0
Modified Gross National Income at Current Market Prices,2012,5. EU taxes - ESA code (D.2),-242.0
Modified Gross National Income at Current Market Prices,2012,6. Gross national income at current market prices - ESA code (B.5*g),143041.0
Modified Gross National Income at Current Market Prices,2012,7. Factor income of redomiciled companies,-7097.0
Modified Gross National Income at Current Market Prices,2012,8. Depreciation on R&D service imports and trade in IP,-4940.0
Modified Gross National Income at Current Market Prices,2012,9. Depreciation on aircraft leasing,-2755.0
Modified Gross National Income at Current Market Prices,2012,10. Modified gross national income at current market prices,128249.0
Modified Gross National Income at Current Market Prices,2013,1. Gross domestic product at current market prices - ESA code (B.1*g),182909.0
Modified Gross National Income at Current Market Prices,2013,2. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad),-30022.0
Modified Gross National Income at Current Market Prices,2013,3. Gross national product at current market prices,152886.0
Modified Gross National Income at Current Market Prices,2013,4. EU subsidies - ESA code (D.3),1450.0
Modified Gross National Income at Current Market Prices,2013,5. EU taxes - ESA code (D.2),-247.0
Modified Gross National Income at Current Market Prices,2013,6. Gross national income at current market prices - ESA code (B.5*g),154089.0
Modified Gross National Income at Current Market Prices,2013,7. Factor income of redomiciled companies,-6474.0
Modified Gross National Income at Current Market Prices,2013,8. Depreciation on R&D service imports and trade in IP,-5377.0
Modified Gross National Income at Current Market Prices,2013,9. Depreciation on aircraft leasing,-4237.0
Modified Gross National Income at Current Market Prices,2013,10. Modified gross national income at current market prices,138001.0
Modified Gross National Income at Current Market Prices,2014,1. Gross domestic product at current market prices - ESA code (B.1*g),200595.0
Modified Gross National Income at Current Market Prices,2014,2. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad),-32308.0
Modified Gross National Income at Current Market Prices,2014,3. Gross national product at current market prices,168287.0
Modified Gross National Income at Current Market Prices,2014,4. EU subsidies - ESA code (D.3),1318.0
Modified Gross National Income at Current Market Prices,2014,5. EU taxes - ESA code (D.2),-275.0
Modified Gross National Income at Current Market Prices,2014,6. Gross national income at current market prices - ESA code (B.5*g),169330.0
Modified Gross National Income at Current Market Prices,2014,7. Factor income of redomiciled companies,-6851.0
Modified Gross National Income at Current Market Prices,2014,8. Depreciation on R&D service imports and trade in IP,-5557.0
Modified Gross National Income at Current Market Prices,2014,9. Depreciation on aircraft leasing,-6228.0
Modified Gross National Income at Current Market Prices,2014,10. Modified gross national income at current market prices,150694.0
Modified Gross National Income at Current Market Prices,2015,1. Gross domestic product at current market prices - ESA code (B.1*g),272283.0
Modified Gross National Income at Current Market Prices,2015,2. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad),-61992.0
Modified Gross National Income at Current Market Prices,2015,3. Gross national product at current market prices,210291.0
Modified Gross National Income at Current Market Prices,2015,4. EU subsidies - ESA code (D.3),1571.0
Modified Gross National Income at Current Market Prices,2015,5. EU taxes - ESA code (D.2),-327.0
Modified Gross National Income at Current Market Prices,2015,6. Gross national income at current market prices - ESA code (B.5*g),211535.0
Modified Gross National Income at Current Market Prices,2015,7. Factor income of redomiciled companies,-4663.0
Modified Gross National Income at Current Market Prices,2015,8. Depreciation on R&D service imports and trade in IP,-31538.0
Modified Gross National Income at Current Market Prices,2015,9. Depreciation on aircraft leasing,-7358.0
Modified Gross National Income at Current Market Prices,2015,10. Modified gross national income at current market prices,167977.0
Modified Gross National Income at Current Market Prices,2016,1. Gross domestic product at current market prices - ESA code (B.1*g),275933.0
Modified Gross National Income at Current Market Prices,2016,2. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad),-52170.0
Modified Gross National Income at Current Market Prices,2016,3. Gross national product at current market prices,223763.0
Modified Gross National Income at Current Market Prices,2016,4. EU subsidies - ESA code (D.3),1479.0
Modified Gross National Income at Current Market Prices,2016,5. EU taxes - ESA code (D.2),-486.0
Modified Gross National Income at Current Market Prices,2016,6. Gross national income at current market prices - ESA code (B.5*g),224756.0
Modified Gross National Income at Current Market Prices,2016,7. Factor income of redomiciled companies,-5780.0
Modified Gross National Income at Current Market Prices,2016,8. Depreciation on R&D service imports and trade in IP,-37855.0
Modified Gross National Income at Current Market Prices,2016,9. Depreciation on aircraft leasing,-7852.0
Modified Gross National Income at Current Market Prices,2016,10. Modified gross national income at current market prices,173269.0
Modified Gross National Income at Current Market Prices,2017,1. Gross domestic product at current market prices - ESA code (B.1*g),308366.0
Modified Gross National Income at Current Market Prices,2017,2. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad),-67540.0
Modified Gross National Income at Current Market Prices,2017,3. Gross national product at current market prices,240826.0
Modified Gross National Income at Current Market Prices,2017,4. EU subsidies - ESA code (D.3),1504.0
Modified Gross National Income at Current Market Prices,2017,5. EU taxes - ESA code (D.2),-433.0
Modified Gross National Income at Current Market Prices,2017,6. Gross national income at current market prices - ESA code (B.5*g),241898.0
Modified Gross National Income at Current Market Prices,2017,7. Factor income of redomiciled companies,-4457.0
Modified Gross National Income at Current Market Prices,2017,8. Depreciation on R&D service imports and trade in IP,-44299.0
Modified Gross National Income at Current Market Prices,2017,9. Depreciation on aircraft leasing,-8455.0
Modified Gross National Income at Current Market Prices,2017,10. Modified gross national income at current market prices,184688.0
Modified Gross National Income at Current Market Prices,2018,1. Gross domestic product at current market prices - ESA code (B.1*g),335136.0
Modified Gross National Income at Current Market Prices,2018,2. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad),-82000.0
Modified Gross National Income at Current Market Prices,2018,3. Gross national product at current market prices,253136.0
Modified Gross National Income at Current Market Prices,2018,4. EU subsidies - ESA code (D.3),1230.0
Modified Gross National Income at Current Market Prices,2018,5. EU taxes - ESA code (D.2),-433.0
Modified Gross National Income at Current Market Prices,2018,6. Gross national income at current market prices - ESA code (B.5*g),253934.0
Modified Gross National Income at Current Market Prices,2018,7. Factor income of redomiciled companies,-5252.0
Modified Gross National Income at Current Market Prices,2018,8. Depreciation on R&D service imports and trade in IP,-48087.0
Modified Gross National Income at Current Market Prices,2018,9. Depreciation on aircraft leasing,-9003.0
Modified Gross National Income at Current Market Prices,2018,10. Modified gross national income at current market prices,191591.0
Modified Gross National Income at Current Market Prices,2019,1. Gross domestic product at current market prices - ESA code (B.1*g),363753.0
Modified Gross National Income at Current Market Prices,2019,2. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad),-90450.0
Modified Gross National Income at Current Market Prices,2019,3. Gross national product at current market prices,273303.0
Modified Gross National Income at Current Market Prices,2019,4. EU subsidies - ESA code (D.3),1251.0
Modified Gross National Income at Current Market Prices,2019,5. EU taxes - ESA code (D.2),-456.0
Modified Gross National Income at Current Market Prices,2019,6. Gross national income at current market prices - ESA code (B.5*g),274097.0
Modified Gross National Income at Current Market Prices,2019,7. Factor income of redomiciled companies,-5290.0
Modified Gross National Income at Current Market Prices,2019,8. Depreciation on R&D service imports and trade in IP,-52995.0
Modified Gross National Income at Current Market Prices,2019,9. Depreciation on aircraft leasing,-9216.0
Modified Gross National Income at Current Market Prices,2019,10. Modified gross national income at current market prices,206596.0
Modified Gross National Income at Current Market Prices,2020,1. Gross domestic product at current market prices - ESA code (B.1*g),381729.0
Modified Gross National Income at Current Market Prices,2020,2. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad),-103801.0
Modified Gross National Income at Current Market Prices,2020,3. Gross national product at current market prices,277928.0
Modified Gross National Income at Current Market Prices,2020,4. EU subsidies - ESA code (D.3),1191.0
Modified Gross National Income at Current Market Prices,2020,5. EU taxes - ESA code (D.2),-410.0
Modified Gross National Income at Current Market Prices,2020,6. Gross national income at current market prices - ESA code (B.5*g),278709.0
Modified Gross National Income at Current Market Prices,2020,7. Factor income of redomiciled companies,-4234.0
Modified Gross National Income at Current Market Prices,2020,8. Depreciation on R&D service imports and trade in IP,-66899.0
Modified Gross National Income at Current Market Prices,2020,9. Depreciation on aircraft leasing,-9292.0
Modified Gross National Income at Current Market Prices,2020,10. Modified gross national income at current market prices,198283.0
Modified Gross National Income at Current Market Prices,2021,1. Gross domestic product at current market prices - ESA code (B.1*g),448445.0
Modified Gross National Income at Current Market Prices,2021,2. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad),-128946.0
Modified Gross National Income at Current Market Prices,2021,3. Gross national product at current market prices,319499.0
Modified Gross National Income at Current Market Prices,2021,4. EU subsidies - ESA code (D.3),1177.0
Modified Gross National Income at Current Market Prices,2021,5. EU taxes - ESA code (D.2),-735.0
Modified Gross National Income at Current Market Prices,2021,6. Gross national income at current market prices - ESA code (B.5*g),319941.0
Modified Gross National Income at Current Market Prices,2021,7. Factor income of redomiciled companies,-10614.0
Modified Gross National Income at Current Market Prices,2021,8. Depreciation on R&D service imports and trade in IP,-69832.0
Modified Gross National Income at Current Market Prices,2021,9. Depreciation on aircraft leasing,-9317.0
Modified Gross National Income at Current Market Prices,2021,10. Modified gross national income at current market prices,230178.0
Modified Gross National Income at Current Market Prices,2022,1. Gross domestic product at current market prices - ESA code (B.1*g),520718.0
Modified Gross National Income at Current Market Prices,2022,2. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad),-165125.0
Modified Gross National Income at Current Market Prices,2022,3. Gross national product at current market prices,355594.0
Modified Gross National Income at Current Market Prices,2022,4. EU subsidies - ESA code (D.3),1199.0
Modified Gross National Income at Current Market Prices,2022,5. EU taxes - ESA code (D.2),-876.0
Modified Gross National Income at Current Market Prices,2022,6. Gross national income at current market prices - ESA code (B.5*g),355917.0
Modified Gross National Income at Current Market Prices,2022,7. Factor income of redomiciled companies,-4648.0
Modified Gross National Income at Current Market Prices,2022,8. Depreciation on R&D service imports and trade in IP,-75079.0
Modified Gross National Income at Current Market Prices,2022,9. Depreciation on aircraft leasing,-9508.0
Modified Gross National Income at Current Market Prices,2022,10. Modified gross national income at current market prices,266682.0
Modified Gross National Income at Current Market Prices,2023,1. Gross domestic product at current market prices - ESA code (B.1*g),524729.0
Modified Gross National Income at Current Market Prices,2023,2. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad),-133977.0
Modified Gross National Income at Current Market Prices,2023,3. Gross national product at current market prices,390752.0
Modified Gross National Income at Current Market Prices,2023,4. EU subsidies - ESA code (D.3),1128.0
Modified Gross National Income at Current Market Prices,2023,5. EU taxes - ESA code (D.2),-884.0
Modified Gross National Income at Current Market Prices,2023,6. Gross national income at current market prices - ESA code (B.5*g),390996.0
Modified Gross National Income at Current Market Prices,2023,7. Factor income of redomiciled companies,-10977.0
Modified Gross National Income at Current Market Prices,2023,8. Depreciation on R&D service imports and trade in IP,-78602.0
Modified Gross National Income at Current Market Prices,2023,9. Depreciation on aircraft leasing,-9989.0
Modified Gross National Income at Current Market Prices,2023,10. Modified gross national income at current market prices,291428.0
Modified Gross National Income at Current Market Prices,2024,1. Gross domestic product at current market prices - ESA code (B.1*g),562794.0
Modified Gross National Income at Current Market Prices,2024,2. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad),-140608.0
Modified Gross National Income at Current Market Prices,2024,3. Gross national product at current market prices,422186.0
Modified Gross National Income at Current Market Prices,2024,4. EU subsidies - ESA code (D.3),1230.0
Modified Gross National Income at Current Market Prices,2024,5. EU taxes - ESA code (D.2),-589.0
Modified Gross National Income at Current Market Prices,2024,6. Gross national income at current market prices - ESA code (B.5*g),422827.0
Modified Gross National Income at Current Market Prices,2024,7. Factor income of redomiciled companies,-10484.0
Modified Gross National Income at Current Market Prices,2024,8. Depreciation on R&D service imports and trade in IP,-80918.0
Modified Gross National Income at Current Market Prices,2024,9. Depreciation on aircraft leasing,-10328.0
Modified Gross National Income at Current Market Prices,2024,10. Modified gross national income at current market prices,321098.0
