Statistic,Quarter,Business.of.Owner,value
Tonne-Kilometre,2024Q2,All business activities,3511
Tonne-Kilometre,2024Q2,Transport,2436
Tonne-Kilometre,2024Q2,Other,1075
Tonnes Carried,2009Q1,All business activities,42164
Tonnes Carried,2009Q1,Transport,19878
Tonnes Carried,2009Q1,Other,22285
Tonnes Carried,2009Q2,All business activities,37377
Tonnes Carried,2009Q2,Transport,16555
Tonnes Carried,2009Q2,Other,20822
Tonnes Carried,2009Q3,All business activities,35612
Tonnes Carried,2009Q3,Transport,15015
Tonnes Carried,2009Q3,Other,20598
Tonnes Carried,2009Q4,All business activities,33161
Tonnes Carried,2009Q4,Transport,15028
Tonnes Carried,2009Q4,Other,18133
Tonnes Carried,2010Q1,All business activities,31746
Tonnes Carried,2010Q1,Transport,14946
Tonnes Carried,2010Q1,Other,16800
Tonnes Carried,2010Q2,All business activities,34782
Tonnes Carried,2010Q2,Transport,15897
Tonnes Carried,2010Q2,Other,18884
Tonnes Carried,2010Q3,All business activities,31635
Tonnes Carried,2010Q3,Transport,14317
Tonnes Carried,2010Q3,Other,17318
Tonnes Carried,2010Q4,All business activities,27703
Tonnes Carried,2010Q4,Transport,13678
Tonnes Carried,2010Q4,Other,14024
Tonnes Carried,2011Q1,All business activities,26243
Tonnes Carried,2011Q1,Transport,12988
Tonnes Carried,2011Q1,Other,13255
Tonnes Carried,2011Q2,All business activities,28494
Tonnes Carried,2011Q2,Transport,13613
Tonnes Carried,2011Q2,Other,14881
Tonnes Carried,2011Q3,All business activities,30064
Tonnes Carried,2011Q3,Transport,15846
Tonnes Carried,2011Q3,Other,14219
Tonnes Carried,2011Q4,All business activities,25459
Tonnes Carried,2011Q4,Transport,12393
Tonnes Carried,2011Q4,Other,13066
Tonnes Carried,2012Q1,All business activities,26750
Tonnes Carried,2012Q1,Transport,14735
Tonnes Carried,2012Q1,Other,12015
Tonnes Carried,2012Q2,All business activities,27598
Tonnes Carried,2012Q2,Transport,14737
Tonnes Carried,2012Q2,Other,12861
Tonnes Carried,2012Q3,All business activities,28603
Tonnes Carried,2012Q3,Transport,15234
Tonnes Carried,2012Q3,Other,13369
Tonnes Carried,2012Q4,All business activities,25126
Tonnes Carried,2012Q4,Transport,13630
Tonnes Carried,2012Q4,Other,11496
Tonnes Carried,2013Q1,All business activities,25739
Tonnes Carried,2013Q1,Transport,14990
Tonnes Carried,2013Q1,Other,10749
Tonnes Carried,2013Q2,All business activities,30802
Tonnes Carried,2013Q2,Transport,16508
Tonnes Carried,2013Q2,Other,14294
Tonnes Carried,2013Q3,All business activities,29498
Tonnes Carried,2013Q3,Transport,16577
Tonnes Carried,2013Q3,Other,12920
Tonnes Carried,2013Q4,All business activities,22792
Tonnes Carried,2013Q4,Transport,12823
Tonnes Carried,2013Q4,Other,9970
Tonnes Carried,2014Q1,All business activities,29303
Tonnes Carried,2014Q1,Transport,17093
Tonnes Carried,2014Q1,Other,12210
Tonnes Carried,2014Q2,All business activities,28353
Tonnes Carried,2014Q2,Transport,16262
