Statistic,Month,Taxation.Class,value
Vehicles Licensed for the First Time,1997 December,All Vehicles,11349.0
Vehicles Licensed for the First Time,1997 December,New Vehicles,7562.0
Vehicles Licensed for the First Time,1997 December,New Private Cars,6637.0
Vehicles Licensed for the First Time,1997 December,New Goods Vehicles,614.0
Vehicles Licensed for the First Time,1997 December,New Tractors,63.0
Vehicles Licensed for the First Time,1997 December,New Motor Cycles,138.0
Vehicles Licensed for the First Time,1997 December,New Exempt Vehicles,51.0
Vehicles Licensed for the First Time,1997 December,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",59.0
Vehicles Licensed for the First Time,1997 December,Secondhand Vehicles,3787.0
Vehicles Licensed for the First Time,1997 December,Secondhand Private Cars,3008.0
Vehicles Licensed for the First Time,1997 December,Secondhand Goods Vehicles,355.0
Vehicles Licensed for the First Time,1997 December,Secondhand Tractors,202.0
Vehicles Licensed for the First Time,1997 December,Secondhand Other Vehicles,222.0
Vehicles Licensed for the First Time,1997 December,Secondhand Motor Cycles,
Vehicles Licensed for the First Time,1998 January,All Vehicles,24484.0
Vehicles Licensed for the First Time,1998 January,New Vehicles,20608.0
Vehicles Licensed for the First Time,1998 January,New Private Cars,17192.0
Vehicles Licensed for the First Time,1998 January,New Goods Vehicles,2518.0
Vehicles Licensed for the First Time,1998 January,New Tractors,219.0
Vehicles Licensed for the First Time,1998 January,New Motor Cycles,268.0
Vehicles Licensed for the First Time,1998 January,New Exempt Vehicles,218.0
Vehicles Licensed for the First Time,1998 January,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",193.0
Vehicles Licensed for the First Time,1998 January,Secondhand Vehicles,3876.0
Vehicles Licensed for the First Time,1998 January,Secondhand Private Cars,2969.0
Vehicles Licensed for the First Time,1998 January,Secondhand Goods Vehicles,386.0
Vehicles Licensed for the First Time,1998 January,Secondhand Tractors,218.0
Vehicles Licensed for the First Time,1998 January,Secondhand Other Vehicles,163.0
Vehicles Licensed for the First Time,1998 January,Secondhand Motor Cycles,140.0
Vehicles Licensed for the First Time,1998 February,All Vehicles,22882.0
Vehicles Licensed for the First Time,1998 February,New Vehicles,18655.0
Vehicles Licensed for the First Time,1998 February,New Private Cars,15480.0
Vehicles Licensed for the First Time,1998 February,New Goods Vehicles,2377.0
Vehicles Licensed for the First Time,1998 February,New Tractors,178.0
Vehicles Licensed for the First Time,1998 February,New Motor Cycles,223.0
Vehicles Licensed for the First Time,1998 February,New Exempt Vehicles,206.0
Vehicles Licensed for the First Time,1998 February,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",191.0
Vehicles Licensed for the First Time,1998 February,Secondhand Vehicles,4227.0
Vehicles Licensed for the First Time,1998 February,Secondhand Private Cars,3244.0
Vehicles Licensed for the First Time,1998 February,Secondhand Goods Vehicles,434.0
Vehicles Licensed for the First Time,1998 February,Secondhand Tractors,233.0
Vehicles Licensed for the First Time,1998 February,Secondhand Other Vehicles,169.0
Vehicles Licensed for the First Time,1998 February,Secondhand Motor Cycles,147.0
Vehicles Licensed for the First Time,1998 March,All Vehicles,22232.0
Vehicles Licensed for the First Time,1998 March,New Vehicles,17987.0
Vehicles Licensed for the First Time,1998 March,New Private Cars,14703.0
Vehicles Licensed for the First Time,1998 March,New Goods Vehicles,2366.0
Vehicles Licensed for the First Time,1998 March,New Tractors,201.0
Vehicles Licensed for the First Time,1998 March,New Motor Cycles,256.0
Vehicles Licensed for the First Time,1998 March,New Exempt Vehicles,211.0
Vehicles Licensed for the First Time,1998 March,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",250.0
Vehicles Licensed for the First Time,1998 March,Secondhand Vehicles,4245.0
Vehicles Licensed for the First Time,1998 March,Secondhand Private Cars,3219.0
Vehicles Licensed for the First Time,1998 March,Secondhand Goods Vehicles,409.0
Vehicles Licensed for the First Time,1998 March,Secondhand Tractors,248.0
Vehicles Licensed for the First Time,1998 March,Secondhand Other Vehicles,172.0
Vehicles Licensed for the First Time,1998 March,Secondhand Motor Cycles,197.0
Vehicles Licensed for the First Time,1998 April,All Vehicles,24567.0
Vehicles Licensed for the First Time,1998 April,New Vehicles,20282.0
Vehicles Licensed for the First Time,1998 April,New Private Cars,16903.0
Vehicles Licensed for the First Time,1998 April,New Goods Vehicles,2507.0
Vehicles Licensed for the First Time,1998 April,New Tractors,207.0
Vehicles Licensed for the First Time,1998 April,New Motor Cycles,258.0
Vehicles Licensed for the First Time,1998 April,New Exempt Vehicles,232.0
Vehicles Licensed for the First Time,1998 April,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",175.0
