Statistic,Month,Sex,Age.Group,Last.Held.Occupation,value
Persons on the Live Register,2009 November,Both sexes,25 years and over,Professional,21212
Persons on the Live Register,2009 November,Both sexes,25 years and over,Associate professional and technical,10914
Persons on the Live Register,2009 November,Both sexes,25 years and over,Clerical and secretarial,35568
Persons on the Live Register,2009 November,Both sexes,25 years and over,Craft and related,90852
Persons on the Live Register,2009 November,Both sexes,25 years and over,Personal and protective services,33362
Persons on the Live Register,2009 November,Both sexes,25 years and over,Sales,26290
Persons on the Live Register,2009 November,Both sexes,25 years and over,Plant and machine operatives,55567
Persons on the Live Register,2009 November,Both sexes,25 years and over,Other broad occupational groups,33968
Persons on the Live Register,2009 November,Both sexes,25 years and over,No occupation,6139
Persons on the Live Register,2009 November,Both sexes,All ages,All broad occupational groups,413505
Persons on the Live Register,2009 November,Both sexes,All ages,Managers and administrators,17399
Persons on the Live Register,2009 November,Both sexes,All ages,Professional,24384
Persons on the Live Register,2009 November,Both sexes,All ages,Associate professional and technical,12779
Persons on the Live Register,2009 November,Both sexes,All ages,Clerical and secretarial,41515
Persons on the Live Register,2009 November,Both sexes,All ages,Craft and related,112681
Persons on the Live Register,2009 November,Both sexes,All ages,Personal and protective services,44052
Persons on the Live Register,2009 November,Both sexes,All ages,Sales,39344
Persons on the Live Register,2009 November,Both sexes,All ages,Plant and machine operatives,66680
Persons on the Live Register,2009 November,Both sexes,All ages,Other broad occupational groups,43252
Persons on the Live Register,2009 November,Both sexes,All ages,No occupation,11419
Persons on the Live Register,2009 November,Male,Under 25 years,All broad occupational groups,53482
Persons on the Live Register,2009 November,Male,Under 25 years,Managers and administrators,641
Persons on the Live Register,2009 November,Male,Under 25 years,Professional,1664
Persons on the Live Register,2009 November,Male,Under 25 years,Associate professional and technical,1084
Persons on the Live Register,2009 November,Male,Under 25 years,Clerical and secretarial,2175
Persons on the Live Register,2009 November,Male,Under 25 years,Craft and related,20533
Persons on the Live Register,2009 November,Male,Under 25 years,Personal and protective services,3211
Persons on the Live Register,2009 November,Male,Under 25 years,Sales,4988
Persons on the Live Register,2009 November,Male,Under 25 years,Plant and machine operatives,8447
Persons on the Live Register,2009 November,Male,Under 25 years,Other broad occupational groups,7403
Persons on the Live Register,2009 November,Male,Under 25 years,No occupation,3336
Persons on the Live Register,2009 November,Male,25 years and over,All broad occupational groups,222611
Persons on the Live Register,2009 November,Male,25 years and over,Managers and administrators,9851
Persons on the Live Register,2009 November,Male,25 years and over,Professional,11230
Persons on the Live Register,2009 November,Male,25 years and over,Associate professional and technical,6571
Persons on the Live Register,2009 November,Male,25 years and over,Clerical and secretarial,8976
Persons on the Live Register,2009 November,Male,25 years and over,Craft and related,85597
Persons on the Live Register,2009 November,Male,25 years and over,Personal and protective services,12881
Persons on the Live Register,2009 November,Male,25 years and over,Sales,9745
Persons on the Live Register,2009 November,Male,25 years and over,Plant and machine operatives,44250
Persons on the Live Register,2009 November,Male,25 years and over,Other broad occupational groups,29368
Persons on the Live Register,2009 November,Male,25 years and over,No occupation,4142
Persons on the Live Register,2009 November,Male,All ages,All broad occupational groups,276093
Persons on the Live Register,2009 November,Male,All ages,Managers and administrators,10492
Persons on the Live Register,2009 November,Male,All ages,Professional,12894
Persons on the Live Register,2009 November,Male,All ages,Associate professional and technical,7655
Persons on the Live Register,2009 November,Male,All ages,Clerical and secretarial,11151
Persons on the Live Register,2009 November,Male,All ages,Craft and related,106130
Persons on the Live Register,2009 November,Male,All ages,Personal and protective services,16092
Persons on the Live Register,2009 November,Male,All ages,Sales,14733
Persons on the Live Register,2009 November,Male,All ages,Plant and machine operatives,52697
Persons on the Live Register,2009 November,Male,All ages,Other broad occupational groups,36771
Persons on the Live Register,2009 November,Male,All ages,No occupation,7478
Persons on the Live Register,2009 November,Female,Under 25 years,All broad occupational groups,29880
Persons on the Live Register,2009 November,Female,Under 25 years,Managers and administrators,487
Persons on the Live Register,2009 November,Female,Under 25 years,Professional,1508
Persons on the Live Register,2009 November,Female,Under 25 years,Associate professional and technical,781
Persons on the Live Register,2009 November,Female,Under 25 years,Clerical and secretarial,3772
Persons on the Live Register,2009 November,Female,Under 25 years,Craft and related,1296
Persons on the Live Register,2009 November,Female,Under 25 years,Personal and protective services,7479
Persons on the Live Register,2009 November,Female,Under 25 years,Sales,8066
Persons on the Live Register,2009 November,Female,Under 25 years,Plant and machine operatives,2666
Persons on the Live Register,2009 November,Female,Under 25 years,Other broad occupational groups,1881
Persons on the Live Register,2009 November,Female,Under 25 years,No occupation,1944
Persons on the Live Register,2009 November,Female,25 years and over,All broad occupational groups,107532
Persons on the Live Register,2009 November,Female,25 years and over,Managers and administrators,6420
Persons on the Live Register,2009 November,Female,25 years and over,Professional,9982
Persons on the Live Register,2009 November,Female,25 years and over,Associate professional and technical,4343
Persons on the Live Register,2009 November,Female,25 years and over,Clerical and secretarial,26592
Persons on the Live Register,2009 November,Female,25 years and over,Craft and related,5255
Persons on the Live Register,2009 November,Female,25 years and over,Personal and protective services,20481
Persons on the Live Register,2009 November,Female,25 years and over,Sales,16545
Persons on the Live Register,2009 November,Female,25 years and over,Plant and machine operatives,11317
Persons on the Live Register,2009 November,Female,25 years and over,Other broad occupational groups,4600
Persons on the Live Register,2009 November,Female,25 years and over,No occupation,1997
Persons on the Live Register,2009 November,Female,All ages,All broad occupational groups,137412
Persons on the Live Register,2009 November,Female,All ages,Managers and administrators,6907
Persons on the Live Register,2009 November,Female,All ages,Professional,11490
Persons on the Live Register,2009 November,Female,All ages,Associate professional and technical,5124
Persons on the Live Register,2009 November,Female,All ages,Clerical and secretarial,30364
Persons on the Live Register,2009 November,Female,All ages,Craft and related,6551
Persons on the Live Register,2009 November,Female,All ages,Personal and protective services,27960
Persons on the Live Register,2009 November,Female,All ages,Sales,24611
Persons on the Live Register,2009 November,Female,All ages,Plant and machine operatives,13983
Persons on the Live Register,2009 November,Female,All ages,Other broad occupational groups,6481
Persons on the Live Register,2009 November,Female,All ages,No occupation,3941
Persons on the Live Register,2009 December,Both sexes,Under 25 years,All broad occupational groups,84398
Persons on the Live Register,2009 December,Both sexes,Under 25 years,Managers and administrators,1082
Persons on the Live Register,2009 December,Both sexes,Under 25 years,Professional,3113
Persons on the Live Register,2009 December,Both sexes,Under 25 years,Associate professional and technical,1838
Persons on the Live Register,2009 December,Both sexes,Under 25 years,Clerical and secretarial,5854
Persons on the Live Register,2009 December,Both sexes,Under 25 years,Craft and related,22860
Persons on the Live Register,2009 December,Both sexes,Under 25 years,Personal and protective services,10721
Persons on the Live Register,2009 December,Both sexes,Under 25 years,Sales,12866
Persons on the Live Register,2009 December,Both sexes,Under 25 years,Plant and machine operatives,11247
Persons on the Live Register,2009 December,Both sexes,Under 25 years,Other broad occupational groups,9424
Persons on the Live Register,2009 December,Both sexes,Under 25 years,No occupation,5393
Persons on the Live Register,2009 December,Both sexes,25 years and over,All broad occupational groups,339197
Persons on the Live Register,2009 December,Both sexes,25 years and over,Managers and administrators,16673
Persons on the Live Register,2009 December,Both sexes,25 years and over,Professional,22172
Persons on the Live Register,2009 December,Both sexes,25 years and over,Associate professional and technical,11150
Persons on the Live Register,2009 December,Both sexes,25 years and over,Clerical and secretarial,37122
Persons on the Live Register,2009 December,Both sexes,25 years and over,Craft and related,93094
Persons on the Live Register,2009 December,Both sexes,25 years and over,Personal and protective services,34587
Persons on the Live Register,2009 December,Both sexes,25 years and over,Sales,26546
Persons on the Live Register,2009 December,Both sexes,25 years and over,Plant and machine operatives,56849
Persons on the Live Register,2009 December,Both sexes,25 years and over,Other broad occupational groups,34733
Persons on the Live Register,2009 December,Both sexes,25 years and over,No occupation,6271
Persons on the Live Register,2009 December,Both sexes,All ages,All broad occupational groups,423595
Persons on the Live Register,2009 December,Both sexes,All ages,Managers and administrators,17755
Persons on the Live Register,2009 December,Both sexes,All ages,Professional,25285
Persons on the Live Register,2009 December,Both sexes,All ages,Associate professional and technical,12988
Persons on the Live Register,2009 December,Both sexes,All ages,Clerical and secretarial,42976
Persons on the Live Register,2009 December,Both sexes,All ages,Craft and related,115954
Persons on the Live Register,2009 December,Both sexes,All ages,Personal and protective services,45308
Persons on the Live Register,2009 December,Both sexes,All ages,Sales,39412
Persons on the Live Register,2009 December,Both sexes,All ages,Plant and machine operatives,68096
Persons on the Live Register,2009 December,Both sexes,All ages,Other broad occupational groups,44157
Persons on the Live Register,2009 December,Both sexes,All ages,No occupation,11664
Persons on the Live Register,2009 December,Male,Under 25 years,All broad occupational groups,54805
Persons on the Live Register,2009 December,Male,Under 25 years,Managers and administrators,624
Persons on the Live Register,2009 December,Male,Under 25 years,Professional,1648
Persons on the Live Register,2009 December,Male,Under 25 years,Associate professional and technical,1094
Persons on the Live Register,2009 December,Male,Under 25 years,Clerical and secretarial,2129
Persons on the Live Register,2009 December,Male,Under 25 years,Craft and related,21581
Persons on the Live Register,2009 December,Male,Under 25 years,Personal and protective services,3247
Persons on the Live Register,2009 December,Male,Under 25 years,Sales,4934
Persons on the Live Register,2009 December,Male,Under 25 years,Plant and machine operatives,8582
Persons on the Live Register,2009 December,Male,Under 25 years,Other broad occupational groups,7548
Persons on the Live Register,2009 December,Male,Under 25 years,No occupation,3418
Persons on the Live Register,2009 December,Male,25 years and over,All broad occupational groups,228049
Persons on the Live Register,2009 December,Male,25 years and over,Managers and administrators,10138
Persons on the Live Register,2009 December,Male,25 years and over,Professional,11547
Persons on the Live Register,2009 December,Male,25 years and over,Associate professional and technical,6698
Persons on the Live Register,2009 December,Male,25 years and over,Clerical and secretarial,9248
Persons on the Live Register,2009 December,Male,25 years and over,Craft and related,87777
Persons on the Live Register,2009 December,Male,25 years and over,Personal and protective services,13193
Persons on the Live Register,2009 December,Male,25 years and over,Sales,9886
Persons on the Live Register,2009 December,Male,25 years and over,Plant and machine operatives,45335
Persons on the Live Register,2009 December,Male,25 years and over,Other broad occupational groups,29989
Persons on the Live Register,2009 December,Male,25 years and over,No occupation,4238
Persons on the Live Register,2009 December,Male,All ages,All broad occupational groups,282854
Persons on the Live Register,2009 December,Male,All ages,Managers and administrators,10762
Persons on the Live Register,2009 December,Male,All ages,Professional,13195
Persons on the Live Register,2009 December,Male,All ages,Associate professional and technical,7792
Persons on the Live Register,2009 December,Male,All ages,Clerical and secretarial,11377
Persons on the Live Register,2009 December,Male,All ages,Craft and related,109358
Persons on the Live Register,2009 December,Male,All ages,Personal and protective services,16440
Persons on the Live Register,2009 December,Male,All ages,Sales,14820
Persons on the Live Register,2009 December,Male,All ages,Plant and machine operatives,53917
Persons on the Live Register,2009 December,Male,All ages,Other broad occupational groups,37537
Persons on the Live Register,2009 December,Male,All ages,No occupation,7656
Persons on the Live Register,2009 December,Female,Under 25 years,All broad occupational groups,29593
Persons on the Live Register,2009 December,Female,Under 25 years,Managers and administrators,458
Persons on the Live Register,2009 December,Female,Under 25 years,Professional,1465
Persons on the Live Register,2009 December,Female,Under 25 years,Associate professional and technical,744
Persons on the Live Register,2009 December,Female,Under 25 years,Clerical and secretarial,3725
Persons on the Live Register,2009 December,Female,Under 25 years,Craft and related,1279
Persons on the Live Register,2009 December,Female,Under 25 years,Personal and protective services,7474
Persons on the Live Register,2009 December,Female,Under 25 years,Sales,7932
Persons on the Live Register,2009 December,Female,Under 25 years,Plant and machine operatives,2665
Persons on the Live Register,2009 December,Female,Under 25 years,Other broad occupational groups,1876
Persons on the Live Register,2009 December,Female,Under 25 years,No occupation,1975
Persons on the Live Register,2009 December,Female,25 years and over,All broad occupational groups,111148
Persons on the Live Register,2009 December,Female,25 years and over,Managers and administrators,6535
Persons on the Live Register,2009 December,Female,25 years and over,Professional,10625
Persons on the Live Register,2009 December,Female,25 years and over,Associate professional and technical,4452
Persons on the Live Register,2009 December,Female,25 years and over,Clerical and secretarial,27874
Persons on the Live Register,2009 December,Female,25 years and over,Craft and related,5317
Persons on the Live Register,2009 December,Female,25 years and over,Personal and protective services,21394
Persons on the Live Register,2009 December,Female,25 years and over,Sales,16660
Persons on the Live Register,2009 December,Female,25 years and over,Plant and machine operatives,11514
Persons on the Live Register,2009 December,Female,25 years and over,Other broad occupational groups,4744
Persons on the Live Register,2009 December,Female,25 years and over,No occupation,2033
Persons on the Live Register,2009 December,Female,All ages,All broad occupational groups,140741
Persons on the Live Register,2009 December,Female,All ages,Managers and administrators,6993
Persons on the Live Register,2009 December,Female,All ages,Professional,12090
Persons on the Live Register,2009 December,Female,All ages,Associate professional and technical,5196
Persons on the Live Register,2009 December,Female,All ages,Clerical and secretarial,31599
Persons on the Live Register,2009 December,Female,All ages,Craft and related,6596
Persons on the Live Register,2009 December,Female,All ages,Personal and protective services,28868
Persons on the Live Register,2009 December,Female,All ages,Sales,24592
Persons on the Live Register,2009 December,Female,All ages,Plant and machine operatives,14179
Persons on the Live Register,2009 December,Female,All ages,Other broad occupational groups,6620
Persons on the Live Register,2009 December,Female,All ages,No occupation,4008
Persons on the Live Register,2010 January,Both sexes,Under 25 years,All broad occupational groups,85910
Persons on the Live Register,2010 January,Both sexes,Under 25 years,Managers and administrators,1085
Persons on the Live Register,2010 January,Both sexes,Under 25 years,Professional,2954
Persons on the Live Register,2010 January,Both sexes,Under 25 years,Associate professional and technical,1791
Persons on the Live Register,2010 January,Both sexes,Under 25 years,Clerical and secretarial,5940
Persons on the Live Register,2010 January,Both sexes,Under 25 years,Craft and related,22626
Persons on the Live Register,2010 January,Both sexes,Under 25 years,Personal and protective services,11150
Persons on the Live Register,2010 January,Both sexes,Under 25 years,Sales,13759
Persons on the Live Register,2010 January,Both sexes,Under 25 years,Plant and machine operatives,11502
Persons on the Live Register,2010 January,Both sexes,Under 25 years,Other broad occupational groups,9529
Persons on the Live Register,2010 January,Both sexes,Under 25 years,No occupation,5574
Persons on the Live Register,2010 January,Both sexes,25 years and over,All broad occupational groups,351026
Persons on the Live Register,2010 January,Both sexes,25 years and over,Managers and administrators,17196
Persons on the Live Register,2010 January,Both sexes,25 years and over,Professional,22264
Persons on the Live Register,2010 January,Both sexes,25 years and over,Associate professional and technical,11353
Persons on the Live Register,2010 January,Both sexes,25 years and over,Clerical and secretarial,37590
Persons on the Live Register,2010 January,Both sexes,25 years and over,Craft and related,96908
Persons on the Live Register,2010 January,Both sexes,25 years and over,Personal and protective services,36370
Persons on the Live Register,2010 January,Both sexes,25 years and over,Sales,28072
Persons on the Live Register,2010 January,Both sexes,25 years and over,Plant and machine operatives,58976
Persons on the Live Register,2010 January,Both sexes,25 years and over,Other broad occupational groups,35877
Persons on the Live Register,2010 January,Both sexes,25 years and over,No occupation,6420
Persons on the Live Register,2010 January,Both sexes,All ages,All broad occupational groups,436936
Persons on the Live Register,2010 January,Both sexes,All ages,Managers and administrators,18281
Persons on the Live Register,2010 January,Both sexes,All ages,Professional,25218
Persons on the Live Register,2010 January,Both sexes,All ages,Associate professional and technical,13144
Persons on the Live Register,2010 January,Both sexes,All ages,Clerical and secretarial,43530
Persons on the Live Register,2010 January,Both sexes,All ages,Craft and related,119534
Persons on the Live Register,2010 January,Both sexes,All ages,Personal and protective services,47520
Persons on the Live Register,2010 January,Both sexes,All ages,Sales,41831
Persons on the Live Register,2010 January,Both sexes,All ages,Plant and machine operatives,70478
Persons on the Live Register,2010 January,Both sexes,All ages,Other broad occupational groups,45406
Persons on the Live Register,2010 January,Both sexes,All ages,No occupation,11994
Persons on the Live Register,2010 January,Male,Under 25 years,All broad occupational groups,55218
Persons on the Live Register,2010 January,Male,Under 25 years,Managers and administrators,616
Persons on the Live Register,2010 January,Male,Under 25 years,Professional,1579
Persons on the Live Register,2010 January,Male,Under 25 years,Associate professional and technical,1062
Persons on the Live Register,2010 January,Male,Under 25 years,Clerical and secretarial,2169
Persons on the Live Register,2010 January,Male,Under 25 years,Craft and related,21269
Persons on the Live Register,2010 January,Male,Under 25 years,Personal and protective services,3365
Persons on the Live Register,2010 January,Male,Under 25 years,Sales,5267
Persons on the Live Register,2010 January,Male,Under 25 years,Plant and machine operatives,8752
Persons on the Live Register,2010 January,Male,Under 25 years,Other broad occupational groups,7615
Persons on the Live Register,2010 January,Male,Under 25 years,No occupation,3524
Persons on the Live Register,2010 January,Male,25 years and over,All broad occupational groups,236430
Persons on the Live Register,2010 January,Male,25 years and over,Managers and administrators,10396
Persons on the Live Register,2010 January,Male,25 years and over,Professional,11698
Persons on the Live Register,2010 January,Male,25 years and over,Associate professional and technical,6798
Persons on the Live Register,2010 January,Male,25 years and over,Clerical and secretarial,9550
Persons on the Live Register,2010 January,Male,25 years and over,Craft and related,91220
Persons on the Live Register,2010 January,Male,25 years and over,Personal and protective services,14005
Persons on the Live Register,2010 January,Male,25 years and over,Sales,10482
Persons on the Live Register,2010 January,Male,25 years and over,Plant and machine operatives,46998
Persons on the Live Register,2010 January,Male,25 years and over,Other broad occupational groups,30953
Persons on the Live Register,2010 January,Male,25 years and over,No occupation,4330
Persons on the Live Register,2010 January,Male,All ages,All broad occupational groups,291648
Persons on the Live Register,2010 January,Male,All ages,Managers and administrators,11012
Persons on the Live Register,2010 January,Male,All ages,Professional,13277
Persons on the Live Register,2010 January,Male,All ages,Associate professional and technical,7860
Persons on the Live Register,2010 January,Male,All ages,Clerical and secretarial,11719
Persons on the Live Register,2010 January,Male,All ages,Craft and related,112489
Persons on the Live Register,2010 January,Male,All ages,Personal and protective services,17370
Persons on the Live Register,2010 January,Male,All ages,Sales,15749
Persons on the Live Register,2010 January,Male,All ages,Plant and machine operatives,55750
Persons on the Live Register,2010 January,Male,All ages,Other broad occupational groups,38568
Persons on the Live Register,2010 January,Male,All ages,No occupation,7854
Persons on the Live Register,2010 January,Female,Under 25 years,All broad occupational groups,30692
Persons on the Live Register,2010 January,Female,Under 25 years,Managers and administrators,469
Persons on the Live Register,2010 January,Female,Under 25 years,Professional,1375
Persons on the Live Register,2010 January,Female,Under 25 years,Associate professional and technical,729
Persons on the Live Register,2010 January,Female,Under 25 years,Clerical and secretarial,3771
Persons on the Live Register,2010 January,Female,Under 25 years,Craft and related,1357
Persons on the Live Register,2010 January,Female,Under 25 years,Personal and protective services,7785
Persons on the Live Register,2010 January,Female,Under 25 years,Sales,8492
Persons on the Live Register,2010 January,Female,Under 25 years,Plant and machine operatives,2750
Persons on the Live Register,2010 January,Female,Under 25 years,Other broad occupational groups,1914
Persons on the Live Register,2010 January,Female,Under 25 years,No occupation,2050
Persons on the Live Register,2010 January,Female,25 years and over,All broad occupational groups,114596
Persons on the Live Register,2010 January,Female,25 years and over,Managers and administrators,6800
Persons on the Live Register,2010 January,Female,25 years and over,Professional,10566
Persons on the Live Register,2010 January,Female,25 years and over,Associate professional and technical,4555
Persons on the Live Register,2010 January,Female,25 years and over,Clerical and secretarial,28040
Persons on the Live Register,2010 January,Female,25 years and over,Craft and related,5688
Persons on the Live Register,2010 January,Female,25 years and over,Personal and protective services,22365
Persons on the Live Register,2010 January,Female,25 years and over,Sales,17590
Persons on the Live Register,2010 January,Female,25 years and over,Plant and machine operatives,11978
Persons on the Live Register,2010 January,Female,25 years and over,Other broad occupational groups,4924
Persons on the Live Register,2010 January,Female,25 years and over,No occupation,2090
Persons on the Live Register,2010 January,Female,All ages,All broad occupational groups,145288
Persons on the Live Register,2010 January,Female,All ages,Managers and administrators,7269
Persons on the Live Register,2010 January,Female,All ages,Professional,11941
Persons on the Live Register,2010 January,Female,All ages,Associate professional and technical,5284
Persons on the Live Register,2010 January,Female,All ages,Clerical and secretarial,31811
Persons on the Live Register,2010 January,Female,All ages,Craft and related,7045
Persons on the Live Register,2010 January,Female,All ages,Personal and protective services,30150
Persons on the Live Register,2010 January,Female,All ages,Sales,26082
Persons on the Live Register,2010 January,Female,All ages,Plant and machine operatives,14728
Persons on the Live Register,2010 January,Female,All ages,Other broad occupational groups,6838
