,Statistic,Month,State,value
1178,Total Exports,2014 April,State,7321500
1179,Total Exports,2014 May,State,8158100
1180,Total Exports,2014 June,State,8079500
1181,Total Exports,2014 July,State,7251700
1182,Total Exports,2014 August,State,7772700
1183,Total Exports,2014 September,State,8246800
1184,Total Exports,2014 October,State,7932400
1185,Total Exports,2014 November,State,7863900
1186,Total Exports,2014 December,State,8224300
1187,Total Exports,2015 January,State,8290000
1188,Total Exports,2015 February,State,8347800
1189,Total Exports,2015 March,State,9405000
1190,Total Exports,2015 April,State,9613900
1191,Total Exports,2015 May,State,9179800
1192,Total Exports,2015 June,State,9910800
1193,Total Exports,2015 July,State,9412900
1194,Total Exports,2015 August,State,8625700
1195,Total Exports,2015 September,State,9438200
1196,Total Exports,2015 October,State,10754100
1197,Total Exports,2015 November,State,10178700
1198,Total Exports,2015 December,State,9250500
1199,Total Exports,2016 January,State,8892996
1200,Total Exports,2016 February,State,8566040
1201,Total Exports,2016 March,State,10354088
1202,Total Exports,2016 April,State,10053036
1203,Total Exports,2016 May,State,9385407
1204,Total Exports,2016 June,State,10868131
1205,Total Exports,2016 July,State,9410826
1206,Total Exports,2016 August,State,10464424
1207,Total Exports,2016 September,State,10485512
1208,Total Exports,2016 October,State,10198509
1209,Total Exports,2016 November,State,11201198
1210,Total Exports,2016 December,State,9411986
1211,Total Exports,2017 January,State,9906651
1212,Total Exports,2017 February,State,10235065
1213,Total Exports,2017 March,State,12036994
1214,Total Exports,2017 April,State,9862591
1215,Total Exports,2017 May,State,10560981
1216,Total Exports,2017 June,State,10652866
1217,Total Exports,2017 July,State,9178371
1218,Total Exports,2017 August,State,9616810
1219,Total Exports,2017 September,State,10188050
1220,Total Exports,2017 October,State,9644809
1221,Total Exports,2017 November,State,10848699
1222,Total Exports,2017 December,State,10052906
1223,Total Exports,2018 January,State,12102187
1224,Total Exports,2018 February,State,10400673
1225,Total Exports,2018 March,State,11340029
1226,Total Exports,2018 April,State,10980185
1227,Total Exports,2018 May,State,11810091
1228,Total Exports,2018 June,State,12765503
1229,Total Exports,2018 July,State,11074562
1230,Total Exports,2018 August,State,11538145
1231,Total Exports,2018 September,State,11550196
1232,Total Exports,2018 October,State,12255238
1233,Total Exports,2018 November,State,12956141
1234,Total Exports,2018 December,State,11872019
1235,Total Exports,2019 January,State,13485262
1236,Total Exports,2019 February,State,12413992
1237,Total Exports,2019 March,State,11677300
1238,Total Exports,2019 April,State,12791329
1239,Total Exports,2019 May,State,13698293
1240,Total Exports,2019 June,State,12050232
1241,Total Exports,2019 July,State,13363501
1242,Total Exports,2019 August,State,11758076
1243,Total Exports,2019 September,State,12507395
1244,Total Exports,2019 October,State,14288319
1245,Total Exports,2019 November,State,12843796
1246,Total Exports,2019 December,State,11656503
1247,Total Exports,2020 January,State,14989178
1248,Total Exports,2020 February,State,11569920
1249,Total Exports,2020 March,State,17664437
1250,Total Exports,2020 April,State,11342849
1251,Total Exports,2020 May,State,12875387
1252,Total Exports,2020 June,State,13647033
1253,Total Exports,2020 July,State,13617293
1254,Total Exports,2020 August,State,12935272
1255,Total Exports,2020 September,State,13990695
1256,Total Exports,2020 October,State,12230069
1257,Total Exports,2020 November,State,14918329
1258,Total Exports,2020 December,State,12350620
1259,Total Exports,2021 January,State,13329124
1260,Total Exports,2021 February,State,12315276
1261,Total Exports,2021 March,State,14708300
1262,Total Exports,2021 April,State,12289084
1263,Total Exports,2021 May,State,13547685
1264,Total Exports,2021 June,State,14749389
1265,Total Exports,2021 July,State,13202482
1266,Total Exports,2021 August,State,13166721
1267,Total Exports,2021 September,State,14771483
1268,Total Exports,2021 October,State,14958220
1269,Total Exports,2021 November,State,15623833
1270,Total Exports,2021 December,State,13053517
1271,Total Exports,2022 January,State,16065483
1272,Total Exports,2022 February,State,15867496
1273,Total Exports,2022 March,State,20266837
1274,Total Exports,2022 April,State,17207883
1275,Total Exports,2022 May,State,17914293
1276,Total Exports,2022 June,State,17712065
1277,Total Exports,2022 July,State,14906751
1278,Total Exports,2022 August,State,19386995
1279,Total Exports,2022 September,State,19433972
1280,Total Exports,2022 October,State,17565534
1281,Total Exports,2022 November,State,17131231
1282,Total Exports,2022 December,State,15304101
1283,Total Exports,2023 January,State,15497459
1284,Total Exports,2023 February,State,16713820
1285,Total Exports,2023 March,State,18738092
1286,Total Exports,2023 April,State,15171277
1287,Total Exports,2023 May,State,16653111
1288,Total Exports,2023 June,State,18338085
1289,Total Exports,2023 July,State,15801356
1290,Total Exports,2023 August,State,16180691
1291,Total Exports,2023 September,State,16018507
1292,Total Exports,2023 October,State,17542899
1293,Total Exports,2023 November,State,16543343
1294,Trade Surplus (Exports minus Imports),1970 January,State,-19427
1295,Trade Surplus (Exports minus Imports),1970 February,State,-23160
1296,Trade Surplus (Exports minus Imports),1970 March,State,-20354
1297,Trade Surplus (Exports minus Imports),1970 April,State,-30550
1298,Trade Surplus (Exports minus Imports),1970 May,State,-23122
1299,Trade Surplus (Exports minus Imports),1970 June,State,-21382
1300,Trade Surplus (Exports minus Imports),1970 July,State,-22919
1301,Trade Surplus (Exports minus Imports),1970 August,State,-17459
1302,Trade Surplus (Exports minus Imports),1970 September,State,-14259
1303,Trade Surplus (Exports minus Imports),1970 October,State,-24620
1304,Trade Surplus (Exports minus Imports),1970 November,State,-23147
1305,Trade Surplus (Exports minus Imports),1970 December,State,-24811
1306,Trade Surplus (Exports minus Imports),1971 January,State,-19998
1307,Trade Surplus (Exports minus Imports),1971 February,State,-28874
1308,Trade Surplus (Exports minus Imports),1971 March,State,-52301
1309,Trade Surplus (Exports minus Imports),1971 April,State,-31236
1310,Trade Surplus (Exports minus Imports),1971 May,State,-25623
1311,Trade Surplus (Exports minus Imports),1971 June,State,-14602
1312,Trade Surplus (Exports minus Imports),1971 July,State,-20862
1313,Trade Surplus (Exports minus Imports),1971 August,State,-15123
1314,Trade Surplus (Exports minus Imports),1971 September,State,-12621
1315,Trade Surplus (Exports minus Imports),1971 October,State,-21573
1316,Trade Surplus (Exports minus Imports),1971 November,State,-21814
1317,Trade Surplus (Exports minus Imports),1971 December,State,-11669
1318,Trade Surplus (Exports minus Imports),1972 January,State,-24619
1319,Trade Surplus (Exports minus Imports),1972 February,State,-21724
1320,Trade Surplus (Exports minus Imports),1972 March,State,-25137
1321,Trade Surplus (Exports minus Imports),1972 April,State,-30632
1322,Trade Surplus (Exports minus Imports),1972 May,State,-25418
1323,Trade Surplus (Exports minus Imports),1972 June,State,-15868
1324,Trade Surplus (Exports minus Imports),1972 July,State,-8773
1325,Trade Surplus (Exports minus Imports),1972 August,State,-8256
1326,Trade Surplus (Exports minus Imports),1972 September,State,-10869
1327,Trade Surplus (Exports minus Imports),1972 October,State,-24294
1328,Trade Surplus (Exports minus Imports),1972 November,State,-19300
1329,Trade Surplus (Exports minus Imports),1972 December,State,-37804
1330,Trade Surplus (Exports minus Imports),1973 January,State,-38771
1331,Trade Surplus (Exports minus Imports),1973 February,State,-35940
1332,Trade Surplus (Exports minus Imports),1973 March,State,-28371
1333,Trade Surplus (Exports minus Imports),1973 April,State,-37193
1334,Trade Surplus (Exports minus Imports),1973 May,State,-33512
1335,Trade Surplus (Exports minus Imports),1973 June,State,-24553
1336,Trade Surplus (Exports minus Imports),1973 July,State,-35697
1337,Trade Surplus (Exports minus Imports),1973 August,State,-24884
1338,Trade Surplus (Exports minus Imports),1973 September,State,-8281
1339,Trade Surplus (Exports minus Imports),1973 October,State,-32373
1340,Trade Surplus (Exports minus Imports),1973 November,State,-29571
1341,Trade Surplus (Exports minus Imports),1973 December,State,-13759
1342,Trade Surplus (Exports minus Imports),1974 January,State,-37179
1343,Trade Surplus (Exports minus Imports),1974 February,State,-46533
1344,Trade Surplus (Exports minus Imports),1974 March,State,-74132
1345,Trade Surplus (Exports minus Imports),1974 April,State,-87093
1346,Trade Surplus (Exports minus Imports),1974 May,State,-84965
1347,Trade Surplus (Exports minus Imports),1974 June,State,-53667
1348,Trade Surplus (Exports minus Imports),1974 July,State,-59431
1349,Trade Surplus (Exports minus Imports),1974 August,State,-57767
1350,Trade Surplus (Exports minus Imports),1974 September,State,-44401
1351,Trade Surplus (Exports minus Imports),1974 October,State,-50194
1352,Trade Surplus (Exports minus Imports),1974 November,State,-16536
1353,Trade Surplus (Exports minus Imports),1974 December,State,-22389
1354,Trade Surplus (Exports minus Imports),1975 January,State,-40310
1355,Trade Surplus (Exports minus Imports),1975 February,State,-48976
1356,Trade Surplus (Exports minus Imports),1975 March,State,-41494
1357,Trade Surplus (Exports minus Imports),1975 April,State,-44918
1358,Trade Surplus (Exports minus Imports),1975 May,State,-32626
1359,Trade Surplus (Exports minus Imports),1975 June,State,-32302
1360,Trade Surplus (Exports minus Imports),1975 July,State,-15997
1361,Trade Surplus (Exports minus Imports),1975 August,State,-7655
1362,Trade Surplus (Exports minus Imports),1975 September,State,1403
1363,Trade Surplus (Exports minus Imports),1975 October,State,12254
1364,Trade Surplus (Exports minus Imports),1975 November,State,-24097
1365,Trade Surplus (Exports minus Imports),1975 December,State,-52574
1366,Trade Surplus (Exports minus Imports),1976 January,State,-59367
1367,Trade Surplus (Exports minus Imports),1976 February,State,-66706
1368,Trade Surplus (Exports minus Imports),1976 March,State,-100619
1369,Trade Surplus (Exports minus Imports),1976 April,State,-53014
1370,Trade Surplus (Exports minus Imports),1976 May,State,-49753
1371,Trade Surplus (Exports minus Imports),1976 June,State,-48416
1372,Trade Surplus (Exports minus Imports),1976 July,State,-38220
1373,Trade Surplus (Exports minus Imports),1976 August,State,-54161
1374,Trade Surplus (Exports minus Imports),1976 September,State,-16060
1375,Trade Surplus (Exports minus Imports),1976 October,State,-6431
1376,Trade Surplus (Exports minus Imports),1976 November,State,-64832
1377,Trade Surplus (Exports minus Imports),1976 December,State,-49803
1378,Trade Surplus (Exports minus Imports),1977 January,State,-114242
1379,Trade Surplus (Exports minus Imports),1977 February,State,-80625
1380,Trade Surplus (Exports minus Imports),1977 March,State,-111932
1381,Trade Surplus (Exports minus Imports),1977 April,State,-77592
1382,Trade Surplus (Exports minus Imports),1977 May,State,-85811
1383,Trade Surplus (Exports minus Imports),1977 June,State,-57744
1384,Trade Surplus (Exports minus Imports),1977 July,State,-20071
1385,Trade Surplus (Exports minus Imports),1977 August,State,-40689
1386,Trade Surplus (Exports minus Imports),1977 September,State,-27654
1387,Trade Surplus (Exports minus Imports),1977 October,State,-47945
1388,Trade Surplus (Exports minus Imports),1977 November,State,-28749
1389,Trade Surplus (Exports minus Imports),1977 December,State,-34147
1390,Trade Surplus (Exports minus Imports),1978 January,State,-89994
1391,Trade Surplus (Exports minus Imports),1978 February,State,-82731
1392,Trade Surplus (Exports minus Imports),1978 March,State,-63916
1393,Trade Surplus (Exports minus Imports),1978 April,State,-60683
1394,Trade Surplus (Exports minus Imports),1978 May,State,-158936
1395,Trade Surplus (Exports minus Imports),1978 June,State,-97221
1396,Trade Surplus (Exports minus Imports),1978 July,State,-59006
1397,Trade Surplus (Exports minus Imports),1978 August,State,-113198
1398,Trade Surplus (Exports minus Imports),1978 September,State,-34941
1399,Trade Surplus (Exports minus Imports),1978 October,State,-93722
1400,Trade Surplus (Exports minus Imports),1978 November,State,-77471
1401,Trade Surplus (Exports minus Imports),1978 December,State,-20565
1402,Trade Surplus (Exports minus Imports),1979 January,State,-189790
1403,Trade Surplus (Exports minus Imports),1979 February,State,-105755
1404,Trade Surplus (Exports minus Imports),1979 March,State,-170470
1405,Trade Surplus (Exports minus Imports),1979 April,State,-155163
1406,Trade Surplus (Exports minus Imports),1979 May,State,-195296
1407,Trade Surplus (Exports minus Imports),1979 June,State,-199458
1408,Trade Surplus (Exports minus Imports),1979 July,State,-77181
1409,Trade Surplus (Exports minus Imports),1979 August,State,-179610
1410,Trade Surplus (Exports minus Imports),1979 September,State,-116966
1411,Trade Surplus (Exports minus Imports),1979 October,State,-155120
1412,Trade Surplus (Exports minus Imports),1979 November,State,-121475
1413,Trade Surplus (Exports minus Imports),1979 December,State,-28348
1414,Trade Surplus (Exports minus Imports),1980 January,State,-258239
1415,Trade Surplus (Exports minus Imports),1980 February,State,-201711
1416,Trade Surplus (Exports minus Imports),1980 March,State,-149990
1417,Trade Surplus (Exports minus Imports),1980 April,State,-133512
1418,Trade Surplus (Exports minus Imports),1980 May,State,-199442
1419,Trade Surplus (Exports minus Imports),1980 June,State,-77841
1420,Trade Surplus (Exports minus Imports),1980 July,State,-105664
1421,Trade Surplus (Exports minus Imports),1980 August,State,-101957
1422,Trade Surplus (Exports minus Imports),1980 September,State,-89233
1423,Trade Surplus (Exports minus Imports),1980 October,State,-54896
1424,Trade Surplus (Exports minus Imports),1980 November,State,-184314
1425,Trade Surplus (Exports minus Imports),1980 December,State,-142121
1426,Trade Surplus (Exports minus Imports),1981 January,State,-226962
1427,Trade Surplus (Exports minus Imports),1981 February,State,-216073
1428,Trade Surplus (Exports minus Imports),1981 March,State,-236922
1429,Trade Surplus (Exports minus Imports),1981 April,State,-233716
1430,Trade Surplus (Exports minus Imports),1981 May,State,-188042
1431,Trade Surplus (Exports minus Imports),1981 June,State,-176246
1432,Trade Surplus (Exports minus Imports),1981 July,State,-257133
1433,Trade Surplus (Exports minus Imports),1981 August,State,-156851
1434,Trade Surplus (Exports minus Imports),1981 September,State,-194826
1435,Trade Surplus (Exports minus Imports),1981 October,State,-131370
1436,Trade Surplus (Exports minus Imports),1981 November,State,-203910
1437,Trade Surplus (Exports minus Imports),1981 December,State,-64527
1438,Trade Surplus (Exports minus Imports),1982 January,State,-280890
1439,Trade Surplus (Exports minus Imports),1982 February,State,-187780
1440,Trade Surplus (Exports minus Imports),1982 March,State,-241307
1441,Trade Surplus (Exports minus Imports),1982 April,State,-206820
1442,Trade Surplus (Exports minus Imports),1982 May,State,-110429
1443,Trade Surplus (Exports minus Imports),1982 June,State,-11098
1444,Trade Surplus (Exports minus Imports),1982 July,State,-58557
1445,Trade Surplus (Exports minus Imports),1982 August,State,-155896
1446,Trade Surplus (Exports minus Imports),1982 September,State,-5889
1447,Trade Surplus (Exports minus Imports),1982 October,State,-6638
1448,Trade Surplus (Exports minus Imports),1982 November,State,-107623
1449,Trade Surplus (Exports minus Imports),1982 December,State,-54835
1450,Trade Surplus (Exports minus Imports),1983 January,State,-173873
1451,Trade Surplus (Exports minus Imports),1983 February,State,-102795
1452,Trade Surplus (Exports minus Imports),1983 March,State,-160350
1453,Trade Surplus (Exports minus Imports),1983 April,State,-26765
1454,Trade Surplus (Exports minus Imports),1983 May,State,-91702
1455,Trade Surplus (Exports minus Imports),1983 June,State,55696
1456,Trade Surplus (Exports minus Imports),1983 July,State,64917
1457,Trade Surplus (Exports minus Imports),1983 August,State,-89817
1458,Trade Surplus (Exports minus Imports),1983 September,State,37376
1459,Trade Surplus (Exports minus Imports),1983 October,State,-14748
1460,Trade Surplus (Exports minus Imports),1983 November,State,-76961
1461,Trade Surplus (Exports minus Imports),1983 December,State,45575
1462,Trade Surplus (Exports minus Imports),1984 January,State,-169259
1463,Trade Surplus (Exports minus Imports),1984 February,State,-139309
1464,Trade Surplus (Exports minus Imports),1984 March,State,-34724
1465,Trade Surplus (Exports minus Imports),1984 April,State,-7668
1466,Trade Surplus (Exports minus Imports),1984 May,State,29097
1467,Trade Surplus (Exports minus Imports),1984 June,State,188049
1468,Trade Surplus (Exports minus Imports),1984 July,State,126852
1469,Trade Surplus (Exports minus Imports),1984 August,State,-247471
1470,Trade Surplus (Exports minus Imports),1984 September,State,167208
1471,Trade Surplus (Exports minus Imports),1984 October,State,-30737
1472,Trade Surplus (Exports minus Imports),1984 November,State,-18241
1473,Trade Surplus (Exports minus Imports),1984 December,State,116566
1474,Trade Surplus (Exports minus Imports),1985 January,State,-186526
1475,Trade Surplus (Exports minus Imports),1985 February,State,10230
1476,Trade Surplus (Exports minus Imports),1985 March,State,101667
1477,Trade Surplus (Exports minus Imports),1985 April,State,-129648
1478,Trade Surplus (Exports minus Imports),1985 May,State,45273
1479,Trade Surplus (Exports minus Imports),1985 June,State,270781
1480,Trade Surplus (Exports minus Imports),1985 July,State,92695
1481,Trade Surplus (Exports minus Imports),1985 August,State,-7257
1482,Trade Surplus (Exports minus Imports),1985 September,State,121918
1483,Trade Surplus (Exports minus Imports),1985 October,State,-20968
1484,Trade Surplus (Exports minus Imports),1985 November,State,87471
1485,Trade Surplus (Exports minus Imports),1985 December,State,11809
1486,Trade Surplus (Exports minus Imports),1986 January,State,-78279
1487,Trade Surplus (Exports minus Imports),1986 February,State,4906
1488,Trade Surplus (Exports minus Imports),1986 March,State,188227
1489,Trade Surplus (Exports minus Imports),1986 April,State,-74390
1490,Trade Surplus (Exports minus Imports),1986 May,State,183490
1491,Trade Surplus (Exports minus Imports),1986 June,State,132305
1492,Trade Surplus (Exports minus Imports),1986 July,State,108047
1493,Trade Surplus (Exports minus Imports),1986 August,State,87529
1494,Trade Surplus (Exports minus Imports),1986 September,State,134044
1495,Trade Surplus (Exports minus Imports),1986 October,State,28705
1496,Trade Surplus (Exports minus Imports),1986 November,State,187149
1497,Trade Surplus (Exports minus Imports),1986 December,State,61335
1498,Trade Surplus (Exports minus Imports),1987 January,State,33329
1499,Trade Surplus (Exports minus Imports),1987 February,State,40034
1500,Trade Surplus (Exports minus Imports),1987 March,State,59031
1501,Trade Surplus (Exports minus Imports),1987 April,State,76010
1502,Trade Surplus (Exports minus Imports),1987 May,State,320573
1503,Trade Surplus (Exports minus Imports),1987 June,State,229830
1504,Trade Surplus (Exports minus Imports),1987 July,State,199560
1505,Trade Surplus (Exports minus Imports),1987 August,State,95115
1506,Trade Surplus (Exports minus Imports),1987 September,State,281097
1507,Trade Surplus (Exports minus Imports),1987 October,State,195881
1508,Trade Surplus (Exports minus Imports),1987 November,State,255137
1509,Trade Surplus (Exports minus Imports),1987 December,State,206019
1510,Trade Surplus (Exports minus Imports),1988 January,State,130190
1511,Trade Surplus (Exports minus Imports),1988 February,State,176723
1512,Trade Surplus (Exports minus Imports),1988 March,State,122614
1513,Trade Surplus (Exports minus Imports),1988 April,State,196787
1514,Trade Surplus (Exports minus Imports),1988 May,State,261944
1515,Trade Surplus (Exports minus Imports),1988 June,State,352735
1516,Trade Surplus (Exports minus Imports),1988 July,State,363935
1517,Trade Surplus (Exports minus Imports),1988 August,State,112273
1518,Trade Surplus (Exports minus Imports),1988 September,State,317357
1519,Trade Surplus (Exports minus Imports),1988 October,State,178116
1520,Trade Surplus (Exports minus Imports),1988 November,State,187610
1521,Trade Surplus (Exports minus Imports),1988 December,State,250481
1522,Trade Surplus (Exports minus Imports),1989 January,State,62003
1523,Trade Surplus (Exports minus Imports),1989 February,State,156260
1524,Trade Surplus (Exports minus Imports),1989 March,State,222623
1525,Trade Surplus (Exports minus Imports),1989 April,State,265472
1526,Trade Surplus (Exports minus Imports),1989 May,State,305474
1527,Trade Surplus (Exports minus Imports),1989 June,State,296752
1528,Trade Surplus (Exports minus Imports),1989 July,State,318279
1529,Trade Surplus (Exports minus Imports),1989 August,State,93465
1530,Trade Surplus (Exports minus Imports),1989 September,State,503958
1531,Trade Surplus (Exports minus Imports),1989 October,State,56039
1532,Trade Surplus (Exports minus Imports),1989 November,State,296093
1533,Trade Surplus (Exports minus Imports),1989 December,State,355514
1534,Trade Surplus (Exports minus Imports),1990 January,State,116011
1535,Trade Surplus (Exports minus Imports),1990 February,State,157208
1536,Trade Surplus (Exports minus Imports),1990 March,State,390942
1537,Trade Surplus (Exports minus Imports),1990 April,State,199922
1538,Trade Surplus (Exports minus Imports),1990 May,State,236927
1539,Trade Surplus (Exports minus Imports),1990 June,State,359915
1540,Trade Surplus (Exports minus Imports),1990 July,State,223969
1541,Trade Surplus (Exports minus Imports),1990 August,State,-45344
1542,Trade Surplus (Exports minus Imports),1990 September,State,258083
1543,Trade Surplus (Exports minus Imports),1990 October,State,9141
1544,Trade Surplus (Exports minus Imports),1990 November,State,131509
1545,Trade Surplus (Exports minus Imports),1990 December,State,332200
1546,Trade Surplus (Exports minus Imports),1991 January,State,87214
1547,Trade Surplus (Exports minus Imports),1991 February,State,87654
1548,Trade Surplus (Exports minus Imports),1991 March,State,206409
1549,Trade Surplus (Exports minus Imports),1991 April,State,73439
1550,Trade Surplus (Exports minus Imports),1991 May,State,242140
1551,Trade Surplus (Exports minus Imports),1991 June,State,394329
1552,Trade Surplus (Exports minus Imports),1991 July,State,201344
1553,Trade Surplus (Exports minus Imports),1991 August,State,155001
1554,Trade Surplus (Exports minus Imports),1991 September,State,380301
1555,Trade Surplus (Exports minus Imports),1991 October,State,235186
1556,Trade Surplus (Exports minus Imports),1991 November,State,354221
1557,Trade Surplus (Exports minus Imports),1991 December,State,335696
1558,Trade Surplus (Exports minus Imports),1992 January,State,288104
1559,Trade Surplus (Exports minus Imports),1992 February,State,404031
1560,Trade Surplus (Exports minus Imports),1992 March,State,253948
1561,Trade Surplus (Exports minus Imports),1992 April,State,253313
1562,Trade Surplus (Exports minus Imports),1992 May,State,667247
1563,Trade Surplus (Exports minus Imports),1992 June,State,430568
1564,Trade Surplus (Exports minus Imports),1992 July,State,437933
1565,Trade Surplus (Exports minus Imports),1992 August,State,244679
1566,Trade Surplus (Exports minus Imports),1992 September,State,414316
1567,Trade Surplus (Exports minus Imports),1992 October,State,344734
1568,Trade Surplus (Exports minus Imports),1992 November,State,381810
1569,Trade Surplus (Exports minus Imports),1992 December,State,385746
1570,Trade Surplus (Exports minus Imports),1993 January,State,304737
1571,Trade Surplus (Exports minus Imports),1993 February,State,275279
1572,Trade Surplus (Exports minus Imports),1993 March,State,602872
1573,Trade Surplus (Exports minus Imports),1993 April,State,473993
1574,Trade Surplus (Exports minus Imports),1993 May,State,551701
1575,Trade Surplus (Exports minus Imports),1993 June,State,736575
1576,Trade Surplus (Exports minus Imports),1993 July,State,541162
1577,Trade Surplus (Exports minus Imports),1993 August,State,300928
1578,Trade Surplus (Exports minus Imports),1993 September,State,543575
1579,Trade Surplus (Exports minus Imports),1993 October,State,626108
1580,Trade Surplus (Exports minus Imports),1993 November,State,586365
1581,Trade Surplus (Exports minus Imports),1993 December,State,735559
1582,Trade Surplus (Exports minus Imports),1994 January,State,356923
1583,Trade Surplus (Exports minus Imports),1994 February,State,421426
1584,Trade Surplus (Exports minus Imports),1994 March,State,571763
1585,Trade Surplus (Exports minus Imports),1994 April,State,467898
1586,Trade Surplus (Exports minus Imports),1994 May,State,501039
1587,Trade Surplus (Exports minus Imports),1994 June,State,757907
1588,Trade Surplus (Exports minus Imports),1994 July,State,609601
1589,Trade Surplus (Exports minus Imports),1994 August,State,421045
1590,Trade Surplus (Exports minus Imports),1994 September,State,806538
1591,Trade Surplus (Exports minus Imports),1994 October,State,600713
1592,Trade Surplus (Exports minus Imports),1994 November,State,678802
1593,Trade Surplus (Exports minus Imports),1994 December,State,793205
1594,Trade Surplus (Exports minus Imports),1995 January,State,497737
1595,Trade Surplus (Exports minus Imports),1995 February,State,612880
1596,Trade Surplus (Exports minus Imports),1995 March,State,786476
1597,Trade Surplus (Exports minus Imports),1995 April,State,728068
1598,Trade Surplus (Exports minus Imports),1995 May,State,810728
1599,Trade Surplus (Exports minus Imports),1995 June,State,865073
1600,Trade Surplus (Exports minus Imports),1995 July,State,836757
1601,Trade Surplus (Exports minus Imports),1995 August,State,517926
1602,Trade Surplus (Exports minus Imports),1995 September,State,1045883
1603,Trade Surplus (Exports minus Imports),1995 October,State,920941
1604,Trade Surplus (Exports minus Imports),1995 November,State,622045
1605,Trade Surplus (Exports minus Imports),1995 December,State,904942
1606,Trade Surplus (Exports minus Imports),1996 January,State,782667
1607,Trade Surplus (Exports minus Imports),1996 February,State,859613
1608,Trade Surplus (Exports minus Imports),1996 March,State,801459
1609,Trade Surplus (Exports minus Imports),1996 April,State,479707
1610,Trade Surplus (Exports minus Imports),1996 May,State,916243
1611,Trade Surplus (Exports minus Imports),1996 June,State,1184031
1612,Trade Surplus (Exports minus Imports),1996 July,State,880309
1613,Trade Surplus (Exports minus Imports),1996 August,State,558558
1614,Trade Surplus (Exports minus Imports),1996 September,State,1112925
1615,Trade Surplus (Exports minus Imports),1996 October,State,831678
1616,Trade Surplus (Exports minus Imports),1996 November,State,788761
1617,Trade Surplus (Exports minus Imports),1996 December,State,933511
1618,Trade Surplus (Exports minus Imports),1997 January,State,837011
1619,Trade Surplus (Exports minus Imports),1997 February,State,703054
1620,Trade Surplus (Exports minus Imports),1997 March,State,966017
1621,Trade Surplus (Exports minus Imports),1997 April,State,649598
1622,Trade Surplus (Exports minus Imports),1997 May,State,785714
1623,Trade Surplus (Exports minus Imports),1997 June,State,1455120
1624,Trade Surplus (Exports minus Imports),1997 July,State,932115
1625,Trade Surplus (Exports minus Imports),1997 August,State,961065
1626,Trade Surplus (Exports minus Imports),1997 September,State,1413599
1627,Trade Surplus (Exports minus Imports),1997 October,State,1016425
1628,Trade Surplus (Exports minus Imports),1997 November,State,1041439
1629,Trade Surplus (Exports minus Imports),1997 December,State,1243201
1630,Trade Surplus (Exports minus Imports),1998 January,State,947733
1631,Trade Surplus (Exports minus Imports),1998 February,State,1014013
1632,Trade Surplus (Exports minus Imports),1998 March,State,1411314
1633,Trade Surplus (Exports minus Imports),1998 April,State,1298053
1634,Trade Surplus (Exports minus Imports),1998 May,State,1184666
1635,Trade Surplus (Exports minus Imports),1998 June,State,1873372
1636,Trade Surplus (Exports minus Imports),1998 July,State,1644565
1637,Trade Surplus (Exports minus Imports),1998 August,State,1449152
1638,Trade Surplus (Exports minus Imports),1998 September,State,2074244
1639,Trade Surplus (Exports minus Imports),1998 October,State,1418805
1640,Trade Surplus (Exports minus Imports),1998 November,State,1811154
1641,Trade Surplus (Exports minus Imports),1998 December,State,1479753
1642,Trade Surplus (Exports minus Imports),1999 January,State,1408393
1643,Trade Surplus (Exports minus Imports),1999 February,State,1667039
1644,Trade Surplus (Exports minus Imports),1999 March,State,1678086
1645,Trade Surplus (Exports minus Imports),1999 April,State,1447628
1646,Trade Surplus (Exports minus Imports),1999 May,State,1854199
1647,Trade Surplus (Exports minus Imports),1999 June,State,2145349
1648,Trade Surplus (Exports minus Imports),1999 July,State,2173157
1649,Trade Surplus (Exports minus Imports),1999 August,State,1629455
1650,Trade Surplus (Exports minus Imports),1999 September,State,2589504
1651,Trade Surplus (Exports minus Imports),1999 October,State,1904607
1652,Trade Surplus (Exports minus Imports),1999 November,State,1624757
1653,Trade Surplus (Exports minus Imports),1999 December,State,2506971
1654,Trade Surplus (Exports minus Imports),2000 January,State,914000
1655,Trade Surplus (Exports minus Imports),2000 February,State,2017800
1656,Trade Surplus (Exports minus Imports),2000 March,State,2843300
1657,Trade Surplus (Exports minus Imports),2000 April,State,1920000
1658,Trade Surplus (Exports minus Imports),2000 May,State,1905700
1659,Trade Surplus (Exports minus Imports),2000 June,State,3179000
1660,Trade Surplus (Exports minus Imports),2000 July,State,2223900
1661,Trade Surplus (Exports minus Imports),2000 August,State,2232700
1662,Trade Surplus (Exports minus Imports),2000 September,State,3247300
1663,Trade Surplus (Exports minus Imports),2000 October,State,2670400
1664,Trade Surplus (Exports minus Imports),2000 November,State,2806700
1665,Trade Surplus (Exports minus Imports),2000 December,State,3065200
1666,Trade Surplus (Exports minus Imports),2001 January,State,2433300
1667,Trade Surplus (Exports minus Imports),2001 February,State,2345000
1668,Trade Surplus (Exports minus Imports),2001 March,State,3490000
1669,Trade Surplus (Exports minus Imports),2001 April,State,2353500
1670,Trade Surplus (Exports minus Imports),2001 May,State,2327800
1671,Trade Surplus (Exports minus Imports),2001 June,State,4601600
1672,Trade Surplus (Exports minus Imports),2001 July,State,3301500
1673,Trade Surplus (Exports minus Imports),2001 August,State,2803600
1674,Trade Surplus (Exports minus Imports),2001 September,State,3898700
