Statistic,Quarter,Sector,value
GVA at Current Basic Prices,2008Q2,All sectors,43189
GVA at Current Basic Prices,2008Q2,Foreign-owned multinational enterprise dominated,8899
GVA at Current Basic Prices,2008Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,34290
GVA at Current Basic Prices,2008Q3,All sectors,41480
GVA at Current Basic Prices,2008Q3,Foreign-owned multinational enterprise dominated,8276
GVA at Current Basic Prices,2008Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,33204
GVA at Current Basic Prices,2008Q4,All sectors,40028
GVA at Current Basic Prices,2008Q4,Foreign-owned multinational enterprise dominated,7051
GVA at Current Basic Prices,2008Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,32977
GVA at Current Basic Prices,2009Q1,All sectors,38746
GVA at Current Basic Prices,2009Q1,Foreign-owned multinational enterprise dominated,9928
GVA at Current Basic Prices,2009Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,28818
GVA at Current Basic Prices,2009Q2,All sectors,39215
GVA at Current Basic Prices,2009Q2,Foreign-owned multinational enterprise dominated,9958
GVA at Current Basic Prices,2009Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,29257
GVA at Current Basic Prices,2009Q3,All sectors,37390
GVA at Current Basic Prices,2009Q3,Foreign-owned multinational enterprise dominated,8551
GVA at Current Basic Prices,2009Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,28839
GVA at Current Basic Prices,2009Q4,All sectors,36985
GVA at Current Basic Prices,2009Q4,Foreign-owned multinational enterprise dominated,8171
GVA at Current Basic Prices,2009Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,28814
GVA at Current Basic Prices,2010Q1,All sectors,37866
GVA at Current Basic Prices,2010Q1,Foreign-owned multinational enterprise dominated,9469
GVA at Current Basic Prices,2010Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,28397
GVA at Current Basic Prices,2010Q2,All sectors,38012
GVA at Current Basic Prices,2010Q2,Foreign-owned multinational enterprise dominated,8961
GVA at Current Basic Prices,2010Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,29051
GVA at Current Basic Prices,2010Q3,All sectors,37611
GVA at Current Basic Prices,2010Q3,Foreign-owned multinational enterprise dominated,8646
GVA at Current Basic Prices,2010Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,28965
